web-scraper-order,web-scraper-start-url,name
"1630598436-7213","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Handcrafted White Enamel Serveware Collection"
"1630598436-7286","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Palm Handcrafted Birch Serving Tray & Metal Stand"
"1630598436-7351","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Open Weave Hemp Fiber Table Runner"
"1630598436-7535","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Picnic Utensil Set"
"1630598436-7345","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Tava Handwoven Rattan Charger Plate"
"1630598436-7543","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Golden Rabbit Green Scallop Enamel Serving Tray"
"1630598436-7198","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Farmhouse Bed"
"1630598436-7331","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Wheaton Striped Cork Placemat"
"1630598436-7510","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Lantern Drink Dispenser"
"1630598436-7307","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Bleecker Mango Wood Drink Dispenser"
"1630598436-7411","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Golden Rabbit Peter Rabbit Enamel 3-Piece Dinnerware Set"
"1630598436-7495","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Golden Rabbit Sea Glass Enamel Serving Trays"
"1630598436-7229","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Marrakesh Melamine Sectioned Serving Platter"
"1630598436-7464","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","High Camp Firelight Stainless Steel Tumblers with Wool Case - Set of 2"
"1630598436-7405","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Lemon Outdoor Rectangular Tablecloths"
"1630598436-7395","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Golden Rabbit Solid Enamel Serving Bowls"
"1630598436-7185","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Toscana Extending Dining Table"
"1630598436-7224","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Cane Recycled Drinkware Collection"
"1630598436-7487","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Martinis for Two Cocktail Case Gift Set"
"1630598436-7542","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Golden Rabbit Crab House Enamel Charger Plates - Set of 2"
"1630598436-7289","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Veranda Outdoor Pitcher"
"1630598436-7493","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Golden Rabbit Solid Enamel Roasting Pan"
"1630598436-7244","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Mason Modern Melamine Individual Bowls"
"1630598436-7385","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Soma 10 Cup Water Pitcher"
"1630598436-7471","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Lunares Handcrafted Ice Cream Serving Set with Scoop"
"1630598436-7378","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Chilewich Bamboo Indoor/Outdoor Table Runners"
"1630598436-7462","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Soma Cold Brew Glass Bottle"
"1630598436-7387","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Americana Watercolor Cotton/Linen Table Runner"
"1630598436-7311","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Santino Handcrafted Recycled Drinking Glasses"
"1630598436-7371","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Puebla Melamine Serving Bowls - Set of 3"
"1630598436-7474","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Igloo 50 Qt Mission Cooler"
"1630598436-7317","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Airstream Outdoor Oilcloth Cotton Tablecloth"
"1630598436-7209","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Sunbrella® Awning Stripe Indoor/Outdoor Tablecloth"
"1630598436-7428","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Anchor Outdoor Rectangular Tablecloths"
"1630598436-7479","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Golden Rabbit Solid Enamel Oval Serving Platter"
"1630598436-7342","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Nubby Woven Ramie Placemat"
"1630598436-7295","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","BBQ 9-Piece Cooler Bag Kit"
"1630598436-7533","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Golden Rabbit Tomato Enamel Dip Bowls - Set of 6"
"1630598436-7549","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Espadrille Striped Napkins"
"1630598436-7412","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Golden Rabbit Blue Crab Enamel Mugs - Set of 4"
"1630598436-7449","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Golden Rabbit Swirl Enamel Salad Plates - Set of 4"
"1630598436-7302","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Dynatrap Indoor Ultraviolet Insect Trap"
"1630598436-7488","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Fortessa Playa Blanca Melamine Dip Bowls - Set of 4"
"1630598436-7310","https://www.potterybarn.com/shop/dinnerware-entertaining/all-outdoor-dining-entertaining/?cm_type=gnav","Braided Abaca Charger Plates - Set of 4"
