web-scraper-order,web-scraper-start-url,name
"1630598299-7055","https://www.potterybarn.com/shop/lighting/outdoor-lighting-string-lights/?cm_type=gnav","Classic Lantern Outdoor Sconce"
"1630598299-7178","https://www.potterybarn.com/shop/lighting/outdoor-lighting-string-lights/?cm_type=gnav","64"" Odyn Indoor/Outdoor Ceiling Fan, Brushed Nickel"
"1630598299-7122","https://www.potterybarn.com/shop/lighting/outdoor-lighting-string-lights/?cm_type=gnav","Sarratt LED Mini Pendant"
"1630598299-7118","https://www.potterybarn.com/shop/lighting/outdoor-lighting-string-lights/?cm_type=gnav","Tretto LED Flush Mount"
"1630598299-7182","https://www.potterybarn.com/shop/lighting/outdoor-lighting-string-lights/?cm_type=gnav","Stella Nova Lantern Outdoor Pendant"
"1630598299-7159","https://www.potterybarn.com/shop/lighting/outdoor-lighting-string-lights/?cm_type=gnav","Wrap Indoor/Outdoor Ceiling Fan, Dark Bronze"
"1630598299-7040","https://www.potterybarn.com/shop/lighting/outdoor-lighting-string-lights/?cm_type=gnav","Pick-Stitch Handcrafted Cotton/Linen Quilt & Shams"
"1630598299-7111","https://www.potterybarn.com/shop/lighting/outdoor-lighting-string-lights/?cm_type=gnav","Megali LED Linear Pendant"
"1630598299-7066","https://www.potterybarn.com/shop/lighting/outdoor-lighting-string-lights/?cm_type=gnav","Maxwell Handcrafted Lantern - Black"
"1630598299-7033","https://www.potterybarn.com/shop/lighting/outdoor-lighting-string-lights/?cm_type=gnav","Vintage Rounded Rectangle Pivot Mirror"
"1630598299-7130","https://www.potterybarn.com/shop/lighting/outdoor-lighting-string-lights/?cm_type=gnav","Rohini Outdoor Torch Base"
"1630598299-7026","https://www.potterybarn.com/shop/lighting/outdoor-lighting-string-lights/?cm_type=gnav","Toscana Extending Dining Table"
"1630598299-7034","https://www.potterybarn.com/shop/lighting/outdoor-lighting-string-lights/?cm_type=gnav","Big Sur Square Arm Upholstered Sofa Double Wide Chaise Sectional"
"1630598299-7171","https://www.potterybarn.com/shop/lighting/outdoor-lighting-string-lights/?cm_type=gnav","56"" Subtle Indoor/Outdoor Ceiling Fan With LED Light Kit"
"1630598299-7157","https://www.potterybarn.com/shop/lighting/outdoor-lighting-string-lights/?cm_type=gnav","60"" Spitfire Indoor/Outdoor Ceiling Fan, Driftwood"
"1630598299-7035","https://www.potterybarn.com/shop/lighting/outdoor-lighting-string-lights/?cm_type=gnav","Chunky Wool/Jute Rug"
"1630598299-7028","https://www.potterybarn.com/shop/lighting/outdoor-lighting-string-lights/?cm_type=gnav","Belgian Flax Linen Diamond Quilt & Shams"
"1630598299-7062","https://www.potterybarn.com/shop/lighting/outdoor-lighting-string-lights/?cm_type=gnav","Searchlight Pendant"
"1630598299-7134","https://www.potterybarn.com/shop/lighting/outdoor-lighting-string-lights/?cm_type=gnav","Locht LED Ribbed Pendant"
"1630598299-7098","https://www.potterybarn.com/shop/lighting/outdoor-lighting-string-lights/?cm_type=gnav","Brass Solar Globe String Lights - 26'"
"1630598299-7054","https://www.potterybarn.com/shop/lighting/outdoor-lighting-string-lights/?cm_type=gnav","Manor Glass & Iron Flush Mount"
"1630598299-7037","https://www.potterybarn.com/shop/lighting/outdoor-lighting-string-lights/?cm_type=gnav","400-Thread-Count Organic Percale Sheet Set"
"1630598299-7116","https://www.potterybarn.com/shop/lighting/outdoor-lighting-string-lights/?cm_type=gnav","Nellie Outdoor Solar Lantern"
"1630598299-7131","https://www.potterybarn.com/shop/lighting/outdoor-lighting-string-lights/?cm_type=gnav","Janeway LED 3-Light Pendant"
"1630598299-7038","https://www.potterybarn.com/shop/lighting/outdoor-lighting-string-lights/?cm_type=gnav","Belgian Flax Linen Diamond Quilt & Shams"
"1630598299-7105","https://www.potterybarn.com/shop/lighting/outdoor-lighting-string-lights/?cm_type=gnav","Proti LED Round Flush Mount"
"1630598299-7102","https://www.potterybarn.com/shop/lighting/outdoor-lighting-string-lights/?cm_type=gnav","Hugh Outdoor Solar Lantern"
