web-scraper-order,web-scraper-start-url,name
"1630640962-2064","https://www.potterybarn.com/shop/accessories-decor/fireplace-hearth/?cm_type=gnav","Geometric Coated Gunmetal Firewood Holder"
"1630640962-2025","https://www.potterybarn.com/shop/accessories-decor/fireplace-hearth/?cm_type=gnav","Banks Extending Dining Table"
"1630640962-2052","https://www.potterybarn.com/shop/accessories-decor/fireplace-hearth/?cm_type=gnav","Lorraine 72"" Electric Fireplace Media Cabinet"
"1630640962-2086","https://www.potterybarn.com/shop/accessories-decor/fireplace-hearth/?cm_type=gnav","Hampton Fireplace Tool Set"
"1630640962-2074","https://www.potterybarn.com/shop/accessories-decor/fireplace-hearth/?cm_type=gnav","Francis Fireplace Mantel - White"
"1630640962-2023","https://www.potterybarn.com/shop/accessories-decor/fireplace-hearth/?cm_type=gnav","Pick-Stitch Handcrafted Cotton/Linen Quilt & Shams"
"1630640962-2096","https://www.potterybarn.com/shop/accessories-decor/fireplace-hearth/?cm_type=gnav","Newport Stainless Steel Fireplace Tool Set"
"1630640962-2066","https://www.potterybarn.com/shop/accessories-decor/fireplace-hearth/?cm_type=gnav","Real Flame® 72"" Frederick Electric Fireplace Media Cabinet"
"1630640962-2038","https://www.potterybarn.com/shop/accessories-decor/fireplace-hearth/?cm_type=gnav","Classic Fireplace Log Holder/Tool Set"
"1630640962-2083","https://www.potterybarn.com/shop/accessories-decor/fireplace-hearth/?cm_type=gnav","Ryann Fireplace Mantel"
"1630640962-2048","https://www.potterybarn.com/shop/accessories-decor/fireplace-hearth/?cm_type=gnav","Real Flame® 56"" Emerson Grand Electric Fireplace"
"1630640962-2039","https://www.potterybarn.com/shop/accessories-decor/fireplace-hearth/?cm_type=gnav","Real Flame® 70"" Marlowe Electric Fireplace Media Cabinet"
"1630640962-2031","https://www.potterybarn.com/shop/accessories-decor/fireplace-hearth/?cm_type=gnav","Classic Fireplace Single Screen"
"1630640962-2053","https://www.potterybarn.com/shop/accessories-decor/fireplace-hearth/?cm_type=gnav","Metal Fireplace Log Basket"
"1630640962-2013","https://www.potterybarn.com/shop/accessories-decor/fireplace-hearth/?cm_type=gnav","Pick-Stitch Handcrafted Cotton/Linen Quilt & Shams"
"1630640962-2056","https://www.potterybarn.com/shop/accessories-decor/fireplace-hearth/?cm_type=gnav","Real Flame® 74"" Valmont Electric Fireplace Media Cabinet"
"1630640962-2011","https://www.potterybarn.com/shop/accessories-decor/fireplace-hearth/?cm_type=gnav","Farmhouse Bed"
"1630640962-2073","https://www.potterybarn.com/shop/accessories-decor/fireplace-hearth/?cm_type=gnav","Real Flame® 51"" Churchill Corner Electric Fireplace Media Cabinet"
"1630640962-2037","https://www.potterybarn.com/shop/accessories-decor/fireplace-hearth/?cm_type=gnav","Industrial Fireplace Log Holder Tower"
"1630640962-2029","https://www.potterybarn.com/shop/accessories-decor/fireplace-hearth/?cm_type=gnav","Vail Glass Fireplace Screen with Doors"
"1630640962-2076","https://www.potterybarn.com/shop/accessories-decor/fireplace-hearth/?cm_type=gnav","Ryker Fireplace Mantel - Tan"
"1630640962-2022","https://www.potterybarn.com/shop/accessories-decor/fireplace-hearth/?cm_type=gnav","Big Sur Square Arm Upholstered Sofa Double Wide Chaise Sectional"
"1630640962-2036","https://www.potterybarn.com/shop/accessories-decor/fireplace-hearth/?cm_type=gnav","Real Flame® 41"" Chateau Electric Fireplace"
"1630640962-2067","https://www.potterybarn.com/shop/accessories-decor/fireplace-hearth/?cm_type=gnav","Real Flame® 56.5"" Lynette Corner Electric Fireplace Media Cabinet"
"1630640962-2049","https://www.potterybarn.com/shop/accessories-decor/fireplace-hearth/?cm_type=gnav","Indoor/Outdoor Industrial Dark Bronze 44"" Fireplace Screen with Doors"
"1630640962-2089","https://www.potterybarn.com/shop/accessories-decor/fireplace-hearth/?cm_type=gnav","Myah Fireplace Mantel - White"
"1630640962-2080","https://www.potterybarn.com/shop/accessories-decor/fireplace-hearth/?cm_type=gnav","Modern Glass Tri-Panel Firescreen"
"1630640962-2063","https://www.potterybarn.com/shop/accessories-decor/fireplace-hearth/?cm_type=gnav","Real Flame® 58"" Whittier Grand Electric Fireplace"
"1630640962-2069","https://www.potterybarn.com/shop/accessories-decor/fireplace-hearth/?cm_type=gnav","Brynlee Fireplace Mantel - Black"
"1630640962-2087","https://www.potterybarn.com/shop/accessories-decor/fireplace-hearth/?cm_type=gnav","Newport Stainless Steel Single Panel Firescreen, Large"
