web-scraper-order,web-scraper-start-url,name
"1630640254-1122","https://www.potterybarn.com/shop/accessories-decor/all-home-accents/?cm_type=gnav","Faux Pumpkins"
"1630640254-1394","https://www.potterybarn.com/shop/accessories-decor/all-home-accents/?cm_type=gnav","Brass & Faux Leather Magazine Rack"
"1630640254-1450","https://www.potterybarn.com/shop/accessories-decor/all-home-accents/?cm_type=gnav","Faria Bone Picture Frame - Brown & Gray"
"1630640254-1425","https://www.potterybarn.com/shop/accessories-decor/all-home-accents/?cm_type=gnav","Metal Seafan on Black Glass Base Object"
"1630640254-1319","https://www.potterybarn.com/shop/accessories-decor/all-home-accents/?cm_type=gnav","Modern Silver Personalized Wide-Base Frame"
"1630640254-1036","https://www.potterybarn.com/shop/accessories-decor/all-home-accents/?cm_type=gnav","Farmhouse Bed"
"1630640254-1454","https://www.potterybarn.com/shop/accessories-decor/all-home-accents/?cm_type=gnav","Planked Wood Snowflake Wall Art"
"1630640254-1159","https://www.potterybarn.com/shop/accessories-decor/all-home-accents/?cm_type=gnav","Wood Gallery Single Opening Oversized Mat Frames"
"1630640254-1274","https://www.potterybarn.com/shop/accessories-decor/all-home-accents/?cm_type=gnav","Decorative Reindeer Moss"
"1630640254-1198","https://www.potterybarn.com/shop/accessories-decor/all-home-accents/?cm_type=gnav","Mango Wood Urns - Set of 2"
"1630640254-1348","https://www.potterybarn.com/shop/accessories-decor/all-home-accents/?cm_type=gnav","Decorative Glass Eggs"
"1630640254-1221","https://www.potterybarn.com/shop/accessories-decor/all-home-accents/?cm_type=gnav","Pre-Lit Faux Potted Pine Trees"
"1630640254-1187","https://www.potterybarn.com/shop/accessories-decor/all-home-accents/?cm_type=gnav","Mother of Pearl Clock"
"1630640254-1357","https://www.potterybarn.com/shop/accessories-decor/all-home-accents/?cm_type=gnav","Holloway Handcrafted Terra Cotta Vases"
"1630640254-1162","https://www.potterybarn.com/shop/accessories-decor/all-home-accents/?cm_type=gnav","Metal Jack-O-Lanterns - Black"
"1630640254-1035","https://www.potterybarn.com/shop/accessories-decor/all-home-accents/?cm_type=gnav","400-Thread-Count Organic Percale Sheet Set"
"1630640254-1471","https://www.potterybarn.com/shop/accessories-decor/all-home-accents/?cm_type=gnav","La Palma Woven Rivergrass Oval Baskets, Set of 3"
"1630640254-1339","https://www.potterybarn.com/shop/accessories-decor/all-home-accents/?cm_type=gnav","Amelia Silver Picture Frames"
"1630640254-1188","https://www.potterybarn.com/shop/accessories-decor/all-home-accents/?cm_type=gnav","Caroline Oversized Wall Clocks"
"1630640254-1303","https://www.potterybarn.com/shop/accessories-decor/all-home-accents/?cm_type=gnav","Sereia Decorative Ceramic Vases"
"1630640254-1089","https://www.potterybarn.com/shop/accessories-decor/all-home-accents/?cm_type=gnav","Pacific Desktop Clock"
"1630640254-1480","https://www.potterybarn.com/shop/accessories-decor/all-home-accents/?cm_type=gnav","Owl Shaped Stoneware Pitcher Vase"
"1630640254-1155","https://www.potterybarn.com/shop/accessories-decor/all-home-accents/?cm_type=gnav","Recycled Glass Mason Jar Vases"
"1630640254-1342","https://www.potterybarn.com/shop/accessories-decor/all-home-accents/?cm_type=gnav","Faceted Mirror Trees"
"1630640254-1051","https://www.potterybarn.com/shop/accessories-decor/all-home-accents/?cm_type=gnav","Vintage Rounded Rectangle Pivot Mirror"
