web-scraper-order,web-scraper-start-url,name
"1630603891-10855","https://www.potterybarn.com/shop/rugs/all-rugs/?cm_type=gnav","Custom Woven Striped Indoor/Outdoor Rug"
"1630603891-10970","https://www.potterybarn.com/shop/rugs/all-rugs/?cm_type=gnav","Capel® Kingsbury Natural Indoor/Outdoor Rug With Sunbrella®"
"1630603891-10346","https://www.potterybarn.com/shop/rugs/all-rugs/?cm_type=gnav","Reeva Handwoven Rug"
"1630603891-10767","https://www.potterybarn.com/shop/rugs/all-rugs/?cm_type=gnav","Pino Indoor/Outdoor Rug"
"1630603891-10581","https://www.potterybarn.com/shop/rugs/all-rugs/?cm_type=gnav","Custom Arlo Rug"
"1630603891-10661","https://www.potterybarn.com/shop/rugs/all-rugs/?cm_type=gnav","Stripe Denim Chindi Flatweave Cotton Rug"
"1630603891-10649","https://www.potterybarn.com/shop/rugs/all-rugs/?cm_type=gnav","Hoyt Custom Tencel Rug"
"1630603891-10673","https://www.potterybarn.com/shop/rugs/all-rugs/?cm_type=gnav","Preston Round Braided Rug"
"1630603891-10672","https://www.potterybarn.com/shop/rugs/all-rugs/?cm_type=gnav","Maritsa Tufted Rug"
"1630603891-11010","https://www.potterybarn.com/shop/rugs/all-rugs/?cm_type=gnav","Rena Eco-Friendly Flatweave Rug"
"1630603891-10416","https://www.potterybarn.com/shop/rugs/all-rugs/?cm_type=gnav","Monterey Indoor/Outdoor Rug"
"1630603891-10916","https://www.potterybarn.com/shop/rugs/all-rugs/?cm_type=gnav","Callista Custom Tufted Rug - Mocha"
"1630603891-10578","https://www.potterybarn.com/shop/rugs/all-rugs/?cm_type=gnav","Garwick Hand-Knotted Wool Rug"
"1630603891-10838","https://www.potterybarn.com/shop/rugs/all-rugs/?cm_type=gnav","Gibson Hand Tufted Wool Rug"
"1630603891-10727","https://www.potterybarn.com/shop/rugs/all-rugs/?cm_type=gnav","Raizel Woven Rug"
"1630603891-10949","https://www.potterybarn.com/shop/rugs/all-rugs/?cm_type=gnav","Yuri Hand Tufted Shag Wool Rug"
"1630603891-10719","https://www.potterybarn.com/shop/rugs/all-rugs/?cm_type=gnav","Chilewich Quill Floor Mat"
"1630603891-10802","https://www.potterybarn.com/shop/rugs/all-rugs/?cm_type=gnav","Ayala Hand-Knotted Wool Rug"
"1630603891-11000","https://www.potterybarn.com/shop/rugs/all-rugs/?cm_type=gnav","Rango Easy Care Synthetic Rug"
"1630603891-11001","https://www.potterybarn.com/shop/rugs/all-rugs/?cm_type=gnav","Marini Hand Tufted Wool Rug"
"1630603891-10444","https://www.potterybarn.com/shop/rugs/all-rugs/?cm_type=gnav","Caelan Eco-Friendly Easy Care Rug"
