web-scraper-order,web-scraper-start-url,name
"1630605169-11555","https://www.potterybarn.com/shop/window-treatments/all-window-hardware/?cm_type=gnav","Antique Bronze Drapery Wand"
"1630605169-11515","https://www.potterybarn.com/shop/window-treatments/all-window-hardware/?cm_type=gnav","Big Sur Square Arm Upholstered Sofa Double Wide Chaise Sectional"
"1630605169-11635","https://www.potterybarn.com/shop/window-treatments/all-window-hardware/?cm_type=gnav","Nickel Curtain Clip Rings"
"1630605169-11514","https://www.potterybarn.com/shop/window-treatments/all-window-hardware/?cm_type=gnav","Vintage Rounded Rectangle Pivot Mirror"
"1630605169-11528","https://www.potterybarn.com/shop/window-treatments/all-window-hardware/?cm_type=gnav","Cast Iron Black Curtain Hardware Collection"
"1630605169-11626","https://www.potterybarn.com/shop/window-treatments/all-window-hardware/?cm_type=gnav","Cast Iron Pewter Ball Finial - Set of 2"
"1630605169-11547","https://www.potterybarn.com/shop/window-treatments/all-window-hardware/?cm_type=gnav","Antique Bronze Vintage Mercury Glass Finial - Set of 2"
"1630605169-11603","https://www.potterybarn.com/shop/window-treatments/all-window-hardware/?cm_type=gnav","Umbra® Coretto Adjustable Nickel Curtain Tension Rod"
"1630605169-11522","https://www.potterybarn.com/shop/window-treatments/all-window-hardware/?cm_type=gnav","Vintage Rounded Rectangular Recessed Medicine Cabinet"
"1630605169-11562","https://www.potterybarn.com/shop/window-treatments/all-window-hardware/?cm_type=gnav","Polished Nickel Drapery Wand"
"1630605169-11548","https://www.potterybarn.com/shop/window-treatments/all-window-hardware/?cm_type=gnav","Antique Bronze Clip Rings"
"1630605169-11628","https://www.potterybarn.com/shop/window-treatments/all-window-hardware/?cm_type=gnav","Cast Iron Finial, Set of 2 - Scroll"
"1630605169-11591","https://www.potterybarn.com/shop/window-treatments/all-window-hardware/?cm_type=gnav","Vintage Faceted Finial, Set of 2 - Antique Pewter Finish"
"1630605169-11590","https://www.potterybarn.com/shop/window-treatments/all-window-hardware/?cm_type=gnav","Brass Curtain Rod Bracket"
"1630605169-11587","https://www.potterybarn.com/shop/window-treatments/all-window-hardware/?cm_type=gnav","Cast Iron Black Ribbed Endcap Finial - Set of 2"
"1630605169-11560","https://www.potterybarn.com/shop/window-treatments/all-window-hardware/?cm_type=gnav","Cast Iron Black Endcap Finials - Set of 2"
