web-scraper-order,web-scraper-start-url,nnn
"1633011708-188","https://www.weber.com/US/en/accessories/accessories-by-category/fuel/","Cherry Wood Chips"
"1633011708-192","https://www.weber.com/US/en/accessories/accessories-by-category/fuel/","Pecan Wood Chips"
"1633011708-189","https://www.weber.com/US/en/accessories/accessories-by-category/fuel/","Apple Wood Chips"
"1633011708-196","https://www.weber.com/US/en/accessories/accessories-by-category/fuel/","Mesquite Wood Chunks"
"1633011708-187","https://www.weber.com/US/en/accessories/accessories-by-category/fuel/","Hickory Wood Chips"
"1633011708-186","https://www.weber.com/US/en/accessories/accessories-by-category/fuel/","Cherry All-Natural Hardwood Pellets"
"1633011708-194","https://www.weber.com/US/en/accessories/accessories-by-category/fuel/","Hickory Wood Chunks"
"1633011708-191","https://www.weber.com/US/en/accessories/accessories-by-category/fuel/","Pecan Wood Chunks"
"1633011708-190","https://www.weber.com/US/en/accessories/accessories-by-category/fuel/","Mesquite Wood Chips"
"1633011708-195","https://www.weber.com/US/en/accessories/accessories-by-category/fuel/","Cherry Wood Chunks"
"1633011708-183","https://www.weber.com/US/en/accessories/accessories-by-category/fuel/","Hickory All-Natural Hardwood Pellets"
"1633011708-193","https://www.weber.com/US/en/accessories/accessories-by-category/fuel/","Apple Wood Chunks"
"1633011708-185","https://www.weber.com/US/en/accessories/accessories-by-category/fuel/","Mesquite All-Natural Hardwood Pellets"
"1633011708-182","https://www.weber.com/US/en/accessories/accessories-by-category/fuel/","GrillMaster Blend All-Natural Hardwood Pellets"
"1633011708-184","https://www.weber.com/US/en/accessories/accessories-by-category/fuel/","Apple All-Natural Hardwood Pellets"
