web-scraper-order,web-scraper-start-url,nnn
"1633008084-40","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Apron - Red"
"1633008084-31","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Griddle - Q 100/1000 series"
"1633008084-8","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Grill & Griddle Station - Gourmet BBQ System"
"1633008084-35","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Grilling Rack"
"1633008084-5","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Precision Grill Tongs"
"1633008084-38","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Pizza Paddle"
"1633008084-42","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Premium Tongs"
"1633008084-33","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Griddle - Q 200/2000 series"
"1633008084-37","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Deluxe Poultry Roaster"
"1633008084-4","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Precision Wide Grill Spatula"
"1633008084-49","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Steak Knife & Fork Set - 4 Pcs"
"1633008084-54","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Vegetable Knife - Large"
"1633008084-15","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","3 pc Premium Tool Set"
"1633008084-6","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Limited Edition Collectors Apron"
"1633008084-34","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Apron - Black"
"1633008084-27","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Small Premium Tool Set"
"1633008084-12","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Griddle - Spirit II 200/300 and Spirit 200/300 series"
"1633008084-29","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Premium Basting Brush"
"1633008084-22","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Griddle - Summit 400/600 series"
"1633008084-57","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Deluxe Grilling Pan Set"
"1633008084-30","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Rib Rack"
"1633008084-13","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Rotisserie - Genesis II 200/300 series"
"1633008084-25","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Porcelain-Enameled Cast Iron Griddle - SmokeFire EX4/EX6 & Spirit 300"
"1633008084-32","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Deluxe Grilling Basket - Small"
"1633008084-36","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Grilling Stone - Large gas/charcoal & Summit Charcoal Grill/Grilling Ctr"
"1633008084-24","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Barbecue Mitt"
"1633008084-7","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Precision Grill Spatula"
"1633008084-21","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Poultry Roaster"
"1633008084-52","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Deluxe Steak Knife Set - 4 Pcs"
"1633008084-20","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Rotisserie - Spirit 200/300/500/700, Genesis Silver/Gold/Plat/1000-5500"
"1633008084-56","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Pizza Stone"
"1633008084-41","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Wok"
"1633008084-10","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Deluxe Grilling Basket - Large"
"1633008084-2","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Weber Silicone Grilling Gloves"
"1633008084-17","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Sear Grate - Gourmet BBQ System"
"1633008084-18","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Rotisserie - 22"" charcoal grills"
"1633008084-55","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Grilling Basket Set - Elevations Tiered Grilling System"
"1633008084-47","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Pizza Cutter"
"1633008084-53","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Griddle - Genesis II 300/400/600 series"
"1633008084-19","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Deluxe Grilling Pan"
"1633008084-26","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Rotisserie - Genesis II 400/600"
"1633008084-46","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Deluxe Tool Set"
"1633008084-50","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Expansion Rack - Elevations Tiered Grilling System"
"1633008084-9","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Dutch Oven Duo"
"1633008084-28","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Sear Grate - Genesis II 300/400/600 series"
"1633008084-14","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Premium Gloves"
"1633008084-23","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Large Premium Tool Set"
"1633008084-43","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Griddle - Q 300/3000 series"
"1633008084-45","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Grilling Basket"
"1633008084-3","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Precision Grill Tongs & Spatula Set"
"1633008084-48","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Poultry Roaster"
"1633008084-11","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Griddle"
"1633008084-1","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Precision 3-Piece Grill Set"
"1633008084-16","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Deluxe Place Setting - 12 Pcs"
"1633008084-39","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Large Grilling Basket"
"1633008084-44","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Wide Premium Spatula"
"1633008084-51","https://www.weber.com/US/en/accessories/accessories-by-category/tools--et--cookware/","Premium Spatula"
