web-scraper-order,web-scraper-start-url,nnn
"1633022505-244","https://www.weber.com/US/en/accessories/accessories-by-grill-type/charcoal-grill-accessories/","Char-Baskets"
"1633022505-247","https://www.weber.com/US/en/accessories/accessories-by-grill-type/charcoal-grill-accessories/","Rotisserie - 22"" charcoal grills"
"1633022505-237","https://www.weber.com/US/en/accessories/accessories-by-grill-type/charcoal-grill-accessories/","12 pc Rapidfire Fire Starters"
"1633022505-246","https://www.weber.com/US/en/accessories/accessories-by-grill-type/charcoal-grill-accessories/","Charcoal Rake"
"1633022505-242","https://www.weber.com/US/en/accessories/accessories-by-grill-type/charcoal-grill-accessories/","Premium Grill Cover - Performer Premium and Deluxe 22"""
"1633022505-250","https://www.weber.com/US/en/accessories/accessories-by-grill-type/charcoal-grill-accessories/","Premium Grill Cover - 26"" charcoal grills"
"1633022505-258","https://www.weber.com/US/en/accessories/accessories-by-grill-type/charcoal-grill-accessories/","Grill Cover - 18"" charcoal grills"
"1633022505-241","https://www.weber.com/US/en/accessories/accessories-by-grill-type/charcoal-grill-accessories/","Rapidfire Chimney Starter"
"1633022505-243","https://www.weber.com/US/en/accessories/accessories-by-grill-type/charcoal-grill-accessories/","Lighter Cubes"
"1633022505-245","https://www.weber.com/US/en/accessories/accessories-by-grill-type/charcoal-grill-accessories/","Deluxe Grilling Basket - Large"
"1633022505-251","https://www.weber.com/US/en/accessories/accessories-by-grill-type/charcoal-grill-accessories/","Premium Grill Cover - Summit Kamado E6/Summit Charcoal Grills"
"1633022505-256","https://www.weber.com/US/en/accessories/accessories-by-grill-type/charcoal-grill-accessories/","Grilling Rack"
"1633022505-254","https://www.weber.com/US/en/accessories/accessories-by-grill-type/charcoal-grill-accessories/","Premium Grill Cover - Summit Kamado S6/Summit Charcoal Grilling Ctr"
"1633022505-249","https://www.weber.com/US/en/accessories/accessories-by-grill-type/charcoal-grill-accessories/","Premium Grill Cover - Performer 22"" charcoal grills with folding table"
"1633022505-252","https://www.weber.com/US/en/accessories/accessories-by-grill-type/charcoal-grill-accessories/","Tool Hooks"
"1633022505-240","https://www.weber.com/US/en/accessories/accessories-by-grill-type/charcoal-grill-accessories/","Premium Grill Cover - 22"" charcoal grills"
"1633022505-239","https://www.weber.com/US/en/accessories/accessories-by-grill-type/charcoal-grill-accessories/","Table - Performers (2005-2019, excluding models with a folding table)"
"1633022505-257","https://www.weber.com/US/en/accessories/accessories-by-grill-type/charcoal-grill-accessories/","Grilling Stone - Large gas/charcoal & Summit Charcoal Grill/Grilling Ctr"
"1633022505-259","https://www.weber.com/US/en/accessories/accessories-by-grill-type/charcoal-grill-accessories/","Premium Grill Cover - 18"" charcoal grills"
"1633022505-248","https://www.weber.com/US/en/accessories/accessories-by-grill-type/charcoal-grill-accessories/","Rapidfire Compact Chimney Starter"
"1633022505-238","https://www.weber.com/US/en/accessories/accessories-by-grill-type/charcoal-grill-accessories/","2 pc Rapidfire Fire Starters"
"1633022505-253","https://www.weber.com/US/en/accessories/accessories-by-grill-type/charcoal-grill-accessories/","Grill Cover - 22"" charcoal grills"
"1633022505-255","https://www.weber.com/US/en/accessories/accessories-by-grill-type/charcoal-grill-accessories/","Grilling Rack"
