web-scraper-order,web-scraper-start-url,nnn
"1632854916-163","https://www.weber.com/US/en/grills/gas-grills/spirit/","Spirit E-310 Gas Grill (Natural Gas)"
"1632854916-156","https://www.weber.com/US/en/grills/gas-grills/spirit/","Spirit II E-310 Gas Grill"
"1632854916-162","https://www.weber.com/US/en/grills/gas-grills/spirit/","Spirit II E-310 Gas Grill (Natural Gas)"
"1632854916-160","https://www.weber.com/US/en/grills/gas-grills/spirit/","Spirit E-310 Gas Grill"
"1632854916-153","https://www.weber.com/US/en/grills/gas-grills/spirit/","Spirit SX-315 Smart Grill"
"1632854916-154","https://www.weber.com/US/en/grills/gas-grills/spirit/","Spirit SX-315 Smart Grill (Natural Gas)"
"1632854916-158","https://www.weber.com/US/en/grills/gas-grills/spirit/","Spirit S-315 Gas Grill (Natural Gas)"
"1632854916-155","https://www.weber.com/US/en/grills/gas-grills/spirit/","Spirit S-315 Gas Grill"
"1632854916-161","https://www.weber.com/US/en/grills/gas-grills/spirit/","Spirit II E-210 Gas Grill"
"1632854916-159","https://www.weber.com/US/en/grills/gas-grills/spirit/","Spirit E-210 Gas Grill"
"1632854916-157","https://www.weber.com/US/en/grills/gas-grills/spirit/","Spirit E-330 Gas Grill"
