web-scraper-order,web-scraper-start-url,nnn
"1632855014-166","https://www.weber.com/US/en/grills/gas-grills/summit/","Summit® S-670 Gas Grill"
"1632855014-175","https://www.weber.com/US/en/grills/gas-grills/summit/","Summit® S-670 Gas Grill (Natural Gas)"
"1632855014-172","https://www.weber.com/US/en/grills/gas-grills/summit/","Summit® S-470 Gas Grill (Natural Gas)"
"1632855014-170","https://www.weber.com/US/en/grills/gas-grills/summit/","Summit® S-470 Gas Grill"
"1632855014-168","https://www.weber.com/US/en/grills/gas-grills/summit/","Summit® S-460 Built-In Gas Grill"
"1632855014-171","https://www.weber.com/US/en/grills/gas-grills/summit/","Summit® E-670 Gas Grill (Natural Gas)"
"1632855014-176","https://www.weber.com/US/en/grills/gas-grills/summit/","Summit® Grill Center (Natural Gas)"
"1632855014-180","https://www.weber.com/US/en/grills/gas-grills/summit/","Summit® E-670 Gas Grill"
"1632855014-181","https://www.weber.com/US/en/grills/gas-grills/summit/","Summit® S-660 Built-In Gas Grill (Natural Gas)"
"1632855014-167","https://www.weber.com/US/en/grills/gas-grills/summit/","Summit® S-660 Built-In Gas Grill"
"1632855014-173","https://www.weber.com/US/en/grills/gas-grills/summit/","Summit® E-470 Gas Grill"
"1632855014-177","https://www.weber.com/US/en/grills/gas-grills/summit/","Summit® Grill Center S.S. (Natural Gas)"
"1632855014-178","https://www.weber.com/US/en/grills/gas-grills/summit/","Summit® Grill Center"
"1632855014-169","https://www.weber.com/US/en/grills/gas-grills/summit/","Summit® S-460 Built-In Gas Grill (Natural Gas)"
"1632855014-174","https://www.weber.com/US/en/grills/gas-grills/summit/","Summit® E-470 Gas Grill (Natural Gas)"
"1632855014-179","https://www.weber.com/US/en/grills/gas-grills/summit/","Summit® Grill Center S.S."
