web-scraper-order,web-scraper-start-url,name
"1631845003-1400","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Williams Sonoma Classic Gluten Free Brownie Mix"
"1631845003-1431","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Organic Central Milling All-Purpose Flour"
"1631845003-1366","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Williams Sonoma Raspberry Scone Mix"
"1631845003-1389","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Williams Sonoma Skillet Cookie Mix, Campfire S'mores"
"1631845003-1432","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Williams Sonoma Campfire S'mores Skillet Cookie Mix with Lodge Skillet"
"1631845003-1367","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Williams Sonoma Vanilla Bean Bundt® Cake Mix"
"1631845003-1358","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Williams Sonoma Pineapple Brown Sugar Quick Bread Mix"
"1631845003-1393","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Williams Sonoma Chocolate Chunk Skillet Cookie Mix with Lodge Skillet"
"1631845003-1397","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Williams Sonoma Chocolate Chip Cookie Mix"
"1631845003-1294","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Nielsen-Massey Madagascar Vanilla Quick Bread Mix"
"1631845003-1346","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Williams Sonoma Gluten Free Coffee Cake Quick Bread Mix"
"1631845003-1364","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Cup4Cup Gluten-Free Multipurpose Flour"
"1631845003-1390","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Nielsen-Massey for Williams Sonoma Madagascar Bourbon Mexican Vanilla Extract, 8-Oz."
"1631845003-1470","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Williams Sonoma Decorating Mix, Yellow"
"1631845003-1438","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Dessert Party Bundle"
"1631845003-1471","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Williams Sonoma Decorating Mix, Red"
"1631845003-1376","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Williams Sonoma Gluten-Free Meyer Lemon Bundt Cake Mix"
"1631845003-1349","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Williams Sonoma Gluten Free Artisan French Bread Mix"
"1631845003-1442","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Flour Shop Birthday Sprinkles"
"1631845003-1392","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Williams Sonoma Classic Brownie Mix"
"1631845003-1324","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Caramel Pumpkin Butter"
"1631845003-1385","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Blueberry Buttermilk Muffin Mix"
"1631845003-1356","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Williams Sonoma Pumpkin Chocolate Chunk Quick Bread Mix & Pumpkin Caramel Butter"
"1631845003-1330","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Cinnamon Apple Butter"
"1631845003-1413","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Williams Sonoma Raspberry Baking Set"
"1631845003-1428","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Williams Sonoma Cookie Mix, Snickerdoodle"
"1631845003-1407","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Williams Sonoma Molten Chocolate Cake Mix"
"1631845003-1404","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Organic Central Milling Bread Flour"
"1631845003-1348","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Williams Sonoma Peaches & Cream Muffin Mix"
"1631845003-1463","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Georgetown Cupcake Chocolate Frosting Mix"
"1631845003-1469","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Georgetown Cupcake Cookie Mix, Birthday Cake"
"1631845003-1312","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Williams Sonoma Banana Bread Quick Bread"
"1631845003-1451","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Joy the Baker Vanilla Sheet Cake with Praline Glaze"
"1631845003-1449","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Williams Sonoma Chocolate Chip Scone Mix"
"1631845003-1394","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Williams Sonoma Gluten-Free Vanilla Sugar Cookie Mix"
"1631845003-1459","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Williams Sonoma Blueberry Pie in a Jar"
"1631845003-1479","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Flour Shop Just Add Cake Rainbow Polka Dot Sprinkles"
"1631845003-1381","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Williams Sonoma Enchanted Unicorn Sprinkle Mix"
"1631845003-1321","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Nielsen-Massey World Vanillas, Set of 3"
"1631845003-1341","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Williams Sonoma Gluten-Free Quick Bread Mix, Spiced Apple"
"1631845003-1477","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Williams Sonoma Oatmeal Raisin Cookie Mix"
"1631845003-1344","https://www.williams-sonoma.com/shop/food/food-all-mixes/?cm_type=lnav","Williams Sonoma Artisan French Bread Mix"
