web-scraper-order,web-scraper-start-url,name
"1631895630-5969","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Black Hapao Napkin Ring"
"1631895630-5941","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Ombre Check Table Runner"
"1631895630-5946","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Pavao Hardmat"
"1631895630-5884","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Iznik Oilcloth Outdoor Tablecloth"
"1631895630-5868","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Noel Jacquard Table Runner"
"1631895630-5676","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Hotel Table Runner"
"1631895630-5848","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Antique Brass Leaf Napkin Rings, Set of 4"
"1631895630-5797","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Harvest Stripe Napkins, Set of 4"
"1631895630-5729","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Vine Floral Boutis Scalloped Placemats, Set of 4"
"1631895630-5666","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Acorn Harvest Jacquard Placemats"
"1631895630-5793","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Nito Square Placemat"
"1631895630-5976","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Buffalo Check Table Runner"
"1631895630-5770","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Bee Round Tablecloth"
"1631895630-5699","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Twas the Night Before Christmas Napkins, Set of 4"
"1631895630-5704","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Holly Jacquard Tablecloth"
"1631895630-5662","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Meyer Lemon Table Runner"
"1631895630-5718","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","The House of Scalamandré Round Tablecloth"
"1631895630-5741","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","White Woven Hapao Round Placemat"
"1631895630-5773","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Sicily Round Tablecloth"
"1631895630-5787","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","The Grinch™ Hardmat"
"1631895630-5966","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Tonal Kashmir Napkin"
"1631895630-5708","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Striped Table Runner"
"1631895630-5814","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Plymouth Bird Embroidered Napkins, Set of 4"
"1631895630-5798","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Dark Wood Napkin Rings, Set of 4"
"1631895630-5904","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Maritime Sealife Napkins, Set of 4"
"1631895630-5767","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Hammered Copper Charger Plate"
"1631895630-5894","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Garment Dyed Italian Linen Napkins, Set of 4"
"1631895630-5881","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Palm Round Tablecloth"
"1631895630-5846","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Gold Border Napkins, Set of 4"
"1631895630-5808","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Twas the Night Before Christmas Embroidered Napkins, Set of 4"
"1631895630-5804","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Sicilian Mosaic Oilcloth Outdoor Round Tablecloth"
"1631895630-5817","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Harvest Stripe Tablecloth"
"1631895630-5687","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Classic Plaid Jacquard Tablecloth"
"1631895630-5760","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Sicilian Mosaic Oilcloth Outdoor Tablecloth"
"1631895630-5759","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Chilewich Amalfi Placemat"
"1631895630-5736","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Milazzo Sicily Tablecloth"
"1631895630-5813","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Chilewich Heddle Placemat"
"1631895630-5880","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","AERIN Panama Tablecloth"
"1631895630-5783","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Sorrento Tile Jacquard Tablecloth"
"1631895630-5650","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Heirloom Pumpkin Tablecloth"
"1631895630-5858","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Twas the Night Table Runner and Napkins, Set of 4"
"1631895630-5811","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Antique Brass Napkin Rings"
"1631895630-5753","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Bee Napkins, Set of 4"
"1631895630-5802","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Chilewich Origami Honey Placemat"
"1631895630-5779","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Marble Honeycomb Napkin Rings"
"1631895630-5861","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Chilewich Beam Placemat"
"1631895630-5690","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Classic Plaid Jacquard Napkins, Set of 4"
"1631895630-5652","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Meyer Lemon Napkins"
"1631895630-5835","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Woodland Berry Tablecloth"
"1631895630-5778","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Olivewood Napkin Rings, Set of 4"
"1631895630-5972","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Italian Washed Linen Over-Sized Napkins, Set of 4"
"1631895630-5896","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Citrus Embroidered Napkins, Mixed, Set of 4"
"1631895630-5756","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Sculptural Pumpkin Napkin Rings, Set of 4"
"1631895630-5638","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Harvest Bloom Hardmat"
"1631895630-5807","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Lemon Cloisonné Napkin Rings, Set of 4"
"1631895630-5825","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Classic Tartan Hardmat"
"1631895630-5872","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Vine Floral Boutis Tablecloth"
"1631895630-5971","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-table-linens/?cm_type=lnav","Ribbon Napkin Rings, Set of 4"
