web-scraper-order,web-scraper-start-url,name
"1631816415-3171","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Goldtouch® Pro Nylon Offset Icing Spatula, Set of 2"
"1631816415-3182","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Stainless Steel Ultimate Measuring Cups & Spoons"
"1631816415-3377","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Mickey Mouse Impression Cookie Cutter Set"
"1631816415-3263","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","de Buyer Crepe Pan & Mix Set"
"1631816415-3278","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Silpat Nonstick Silicone Mini Muffin Pan, 20-Well"
"1631816415-3242","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Goldtouch® Pro Silicone and Nylon Bench Scraper"
"1631816415-3399","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Copper Candy Cane Cookie Cutter"
"1631816415-3252","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma High Heat NS 2.0 Pizza Pan"
"1631816415-3271","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Emile Henry French Ceramic Ribbed Pizza Stone"
"1631816415-3331","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","de Buyer Cookie Cutters Set, Round"
"1631816415-3192","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Halloween Cookie Cutter Storybook 23-Piece Set"
"1631816415-3356","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Copper Tree Cookie Cutter"
"1631816415-3198","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Bread Baker's Dream 4-Piece Set"
"1631816415-3337","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Goldtouch® Pro Straight Nylon Icing Spatula, 8"""
"1631816415-3214","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Breville Smart Oven Pizza Crisper"
"1631816415-3319","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Doughnut Cutter"
"1631816415-3305","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Digital Candy Thermometer"
"1631816415-3269","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Silpat Nonstick Boulangerie Round Perforated Crisping Pizza Mat"
"1631816415-3396","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Cherry Piecrust Cutter"
"1631816415-3408","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Anchor Hocking Glass Measuring Cups"
"1631816415-3353","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Flour Shop Rainbow Measuring Cups"
"1631816415-3332","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Silpat Nonstick Silicone Mini Fluted Cake Pan, 8-Well"
"1631816415-3191","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","HARRY POTTER™ Cookie Cutter Set"
"1631816415-3381","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Summer Lobster Party Cookies on Ring, Set of 6"
"1631816415-3185","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Anchor Hocking Glass Measuring Cups"
"1631816415-3306","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Open Kitchen by Williams Sonoma Pizza Wheel"
"1631816415-3373","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Snowman Copper Cookie Cutter"
"1631816415-3233","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Lodge Bakeware Seasoned Cast Iron Pizza Pan"
"1631816415-3181","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Emile Henry French Ceramic Pizza Stone"
"1631816415-3196","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Kitchen Torch"
"1631816415-3262","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Star Wars™ Pancake Molds, Set of 4"
"1631816415-3366","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Copper Butterfly Cookie Cutter"
"1631816415-3209","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","OXO 3-Piece Angled Measuring Cups"
"1631816415-3216","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Ateco Pastry Bag Decorating Kit"
"1631816415-3195","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Wood Bread & Pizza Peel"
"1631816415-3354","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","de Buyer Cookie Cutters Set, Heart"
"1631816415-3368","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Stainless-Steel Gingerbread Man Handle Cookie Cutter"
"1631816415-3340","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","de Buyer Cookie Cutters Set, Square"
"1631816415-3411","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Emile Henry French Ceramic Pizza Stone"
"1631816415-3402","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Copper Snowflake Cookie Cutter"
"1631816415-3283","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Lattice Pie Crust Cutter"
"1631816415-3208","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Olivewood Bench Scraper"
"1631816415-3364","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Copper Star Cookie Cutter"
"1631816415-3328","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Silpat Nonstick Silicone Mini Madeleine Pan"
"1631816415-3224","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Pizza Scizza"
"1631816415-3388","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Star Wars™ Boxed Cookie Kit"
"1631816415-3280","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Cookie of the Month Storybox Cookie Cutter 23-Piece Set"
"1631816415-3237","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Emile Henry French Ceramic Rectangular Pizza Stone"
"1631816415-3362","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Copper Angel Cookie Cutter"
"1631816415-3225","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Epicurean Pizza Cutter"
"1631816415-3404","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Egg Stainless-Steel Cookie Cutter with Handle"
"1631816415-3238","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Easy-Read Candy Thermometer"
"1631816415-3379","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Ultimate Alphabet & Number Cookie Set"
"1631816415-3197","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Mickey Mouse Silicone Pancake Molds"
"1631816415-3188","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Fall Pie Punches & Impression Cookie Cutters, Set of 6"
"1631816415-3257","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Silpat Nonstick Silicone Perfect Macaron Mat"
"1631816415-3321","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Honey Dipper, Walnut"
"1631816415-3286","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Anchor Hocking Glass Beaker Measuring Cup, 8-Oz."
"1631816415-3239","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Emile Henry French Ceramic Square Pizza Stone"
"1631816415-3407","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Ice-Skate Stainless-Steel Cookie Cutter"
"1631816415-3314","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","de Buyer Macaron Mat"
"1631816415-3202","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma French Tapered Olivewood Rolling Pin"
"1631816415-3180","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Silpat Nonstick Silicone Baking Mat"
"1631816415-3243","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Olivewood Pastry Brush"
"1631816415-3376","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Copper Candy Cane Cookie Cutter"
"1631816415-3274","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","USA Pan Nonstick Pizza Pan, 12"""
"1631816415-3380","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Summer Berry Pie Punches, Set of 5"
"1631816415-3270","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Emile Henry French Ceramic Pizza Stone with Williams Sonoma Pizza Night Cookbook"
"1631816415-3204","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Goldtouch® Nonstick Pizza Crisper"
"1631816415-3320","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Olivewood Pastry Tool Set with Rolling Pin"
"1631816415-3343","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Baker's Twine"
"1631816415-3218","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Prep Tools Pizza Wheel"
"1631816415-3194","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","OXO Cookie Scoop Set"
"1631816415-3393","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Pie Bird"
"1631816415-3289","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Straight Olivewood Rolling Pin"
"1631816415-3387","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Disposable Pastry Bags"
"1631816415-3297","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Emile Henry French Ceramic Deep Dish Pizza Pan"
"1631816415-3323","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Goldtouch® Pro Nonstick Deep Dish Pizza"
"1631816415-3178","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Stainless-Steel Pastry Scraper"
"1631816415-3288","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Silpat Nonstick Silicone Mini Loaf Pan Plaque"
"1631816415-3292","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Stainless-Steel Bench Scraper"
"1631816415-3346","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Sweet Stainless Steel Impression Cookie Cutters"
"1631816415-3309","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma 'Twas the Night Holiday Cookie Cutter 26-Piece Set"
"1631816415-3277","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Open Kitchen by Williams Sonoma Stainless-Steel Measuring Spoons"
"1631816415-3294","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Valentine's Day Measuring Cup Set"
"1631816415-3260","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Goldtouch® Pro Nylon Cake Spatula"
"1631816415-3279","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Open Kitchen by Williams Sonoma Stainless-Steel Measuring Cups"
"1631816415-3229","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Pie Weights Jar"
"1631816415-3189","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Pizza Stone"
"1631816415-3172","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Silicone Adjustable Pie Crust Shield"
"1631816415-3312","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Silpat Nonstick Heart Mold"
"1631816415-3350","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Mini Impression Cookie Cutter, Heart"
"1631816415-3203","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Walnut Handled Pizza Wheel"
"1631816415-3234","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Mickey Mouse Boxed Cookie Cutter Set and Spatula, 22-Piece Set"
"1631816415-3265","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Prep Tools Mini Whisk"
"1631816415-3317","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Black Walnut Handle Dough Whisk"
"1631816415-3235","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Reversible Pastry Board"
"1631816415-3351","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Walnut Straight Icing Spatulas, Set of 2"
"1631816415-3215","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Black Walnut Handle Bread Lame"
"1631816415-3170","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Pastry Blender"
"1631816415-3246","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","HARRY POTTER™ Pancake Molds"
"1631816415-3199","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Goldtouch® Pro Nonstick Pie Dish"
"1631816415-3206","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Spice Jar Measuring Spoons"
"1631816415-3212","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Goldtouch® Pro Nonstick Pizza Pan, 12"""
"1631816415-3405","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Copper Cookie Cutter, Mitten"
"1631816415-3322","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Walnut Offset Spatula"
"1631816415-3244","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Kuhn Rikon 23-Piece Cookie Set with Cookie Press & Decorating Icing Set"
"1631816415-3213","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","All-Clad Stainless-Steel Pizza Cutter"
"1631816415-3367","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Classic Holiday Baking Bundle"
"1631816415-3227","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Flex-It Silicone Measuring Cups"
"1631816415-3190","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Staub Enameled Cast Iron Crêpe Pan with Spreader & Spatula"
"1631816415-3193","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Fall Rolling Impression Pie Crust Cutter"
"1631816415-3357","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Giant Gingerbread Man Copper Cookie Cutter"
"1631816415-3348","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Olivewood Pastry Tools, Set of 5"
"1631816415-3326","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Stainless-Steel Star Biscuit 5-Piece Cookie Cutter Set"
"1631816415-3176","https://www.williams-sonoma.com/shop/bakeware/view-all-baking-tools/?cm_type=lnav","Williams Sonoma Olivewood Offset Icing Spatula"
