web-scraper-order,web-scraper-start-url,name
"1631897263-6506","https://www.williams-sonoma.com/shop/outdoor/outdoor-cookware-all/?cm_type=lnav","Grilling Towel, Set of 2"
"1631897263-6505","https://www.williams-sonoma.com/shop/outdoor/outdoor-cookware-all/?cm_type=lnav","Williams Sonoma Hickory Plank, Set of 4"
"1631897263-6376","https://www.williams-sonoma.com/shop/outdoor/outdoor-cookware-all/?cm_type=lnav","Monogrammed Forged Steak Brand"
"1631897263-6419","https://www.williams-sonoma.com/shop/outdoor/outdoor-cookware-all/?cm_type=lnav","Himalayan Salt Plank"
"1631897263-6507","https://www.williams-sonoma.com/shop/outdoor/outdoor-cookware-all/?cm_type=lnav","Wüsthof Stainless-Steel 10-Piece Steak & Carving Knife Set"
"1631897263-6352","https://www.williams-sonoma.com/shop/outdoor/outdoor-cookware-all/?cm_type=lnav","Ooni Premium Pellets 20lbs"
"1631897263-6383","https://www.williams-sonoma.com/shop/outdoor/outdoor-cookware-all/?cm_type=lnav","Cuisinart Ultimate Backyard BBQ Grill Tools, 36 Piece Set"
"1631897263-6443","https://www.williams-sonoma.com/shop/outdoor/outdoor-cookware-all/?cm_type=lnav","Shun Hikari Steak Knives, Set of 4"
"1631897263-6370","https://www.williams-sonoma.com/shop/outdoor/outdoor-cookware-all/?cm_type=lnav","Williams Sonoma Stainless-Steel Handled 4-Piece BBQ Tool Set with Storage Case"
"1631897263-6485","https://www.williams-sonoma.com/shop/outdoor/outdoor-cookware-all/?cm_type=lnav","Williams-Sonoma Ultimate Cutting & Carving Board, Maple"
"1631897263-6359","https://www.williams-sonoma.com/shop/outdoor/outdoor-cookware-all/?cm_type=lnav","Le Creuset Enameled Cast Iron Skinny Grill with Cookbook"
"1631897263-6330","https://www.williams-sonoma.com/shop/outdoor/outdoor-cookware-all/?cm_type=lnav","Crafthouse by Fortessa Cocktail Smoking Box"
"1631897263-6316","https://www.williams-sonoma.com/shop/outdoor/outdoor-cookware-all/?cm_type=lnav","Adjustable Nonstick Burger Press"
"1631897263-6504","https://www.williams-sonoma.com/shop/outdoor/outdoor-cookware-all/?cm_type=lnav","Grilling Oven Mitt & Potholder Set"
"1631897263-6435","https://www.williams-sonoma.com/shop/outdoor/outdoor-cookware-all/?cm_type=lnav","Looftlighter Electric Firestarter"
"1631897263-6493","https://www.williams-sonoma.com/shop/outdoor/outdoor-cookware-all/?cm_type=lnav","Grillight 2-Piece Tool Set"
"1631897263-6335","https://www.williams-sonoma.com/shop/outdoor/outdoor-cookware-all/?cm_type=lnav","Williams Sonoma Rub, Potlatch Seasoning"
"1631897263-6350","https://www.williams-sonoma.com/shop/outdoor/outdoor-cookware-all/?cm_type=lnav","Cuisinart 20-Piece Deluxe Grill Set"
