web-scraper-order,web-scraper-start-url,name
"1631888048-2326","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Williams Sonoma Muffin Mix, Meyer Lemon"
"1631888048-2253","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Williams Sonoma Blueberry Pancake & Waffle Mix"
"1631888048-2282","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Joy the Baker Carrot Cake Pancakes"
"1631888048-2290","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Snooze Eatery Pancake Mix, Texas Pecan Praline"
"1631888048-2229","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Williams Sonoma Pecan Pumpkin Butter"
"1631888048-2319","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Artisan de la Truffe Honey"
"1631888048-2297","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Regalis Tennessee Black Truffle Honeycomb"
"1631888048-2296","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Snooze Eatery Pancake Mix, Coffee 'n Donuts"
"1631888048-2211","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Galaxy Morning Buns"
"1631888048-2309","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Snooze Eatery French Toast Kit, Sticky Toffee"
"1631888048-2307","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Morning Loaf Sampler"
"1631888048-2292","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","H&H Bagels Two Dozen Bagels"
"1631888048-2304","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Le Marais Almond Croissant Sampler, Set of 10"
"1631888048-2278","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Williams Sonoma Maple Bacon Savory Pancake & Waffle Mix"
"1631888048-2291","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Joy the Baker Blueberry Pancake Muffins"
"1631888048-2283","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Williams Sonoma Gluten Free Blueberry Scone Mix"
"1631888048-2263","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Garvey Traditional Scone Mix"
"1631888048-2270","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Le Marais Pain Aux Raisins, Set of 10"
"1631888048-2330","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Williams Sonoma Gluten Free Maple Bacon Savory Pancake & Waffle Mix"
"1631888048-2274","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Butternut Mountain Farm Maple Syrup"
"1631888048-2212","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Williams Sonoma Blackberry-Lemon Pancake & Waffle Mix"
"1631888048-2220","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Snooze Eatery French Toast Kit Duo"
"1631888048-2329","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Williams Sonoma Almond Flour Pancake and Waffle Mix"
"1631888048-2248","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Robby's Buttermilk Pancake Mix"
"1631888048-2231","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Galaxy Mini Croissants"
"1631888048-2318","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Enzo Almond Butter"
"1631888048-2242","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Williams Sonoma Gluten-Free Bellegem Waffle Mix"
"1631888048-2246","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Galaxy Ready-to-Bake Mini Chocolate Croissants"
"1631888048-2267","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Williams Sonoma Gluten-Free Flappin' Jack Pancake Mix"
"1631888048-2315","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Williams Sonoma Blueberry Lovers Set"
"1631888048-2321","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Breezy Hill Fall Donut Box, Set of 12"
"1631888048-2294","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Williams Sonoma Blackberry Raspberry Jam"
"1631888048-2311","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Mariposa Gluten-Free Brunch Sampler, Set of 8"
"1631888048-2216","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Williams Sonoma Assorted Mini Savory Croissants"
"1631888048-2314","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Flour Bakery Brunch Sampler, Set of 3"
"1631888048-2218","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Williams Sonoma Crepe Mix"
"1631888048-2303","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Galaxy Chocolate-Chocolate Croissants"
"1631888048-2277","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Le Marais Classic Croissants, Set of 12"
"1631888048-2210","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Galaxy Sticky Buns"
"1631888048-2262","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Williams Sonoma Peaches & Cream Muffin Mix"
"1631888048-2256","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Snooze Eatery Pancake Mix, Cinnamon Roll"
"1631888048-2245","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Gluten-Free Muffin Mix, Pumpkin Spice"
"1631888048-2327","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Fortnum & Mason Preserve, Raspberry"
"1631888048-2217","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Williams Sonoma Pumpkin Pecan Scone Mix"
"1631888048-2301","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Gluten-Free Muffin Mix, Banana Chocolate Chip"
"1631888048-2310","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","H&H Bagels with Schmear & Nova Lox"
"1631888048-2269","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Williams Sonoma Raspberry Scone Mix"
"1631888048-2286","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Blueberry Buttermilk Muffin Mix"
"1631888048-2336","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Williams Sonoma Chocolate Chip Scone Mix"
"1631888048-2239","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Williams Sonoma Pumpkin Spice Maple Syrup"
"1631888048-2258","https://www.williams-sonoma.com/shop/food/croissants-and-breakfast/?cm_type=lnav&cm_src=OLDLINK","Williams Sonoma Chocolate Bellegem Waffle Mix"
