web-scraper-order,web-scraper-start-url,name
"1631816373-2652","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Wüsthof 2-Piece Classic Carving Set"
"1631816373-2892","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Zwilling J.A. Henckels Pro Serrated Prep Knife, 5 1/2"""
"1631816373-3055","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Berkel Red Line 220 Electric Food Slicer"
"1631816373-2960","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Wüsthof Ikon Blackwood 5"" Serrated Utility Knife"
"1631816373-2832","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Cuisinart Triple Rivet 16-Piece Knife Set"
"1631816373-3045","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Shun Kaji 9"" Hollow-Ground Slicer"
"1631816373-3116","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Berkel Elegance Prosciutto Knife"
"1631816373-2522","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Shun Premier Santoku Knives"
"1631816373-2565","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Cuisinart 15-Piece V-Edge Knife Set"
"1631816373-3157","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Gold & Wood Cheese Set"
"1631816373-2583","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Shun Classic 5-Piece Starter Block Set"
"1631816373-2594","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Wüsthof Classic Ikon Paring Knife, 3 1/2"""
"1631816373-2635","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Williams Sonoma Edge-Grain Cutting Board, Cherry"
"1631816373-2801","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Cuisinart 15-Piece Triple Rivet Knife Block Set"
"1631816373-2980","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Wüsthof Classic 9"" Hollow-Edge Carving Knife"
"1631816373-3065","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Zwilling J.A. Henckels Pro Ultimate Serrated Utility Knife, 5"""
"1631816373-3114","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Global Sai Bread Knife"
"1631816373-2687","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Zwilling JA Henckels 7-Piece Gourmet Self-Sharpening Knife Block Set"
"1631816373-2890","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Shun Fuji 4-Piece Knife Block Set"
"1631816373-3124","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Laguiole en Aubrac Ebony Steak Knives, Set of 4"
"1631816373-2562","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Antonini Olivewood Cheese Knives Set"
"1631816373-2572","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Shun Classic Chef's Knives"
"1631816373-3103","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Zwilling Kanren 4 1/2"" Steak Knife"
"1631816373-2501","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Global Classic Knife 2-Piece Chef's Set"
"1631816373-2690","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Boos End-Grain Square Chopping Block, Maple"
"1631816373-2547","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Zwilling J.A. Henckels Pro Paring Knife"
"1631816373-2904","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Cuisinart 12-Piece Black Metallic Knife Set"
"1631816373-3009","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Shun Fuji Dual-Density Utility Knife"
"1631816373-2706","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Kyocera Revolution 2-Piece Ceramic Knife Set"
"1631816373-2668","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Williams Sonoma Synthetic Non-Slip Cutting Board"
"1631816373-2624","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Zwilling J.A. Henckels Porterhouse Steak Knives in Wood Box, Set of 4"
"1631816373-3010","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Williams-Sonoma Ultimate Cutting & Carving Board, Maple"
"1631816373-3022","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Zwilling J.A. Henckels Pro Prep Knife, 5 1/4"""
"1631816373-2658","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Shun Hikari 12-Piece Block Set"
"1631816373-2838","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","John McLeod Angus Cutting & Carving Board"
"1631816373-2908","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Zwilling J.A. Henckels Pro 4 1/2"" Mini Cleaver"
"1631816373-2985","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Calphalon Precision Self-Sharpening 15-Piece Cutlery Set with SharpIN Technology"
"1631816373-2914","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Shun Kaji Dual-Density Utility Knife"
"1631816373-2953","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Global Ukon 3-Piece Starter Knife Set"
"1631816373-2927","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Zwilling J.A. Henckels Pro 10-Piece Knife Block Set"
"1631816373-2872","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Laguiole en Aubrac Walnut Cutting Board"
"1631816373-2692","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Williams Sonoma Herb Shears"
"1631816373-2697","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Wüsthof Gourmet White 8-Piece Knife Set"
"1631816373-2836","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Wüsthof Ikon Blackwood 7"" Hollow-Edge Santoku"
"1631816373-2842","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Shun Premier Grey 4"" Paring Knife"
"1631816373-2844","https://www.williams-sonoma.com/shop/cutlery/all-cutlery/?cm_type=lnav","Wüsthof Gourmet White 4-Piece Steak Knife Set"
