web-scraper-order,web-scraper-start-url,name
"1631891604-3757","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Borosilicate Glass Wide Teapot"
"1631891604-3872","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Blue Ming Serving Bowl"
"1631891604-3818","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Kahler Hammershoi Serving Bowl"
"1631891604-3703","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Wood and Lacquer Salad Bowl & Servers"
"1631891604-3967","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Navy Woven Round Tray with Handles"
"1631891604-3933","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Amazonia Appetizer Tray"
"1631891604-4003","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Pavao Serving Bowl"
"1631891604-3704","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Grinch™ Serving Platter"
"1631891604-3607","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Pillivuyt Porcelain Rectangular Serving Platter"
"1631891604-3673","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Dorset Pitcher"
"1631891604-3605","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Olivewood & White Marble Rectangular Cheese Board"
"1631891604-3991","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Marble Bowl"
"1631891604-3693","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Marble Heart Cheese Boards"
"1631891604-3810","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Twas the Night Before Christmas Reindeer Bowls"
"1631891604-3628","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Sicily Mixed Dipping Bowls, Set of 4, Large"
"1631891604-3524","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Open Kitchen by Williams Sonoma Large Rectangular Handled Platter"
"1631891604-3474","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Dark Wood Salad Bowls"
"1631891604-3461","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Glass Domed Cake Plate/Punch Bowl"
"1631891604-3775","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Mottahedeh Platter, Tobacco Leaf"
"1631891604-3972","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Grey Splatterware Enamel Salad Bowls"
"1631891604-3495","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Williams Sonoma Pitcher"
"1631891604-3646","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Ash Wood Round Cheese Boards"
"1631891604-3504","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Pillivuyt Porcelain Cake Stands"
"1631891604-3518","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Pillivuyt Porcelain Covered Butter Dish"
"1631891604-3581","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Le Creuset Coupe Serving Platter"
"1631891604-3956","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Iznik Outdoor Melamine Mixed Large Dip Bowls"
"1631891604-3895","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Caskata Marrakech Serving Bowl"
"1631891604-3911","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Natale Penguin Cheese Board with Cheese Markers"
"1631891604-3961","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Iznik Tile Outdoor Melamine Serving Bowl"
"1631891604-3602","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Ceramic Countertop Tray"
"1631891604-3467","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Le Creuset Stoneware Mini Round Cocotte"
"1631891604-3631","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Edward Pitcher"
"1631891604-3666","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Pillivuyt Plisse Porcelain Serving Bowl"
"1631891604-3522","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Apilco Tuileries Porcelain Salad Serving Bowls"
"1631891604-3595","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Hammered Party Tub"
"1631891604-3905","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Petites Histoires Square Tray"
"1631891604-3951","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Kahler Hammershoi Small Serving Bowl"
"1631891604-3803","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Natale Reindeer Platter"
"1631891604-3716","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Lunar Large Rectangular Platter, Dragon"
"1631891604-3885","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Raynaud Allee Royale Serveware"
"1631891604-3701","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Light Woven Cheese Knives, Set of 3"
"1631891604-3910","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Lyngby Rhombe Sugar Bowl"
"1631891604-3669","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Trisha Yearwood Gwendolyn Cake Stand"
"1631891604-3664","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Marble Cheese Board Set with Knives"
"1631891604-3589","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Williams Sonoma Pantry Rectangular Platter"
"1631891604-3840","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Etu Round Cheese Board"
"1631891604-3893","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Mottahedeh Serving Bowl, Tobacco Leaf"
"1631891604-4000","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Walden Dip Bowls, Set of 2"
"1631891604-3545","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Sicily Outdoor Melamine Oval Platter"
"1631891604-3561","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Honeycomb Oval Platter"
"1631891604-3831","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Wedgwood Renaissance Gold Serveware"
"1631891604-3462","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Pumpkin Punch Bowl and Punch Cups, Set of 6"
"1631891604-3747","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Plymouth Turkey Gravy Boat"
"1631891604-3952","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Wedgewood Butterfly Bloom Cream & Sugar Set"
"1631891604-3679","https://www.williams-sonoma.com/shop/tabletop-glassware-bar/all-serveware/?cm_type=lnav","Alfi Carafe"
