web-scraper-order,web-scraper-start-url,name
"1631893452-4583","https://www.williams-sonoma.com/shop/homekeeping/all-kitchen-linens/?cm_type=lnav","'Twas the Night Apron"
"1631893452-4558","https://www.williams-sonoma.com/shop/homekeeping/all-kitchen-linens/?cm_type=lnav","Star Wars™ Adult & Kid Aprons"
"1631893452-4548","https://www.williams-sonoma.com/shop/homekeeping/all-kitchen-linens/?cm_type=lnav","Autumn Plymouth Turkey Oven Mitt & Potholder Set"
"1631893452-4534","https://www.williams-sonoma.com/shop/homekeeping/all-kitchen-linens/?cm_type=lnav","Heirloom Pumpkin Apron"
"1631893452-4595","https://www.williams-sonoma.com/shop/homekeeping/all-kitchen-linens/?cm_type=lnav","Boska Apron"
"1631893452-4551","https://www.williams-sonoma.com/shop/homekeeping/all-kitchen-linens/?cm_type=lnav","Open Kitchen by Williams Sonoma Potholder, Set of 2"
"1631893452-4596","https://www.williams-sonoma.com/shop/homekeeping/all-kitchen-linens/?cm_type=lnav","Dolly Parton Metallic Oven Mitt & Potholder Set"
"1631893452-4555","https://www.williams-sonoma.com/shop/homekeeping/all-kitchen-linens/?cm_type=lnav","Open Kitchen by Williams Sonoma Oven Mitts, Set of 2"
"1631893452-4494","https://www.williams-sonoma.com/shop/homekeeping/all-kitchen-linens/?cm_type=lnav","Williams Sonoma Super Absorbent Waffle Weave Multi-Pack Towels, Set of 4"
"1631893452-4542","https://www.williams-sonoma.com/shop/homekeeping/all-kitchen-linens/?cm_type=lnav","Williams Sonoma Autumn Stripe Kitchen Linens Essential Bundle"
"1631893452-4529","https://www.williams-sonoma.com/shop/homekeeping/all-kitchen-linens/?cm_type=lnav","Heirloom Pumpkin Oven Mitt & Potholder Set"
"1631893452-4503","https://www.williams-sonoma.com/shop/homekeeping/all-kitchen-linens/?cm_type=lnav","Williams Sonoma Absorbent Logo Towels, Set of 4"
"1631893452-4538","https://www.williams-sonoma.com/shop/homekeeping/all-kitchen-linens/?cm_type=lnav","Autumn Plymouth Turkey Towels, Set of 2"
"1631893452-4550","https://www.williams-sonoma.com/shop/homekeeping/all-kitchen-linens/?cm_type=lnav","Meyer Lemon Towels, Set of 2"
"1631893452-4575","https://www.williams-sonoma.com/shop/homekeeping/all-kitchen-linens/?cm_type=lnav","Unicorn Kids Apron"
"1631893452-4620","https://www.williams-sonoma.com/shop/homekeeping/all-kitchen-linens/?cm_type=lnav","Skellie Toile Tea Towel, Set of 2"
"1631893452-4605","https://www.williams-sonoma.com/shop/homekeeping/all-kitchen-linens/?cm_type=lnav","Natale Penguin Towels, Set of 2"
"1631893452-4513","https://www.williams-sonoma.com/shop/homekeeping/all-kitchen-linens/?cm_type=lnav","Open Kitchen by Williams Sonoma Oven Mitt & Potholder Set, Set of 2"
"1631893452-4613","https://www.williams-sonoma.com/shop/homekeeping/all-kitchen-linens/?cm_type=lnav","Snowman Kitchen Linens Bundle"
"1631893452-4496","https://www.williams-sonoma.com/shop/homekeeping/all-kitchen-linens/?cm_type=lnav","Williams Sonoma Classic Stripe Potholder"
"1631893452-4532","https://www.williams-sonoma.com/shop/homekeeping/all-kitchen-linens/?cm_type=lnav","Williams Sonoma Autumn Stripe Oven Mitt & Potholder Set"
"1631893452-4598","https://www.williams-sonoma.com/shop/homekeeping/all-kitchen-linens/?cm_type=lnav","Maritime Lobster Kitchen Linens Bundle"
"1631893452-4495","https://www.williams-sonoma.com/shop/homekeeping/all-kitchen-linens/?cm_type=lnav","Williams Sonoma Super Absorbent Multi-Pack Dishcloths"
"1631893452-4492","https://www.williams-sonoma.com/shop/homekeeping/all-kitchen-linens/?cm_type=lnav","Williams Sonoma Super Absorbent Waffle Weave Towels, Set of 4"
"1631893452-4565","https://www.williams-sonoma.com/shop/homekeeping/all-kitchen-linens/?cm_type=lnav","Canvas Apron"
"1631893452-4483","https://www.williams-sonoma.com/shop/homekeeping/all-kitchen-linens/?cm_type=lnav","Williams Sonoma Classic Solid Adult & Kid Aprons"
"1631893452-4489","https://www.williams-sonoma.com/shop/homekeeping/all-kitchen-linens/?cm_type=lnav","Williams Sonoma Multi-Pack Towels"
"1631893452-4602","https://www.williams-sonoma.com/shop/homekeeping/all-kitchen-linens/?cm_type=lnav","Embroidered Skier Guest Towel, Set of 2"
