web-scraper-order,web-scraper-start-url,name
"1631842339-447","https://www.williams-sonoma.com/shop/food/all-meat-seafood/?cm_type=lnav","SeaBear Wild Alaskan Fish Sampler"
"1631842339-417","https://www.williams-sonoma.com/shop/food/all-meat-seafood/?cm_type=lnav","Ultimate Cured Meat Sampler"
"1631842339-468","https://www.williams-sonoma.com/shop/food/all-meat-seafood/?cm_type=lnav","Williams Sonoma Butcher Counter Niman Ranch Pork Box"
"1631842339-381","https://www.williams-sonoma.com/shop/food/all-meat-seafood/?cm_type=lnav","Solex Pastrami Smoked Salmon"
"1631842339-421","https://www.williams-sonoma.com/shop/food/all-meat-seafood/?cm_type=lnav","Double R Ranch Co. Beef Tenderloin"
"1631842339-422","https://www.williams-sonoma.com/shop/food/all-meat-seafood/?cm_type=lnav","Snake River Farms Kobe Flat Iron Steak"
"1631842339-466","https://www.williams-sonoma.com/shop/food/all-meat-seafood/?cm_type=lnav","Stemple Creek New York Strip Steaks"
"1631842339-408","https://www.williams-sonoma.com/shop/food/all-meat-seafood/?cm_type=lnav","Williams Sonoma Gift Crate European Cheese & Charcuterie"
"1631842339-431","https://www.williams-sonoma.com/shop/food/all-meat-seafood/?cm_type=lnav","European Charcuterie Set"
"1631842339-350","https://www.williams-sonoma.com/shop/food/all-meat-seafood/?cm_type=lnav","Flannery Beef USDA Prime Bone-in Rib Steak, 21 Day Dry Aged, Set of 2"
"1631842339-359","https://www.williams-sonoma.com/shop/food/all-meat-seafood/?cm_type=lnav","Ham with Glaze"
"1631842339-451","https://www.williams-sonoma.com/shop/food/all-meat-seafood/?cm_type=lnav","Brasstown Grilling Party"
"1631842339-405","https://www.williams-sonoma.com/shop/food/all-meat-seafood/?cm_type=lnav","Williams Sonoma BBQ Pulled Chicken"
"1631842339-400","https://www.williams-sonoma.com/shop/food/all-meat-seafood/?cm_type=lnav","Williams Sonoma Antipasti Hamper"
"1631842339-353","https://www.williams-sonoma.com/shop/food/all-meat-seafood/?cm_type=lnav","Flannery Beef USDA Prime New York Bone-in Steak, 21 Day Dry Aged"
"1631842339-406","https://www.williams-sonoma.com/shop/food/all-meat-seafood/?cm_type=lnav","Turducken Stuffed with Cornbread & Dirty Rice"
"1631842339-416","https://www.williams-sonoma.com/shop/food/all-meat-seafood/?cm_type=lnav","Olli Salumeria Assorted Salami Sampler"
"1631842339-427","https://www.williams-sonoma.com/shop/food/all-meat-seafood/?cm_type=lnav","Luke's Lobster A Taste of Maine Sampler"
"1631842339-456","https://www.williams-sonoma.com/shop/food/all-meat-seafood/?cm_type=lnav","Stemple Creek Ribeye Box"
"1631842339-376","https://www.williams-sonoma.com/shop/food/all-meat-seafood/?cm_type=lnav","Williams Sonoma Beef Brisket"
"1631842339-392","https://www.williams-sonoma.com/shop/food/all-meat-seafood/?cm_type=lnav","Pure Bred Rack of Lamb, Set of 2"
"1631842339-458","https://www.williams-sonoma.com/shop/food/all-meat-seafood/?cm_type=lnav","KC Cattle Company Wagyu Chili Lover's Bundle"
