web-scraper-order,web-scraper-start-url,name
"1631842028-163","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Enzo Clementine Crush Olive Oil"
"1631842028-128","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Marfuga Olive Oil"
"1631842028-154","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Enzo Delicate Extra Virgin Olive Oil"
"1631842028-85","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Williams Sonoma Balsamic Vinegar of Modena"
"1631842028-166","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Enzo Eureka Lemon Crush Olive Oil"
"1631842028-153","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Vegetable Roasting Drizzler, Meyer Lemon"
"1631842028-101","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Nicolas Alziari Extra Virgin Olive Oil"
"1631842028-102","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Olivier Extra-Virgin Olive Oil"
"1631842028-84","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Spicy Chile Pizza Oil"
"1631842028-151","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Olio Santo Olio Nuovo Olive Oil"
"1631842028-141","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Williams Sonoma Truffle Cruet"
"1631842028-121","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Truffle Oil and Salt Set"
"1631842028-99","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Williams Sonoma Peach Fruit Blend Vinegar"
"1631842028-156","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Bona Furtuna 12-Year Aged Tradizionale Balsamic Vinegar"
"1631842028-161","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Bona Furtuna The Mascalzone Gift Set"
"1631842028-73","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Dipping Oil Mini Set"
"1631842028-52","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Olio Santo Extra-Virgin Olive Oil"
"1631842028-143","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Enzo Apple Balsamic Vinegar"
"1631842028-70","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Williams Sonoma Champagne Vinegar"
"1631842028-58","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Meyer Lemon Fruit Blend Vinegar"
"1631842028-137","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Dip and Drizzle Olive Oil, Pesto"
"1631842028-91","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Altomena Extra Virgin Olive Oil"
"1631842028-88","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Regalis Black Truffle Oil"
"1631842028-157","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Williams Sonoma Raspberry and Lemon Fruit Blend Vinegars, Set of 2"
"1631842028-119","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Colonna Extra-Virgin Olive Oils"
"1631842028-165","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Enzo Medium Arbosana Olive Oil"
"1631842028-105","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Calivirgin Balsamic Vinegar"
"1631842028-79","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Frantoio Muraglia Extra Virgin Olive Oil in Fish Bottle"
"1631842028-74","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","VSOP Balsamic Glaze"
"1631842028-83","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Olio Santo Pacific Blend Extra-Virgin Olive Oil"
"1631842028-133","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Williams Sonoma Italian & Roasted Garlic Dipping Herbs & House Extra Virgin Olive Oil Set"
"1631842028-132","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Dip and Drizzle Oil, VSOP Balsamic & Herbes de Provence"
"1631842028-77","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Calivirgin Extra-Virgin Olive Oil"
"1631842028-104","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","What's Gaby Cooking Infused Oil, Tastes Like Pizza"
"1631842028-112","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Dip and Drizzle Olive Oil, Truffle Parmesan"
"1631842028-155","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Enzo Garlic Olive Oil"
"1631842028-115","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Williams Sonoma Fruit Blend Vinegars Best Selling Duo"
"1631842028-108","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Muraglia Lobster Extra Virgin Olive Oil"
"1631842028-98","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Espuny Olive Oil"
"1631842028-120","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","What's Gaby Cooking Infused Oil, Mega Mediterranean"
"1631842028-139","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Enzo Fresno Chili Crush Olive Oil"
"1631842028-110","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Regalis White Truffle Oil"
"1631842028-150","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Calivirgin Truffle Olive Oil"
"1631842028-144","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Bona Furtuna 25-Year Aged Tradizionale Balsamic Vinegar"
"1631842028-146","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Bona Furtuna Heritage Blend Extra Virgin Olive Oil"
"1631842028-177","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","VSOP 25-Year Barrel-Aged Balsamic Vinegar"
"1631842028-63","https://www.williams-sonoma.com/shop/food/food-oils-vinegar/?cm_type=lnav","Olivier Cruet"
