web-scraper-order,web-scraper-start-url,name
"1631893452-4105","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Prepara Espresso Capsule Carousel"
"1631893452-4094","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Olivewood Recipe Box"
"1631893452-4148","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Matte White Canisters"
"1631893452-4031","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Olivewood & Glass Canister"
"1631893452-4065","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Olivewood Utensil Holder"
"1631893452-4069","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Hammered-Copper Bread Box"
"1631893452-4108","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Pet Treat Jar Canister, White and Grey"
"1631893452-4048","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Prepara Vertuoso Coffee Capsule Carousel"
"1631893452-4101","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Melamine Mixing Bowls with Lids, Set of 6, Pumpkin"
"1631893452-4141","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Copper Deluxe Kitchen Organizer Set"
"1631893452-4125","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Williams Sonoma Ceramic Canisters & Utensil Holder Set"
"1631893452-4114","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Tosca Cutting Board Stand"
"1631893452-4127","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Walnut Classic Kitchen Organizer Set"
"1631893452-4015","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Williams Sonoma Pantry Paper Towel Holder"
"1631893452-4052","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Sicily Spoon Rest"
"1631893452-4092","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Sicily Paper Towel Holder"
"1631893452-4024","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","MacKenzie-Childs Courtly Check Canister"
"1631893452-4063","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","MacKenzie-Childs Flower Market Canister"
"1631893452-4055","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","iDesign Formbu Cutlery Tray"
"1631893452-4066","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Swiss Dot Ceramic Bowls, Set of 3"
"1631893452-4088","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Oval Trivet"
"1631893452-4079","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Marble Trivet"
"1631893452-4086","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Gold Spoon Rest"
"1631893452-4151","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Matte White Trivet"
"1631893452-4046","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Copper Restaurant Mixing Bowls"
"1631893452-4100","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Copper Paper Towel Holder"
"1631893452-4091","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Williams Sonoma Copper Mixing Bowls With Lids, Set Of 3"
"1631893452-4070","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Honeycomb Canister"
"1631893452-4136","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Melamine Mixing Bowls with Lids, Set of 6, Green Gables"
"1631893452-4081","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Ceramic Countertop Tray"
"1631893452-4150","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Matte White Paper Towel Holder"
"1631893452-4142","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Copper Classic Kitchen Organizer Set"
"1631893452-4034","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Williams Sonoma Open Kitchen Stainless Steel Mixing Bowls, Set of 3"
"1631893452-4026","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Olivewood Paper Towel Holder"
"1631893452-4082","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Williams Sonoma Ceramic & Wood Bread Box"
"1631893452-4140","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Copper Knife Holder with Kapoosh® Insert"
"1631893452-4145","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Stainless Steel Deluxe Kitchen Organizer Set"
"1631893452-4109","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Interchangeable Personal Embosser Plates"
"1631893452-4149","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Matte White Utensil Holder"
"1631893452-4138","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Melamine Mixing Bowls with Lids, Set of 6, Bloodstone"
"1631893452-4117","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Lynk Slide Out Drawer, Wood & Chrome"
"1631893452-4139","https://www.williams-sonoma.com/shop/homekeeping/countertop-organization/?cm_type=lnav","Olivewood Deluxe Kitchen Organizer Set"
