web-scraper-order,web-scraper-start-url,name
"1631897188-6000","https://www.williams-sonoma.com/shop/outdoor/outdoor-tabletop-all/?cm_type=lnav","Sicily Outdoor Melamine Dinner Plates, Blue"
"1631897188-6086","https://www.williams-sonoma.com/shop/outdoor/outdoor-tabletop-all/?cm_type=lnav","Hammered Tray"
"1631897188-6185","https://www.williams-sonoma.com/shop/outdoor/outdoor-tabletop-all/?cm_type=lnav","Marble Napkin Rings"
"1631897188-6039","https://www.williams-sonoma.com/shop/outdoor/outdoor-tabletop-all/?cm_type=lnav","DuraClear® Tritan Outdoor Double Old-Fashioned Glasses, Multicolored, Set of 6"
"1631897188-6189","https://www.williams-sonoma.com/shop/outdoor/outdoor-tabletop-all/?cm_type=lnav","Bamboo Dinnerware Collection"
"1631897188-6184","https://www.williams-sonoma.com/shop/outdoor/outdoor-tabletop-all/?cm_type=lnav","Nautical Stripe Coasters, Set of 4"
"1631897188-6014","https://www.williams-sonoma.com/shop/outdoor/outdoor-tabletop-all/?cm_type=lnav","Sicily Outdoor Melamine Small Mixed Dip Bowls"
"1631897188-6175","https://www.williams-sonoma.com/shop/outdoor/outdoor-tabletop-all/?cm_type=lnav","Capiz Napkin Rings, Set of 4"
"1631897188-5992","https://www.williams-sonoma.com/shop/outdoor/outdoor-tabletop-all/?cm_type=lnav","Olivewood Rectangular Cheese Boards"
"1631897188-6061","https://www.williams-sonoma.com/shop/outdoor/outdoor-tabletop-all/?cm_type=lnav","Corkcicle Insulated Stemless Wine Glass"
"1631897188-6005","https://www.williams-sonoma.com/shop/outdoor/outdoor-tabletop-all/?cm_type=lnav","Fridge Sized Beverage Dispenser"
"1631897188-5989","https://www.williams-sonoma.com/shop/outdoor/outdoor-tabletop-all/?cm_type=lnav","Ice Cream Bowls, Set of 6"
"1631897188-6042","https://www.williams-sonoma.com/shop/outdoor/outdoor-tabletop-all/?cm_type=lnav","Rustic® Outdoor Melamine Tray with Handles"
"1631897188-6004","https://www.williams-sonoma.com/shop/outdoor/outdoor-tabletop-all/?cm_type=lnav","DuraClear® Tritan Outdoor Pitcher"
"1631897188-6104","https://www.williams-sonoma.com/shop/outdoor/outdoor-tabletop-all/?cm_type=lnav","Corkcicle Stemless Champagne Flute"
"1631897188-6102","https://www.williams-sonoma.com/shop/outdoor/outdoor-tabletop-all/?cm_type=lnav","Nito Pitcher"
"1631897188-6108","https://www.williams-sonoma.com/shop/outdoor/outdoor-tabletop-all/?cm_type=lnav","Nito Wine Chiller"
"1631897188-6035","https://www.williams-sonoma.com/shop/outdoor/outdoor-tabletop-all/?cm_type=lnav","Sicily Outdoor Melamine Large Mixed Dip Bowls"
"1631897188-6027","https://www.williams-sonoma.com/shop/outdoor/outdoor-tabletop-all/?cm_type=lnav","Sicily Outdoor Melamine Oval Platter"
"1631897188-6154","https://www.williams-sonoma.com/shop/outdoor/outdoor-tabletop-all/?cm_type=lnav","Glass Striped Salad Bowls"
"1631897188-6161","https://www.williams-sonoma.com/shop/outdoor/outdoor-tabletop-all/?cm_type=lnav","Maritime Sealife Oilcloth Outdoor Tablecloth"
"1631897188-6031","https://www.williams-sonoma.com/shop/outdoor/outdoor-tabletop-all/?cm_type=lnav","Open Kitchen by Williams Sonoma Dip Bowls"
"1631897188-6199","https://www.williams-sonoma.com/shop/outdoor/outdoor-tabletop-all/?cm_type=lnav","Beverage Dispenser Porcelain Tags, Set of 2"
