web-scraper-order,web-scraper-start-url,name
"1631844920-1051","https://www.williams-sonoma.com/shop/food/food-all-pantry/?cm_type=lnav","Williams Sonoma Anything & Everything Seasoning, Green Goddess"
"1631844920-923","https://www.williams-sonoma.com/shop/food/food-all-pantry/?cm_type=lnav","Williams Sonoma Cranberry Bourbon Sauce"
"1631844920-1014","https://www.williams-sonoma.com/shop/food/food-all-pantry/?cm_type=lnav","Truffleist Mini Trio"
"1631844920-921","https://www.williams-sonoma.com/shop/food/food-all-pantry/?cm_type=lnav","What's Gaby Cooking Everything Sauce, Roasted Red Pepper"
"1631844920-885","https://www.williams-sonoma.com/shop/food/food-all-pantry/?cm_type=lnav","What's Gaby Cooking Breakfast Essentials"
"1631844920-796","https://www.williams-sonoma.com/shop/food/food-all-pantry/?cm_type=lnav","Golden Boy Pizza Crust Mix"
"1631844920-988","https://www.williams-sonoma.com/shop/food/food-all-pantry/?cm_type=lnav","Enzo Sun-Dried Tomato Pesto"
"1631844920-977","https://www.williams-sonoma.com/shop/food/food-all-pantry/?cm_type=lnav","Williams Sonoma Crushed Aleppo Chili"
"1631844920-918","https://www.williams-sonoma.com/shop/food/food-all-pantry/?cm_type=lnav","Williams Sonoma Organic Steakhouse Rub Shaker Tin"
"1631844920-854","https://www.williams-sonoma.com/shop/food/food-all-pantry/?cm_type=lnav","Cinnamon Sticks"
"1631844920-893","https://www.williams-sonoma.com/shop/food/food-all-pantry/?cm_type=lnav","Williams Sonoma Classic Turkey Gravy Base & Caramelized Onion Gravy Base Set"
"1631844920-884","https://www.williams-sonoma.com/shop/food/food-all-pantry/?cm_type=lnav","Williams Sonoma Organic Butter Basted Turkey Herb Rub"
"1631844920-961","https://www.williams-sonoma.com/shop/food/food-all-pantry/?cm_type=lnav","What's Gaby Cooking Everything Sauce, Four Cheese Tomato"
"1631844920-935","https://www.williams-sonoma.com/shop/food/food-all-pantry/?cm_type=lnav","Pasta Sauce Trio"
"1631844920-898","https://www.williams-sonoma.com/shop/food/food-all-pantry/?cm_type=lnav","Williams Sonoma Organic Oven-Baked Paella Starter"
"1631844920-1031","https://www.williams-sonoma.com/shop/food/food-all-pantry/?cm_type=lnav","Instant Pot Spring Herb Shallot Risotto"
"1631844920-1038","https://www.williams-sonoma.com/shop/food/food-all-pantry/?cm_type=lnav","Williams Sonoma Ultimate Garlic Lovers Set"
"1631844920-997","https://www.williams-sonoma.com/shop/food/food-all-pantry/?cm_type=lnav","Williams Sonoma Caramelized Onion Gravy Base & Cranberry Relish Set"
