web-scraper-order,web-scraper-start-url,name
"1631844920-753","https://www.williams-sonoma.com/shop/food/food-all-sauces/?cm_type=lnav","Williams-Sonoma Braising Sauce, Sicilian White Wine Low-Sodium"
"1631844920-677","https://www.williams-sonoma.com/shop/food/food-all-sauces/?cm_type=lnav","Williams Sonoma BBQ Sauce, Bourbon & Black Pepper"
"1631844920-748","https://www.williams-sonoma.com/shop/food/food-all-sauces/?cm_type=lnav","Williams Sonoma Global Sauce Duo"
"1631844920-641","https://www.williams-sonoma.com/shop/food/food-all-sauces/?cm_type=lnav","Instant Pot Summer Weeknight Meals Set"
"1631844920-666","https://www.williams-sonoma.com/shop/food/food-all-sauces/?cm_type=lnav","Williams Sonoma Classic Meatloaf Starter"
"1631844920-634","https://www.williams-sonoma.com/shop/food/food-all-sauces/?cm_type=lnav","Williams Sonoma Braising Sauce, Beef Bourguignonne"
"1631844920-707","https://www.williams-sonoma.com/shop/food/food-all-sauces/?cm_type=lnav","Williams Sonoma Beef Bourguignonne & Black Truffle Short Rib Braising Sauces"
"1631844920-671","https://www.williams-sonoma.com/shop/food/food-all-sauces/?cm_type=lnav","Williams Sonoma Organic White Chili Starter"
"1631844920-714","https://www.williams-sonoma.com/shop/food/food-all-sauces/?cm_type=lnav","Ultimate Classic Weeknight Meals Starter Sauces"
"1631844920-668","https://www.williams-sonoma.com/shop/food/food-all-sauces/?cm_type=lnav","Instant Pot Caramelized Onion Pot Roast Starter"
"1631844920-653","https://www.williams-sonoma.com/shop/food/food-all-sauces/?cm_type=lnav","Williams Sonoma Braising Sauce, Country French"
"1631844920-673","https://www.williams-sonoma.com/shop/food/food-all-sauces/?cm_type=lnav","Williams Sonoma Classic Pulled Pork Starter"
"1631844920-703","https://www.williams-sonoma.com/shop/food/food-all-sauces/?cm_type=lnav","Williams Sonoma Steak Sauce Duo"
"1631844920-667","https://www.williams-sonoma.com/shop/food/food-all-sauces/?cm_type=lnav","Williams Sonoma Truffle Pan Sauce"
"1631844920-704","https://www.williams-sonoma.com/shop/food/food-all-sauces/?cm_type=lnav","Williams Sonoma Braising Sauce, 40 Cloves of Garlic"
"1631844920-672","https://www.williams-sonoma.com/shop/food/food-all-sauces/?cm_type=lnav","Instant Pot Butter Chicken Braising Sauce"
"1631844920-743","https://www.williams-sonoma.com/shop/food/food-all-sauces/?cm_type=lnav","The Slanted Door Claypot Chicken Fast Braising Sauce"
"1631844920-651","https://www.williams-sonoma.com/shop/food/food-all-sauces/?cm_type=lnav","Williams Sonoma Braising Sauce, Osso Buco"
"1631844920-754","https://www.williams-sonoma.com/shop/food/food-all-sauces/?cm_type=lnav","Organic Stir Fry Sauce, Garlic Ginger"
"1631844920-687","https://www.williams-sonoma.com/shop/food/food-all-sauces/?cm_type=lnav","Instant Pot Broccoli Beef Starter Sauce"
