web-scraper-order,web-scraper-start-url,name
"1631805864-969","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Ruffoni Opus Prima Hammered Stainless- Steel Chef Pan with Olive Knob, 4-Qt."
"1631805864-1039","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","GreenPan™Revolution Ceramic Nonstick 10-Piece Cookware Set"
"1631805864-674","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Mauviel Copper Triply 7-Piece Cookware Set"
"1631805864-504","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Lodge Seasoned Cast Iron Skillets, Set of 3"
"1631805864-985","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","SCANPAN Professional Nonstick 9 1/2-In & 11-In Fry Pans, Set of 2"
"1631805864-659","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Le Creuset Toughened Nonstick PRO Deep Fry Pan"
"1631805864-515","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","All-Clad NS1 Nonstick Induction Covered Fry Pan"
"1631805864-450","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","All-Clad NS1 Nonstick Induction 3-Piece Fry Pan Set"
"1631805864-610","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Le Creuset Signature Enameled Cast Iron Oval Braiser 3 3/4-Qt."
"1631805864-430","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","All-Clad d5 Stainless-Steel Saucepan"
"1631805864-942","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Mauviel Copper Triply Rondeau"
"1631805864-973","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","All-Clad d5 Stainless-Steel Round Oven"
"1631805864-714","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Mont Brule Electric Fondue Set"
"1631805864-759","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Calphalon Premier Nonstick 13"" Wok"
"1631805864-790","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Le Creuset Stainless-Steel Multipot"
"1631805864-597","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Williams Sonoma Professional Ceramic Nonstick Plus Fry Pan Set"
"1631805864-599","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","GreenPan™Premiere Ceramic Nonstick 15-Piece Cookware Set"
"1631805864-536","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Williams Sonoma High Heat Nonstick Outdoor Roaster"
"1631805864-605","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","GreenPan™Premiere Ceramic Nonstick 12-In Covered Wok with Helper Handle"
"1631805864-736","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","All-Clad d5 Stainless-Steel Sauce Pan Set of 2"
"1631805864-930","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Hestan Nanobond Stainless-Steel Essential Pan with Cleaner, 3 1/2-Qt."
"1631805864-789","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","OXO Uplift Tea Kettle"
"1631805864-508","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Carbon Steel Round-Bottom Wok with Ring"
"1631805864-860","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Williams Sonoma Thermo-Clad™ Stainless-Steel Nonstick Fry Pan, 14"""
"1631805864-506","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","All-Clad Copper Core Deep Sauté Pan"
"1631805864-760","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Lodge Chef Collection Double Dutch Oven 6-Qt."
"1631805864-652","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","All-Clad d5 Stainless-Steel 7-Piece Cookware Set"
"1631805864-676","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Chantal Classic Polished Stainless-Steel Tea Kettle"
"1631805864-436","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Staub Enameled Cast Iron Pumpkin Cocotte"
"1631805864-465","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Stainless-Steel Odor Absorbing Splatter Screen"
"1631805864-735","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Simplex Buckingham No 1 by Newey & Bloomer Copper Rapid Boil Tea Kettle"
"1631805864-744","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","All-Clad FUSIONTEC™ Skillet Fry Pan, 9 1/2"""
"1631805864-1016","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","All-Clad Copper Core Deep Sauté Pan with Splatter Screen, 4-Qt."
"1631805864-425","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Le Creuset Enameled Cast Iron Soup Pot"
"1631805864-898","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Williams Sonoma Signature Thermo-Clad™ Stainless-Steel Nonstick Fry Pan, 8"""
"1631805864-422","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Le Creuset Enameled Cast Iron Rice Pot"
"1631805864-489","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","All-Clad d5 Stainless-Steel 15-Piece Cookware Set"
"1631805864-908","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Ruffoni Historia Hammered Copper Rectangle Roasting Pan with Lovebirds Knob"
"1631805864-959","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","SCANPAN CTX Nonstick Wok"
"1631805864-1019","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","SCANPAN HaptIQ Nonstick Fry Pan, Set of 3"
"1631805864-927","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","All-Clad FUSIONTEC™ Stockpot, 7-Qt."
"1631805864-774","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","SCANPAN TechnIQ Nonstick Wok, 12"""
"1631805864-852","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Mauviel Copper 150b Double Boiler, 2-Qt."
"1631805864-874","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Mauviel Copper 150b Curved Splayed Sauté Pan"
"1631805864-983","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Hestan ProBond Stainless-Steel Covered Wok with Helper Handles, 14-Inch"
"1631805864-876","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Ruffoni Historia Hammered Copper Fry Pan with Artichoke Handle, 11"""
"1631805864-480","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","All-Clad Gourmet Accessories Stock Pot"
"1631805864-981","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Ruffoni Opus Prima Hammered Stainless-Steel Gratin with Fennel Knob, 4-Qt."
"1631805864-841","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","All-Clad d5 Brushed Stainless-Steel Stock Pot"
"1631805864-555","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","All Clad d5 Stainless-Steel All-In-One Pan"
"1631805864-607","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Staub Enameled Cast Iron Grill Pan & Press"
"1631805864-1027","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","All-Clad Outdoor Stainless-Steel 3-Piece Cookware Set"
"1631805864-909","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","All-Clad FUSIONTEC™ Soup Pot 4-Qt."
"1631805864-455","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Le Creuset Classic Demi Tea Kettle"
"1631805864-916","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","FINEX Seasoned Cast Iron Lean Grill Pan"
"1631805864-618","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Whirley Pop Popcorn Maker"
"1631805864-698","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","All-Clad d5 Brushed Stainless-Steel Nonstick Fry Pans"
"1631805864-855","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Williams Sonoma Signature Thermo-Clad™ Stainless-Steel Fry Pan"
"1631805864-880","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Staub Enameled Cast Iron Mussel Pot"
"1631805864-772","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","All-Clad d5 Stainless Steel 10-Piece Cookware Set and Stainless Steel Nonstick Fry Pan Set"
"1631805864-1000","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Le Creuset Stainless-Steel Classic Knob"
"1631805864-573","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Lodge Chef Collection Seasoned Cast Iron Wok, 12"""
"1631805864-516","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Chantal Vintage Tea Kettle"
"1631805864-556","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","All-Clad 7-Qt. Electric Nonstick Skillet"
"1631805864-783","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","All-Clad D3 Tri-Ply Stainless-Steel Saucier"
"1631805864-1010","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Ruffoni Opus Prima Hammered Stainless-Steel Covered Chef’s Pan with Cauliflower Knob, 4-Qt."
"1631805864-421","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","All-Clad NS1 Nonstick Square Griddle"
"1631805864-1023","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Ruffoni Historia Hammered Copper Fondue Pot"
"1631805864-948","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Caraway Nonstick Ceramic Sauce Pan"
"1631805864-868","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Zwilling Forte Nonstick Stock Pot"
"1631805864-459","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","All-Clad NS1 Nonstick Induction Fry Pan, Set of 2"
"1631805864-793","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","Le Creuset Toughened Nonstick PRO 6-Piece Cookware Set"
"1631805864-820","https://www.williams-sonoma.com/shop/cookware/stovetop-view-all/?cm_type=lnav","All-Clad Outdoor Nonstick Fry Pan"
