web-scraper-order,web-scraper-start-url,product name,Category,Is_Leasable
1630429070-19654,https://www.bowflex.com/accessories/?start=48&sz=24,Bowflex Body Weight Loss Plan,accessories,FALSE
1630429078-19723,https://www.bowflex.com/accessories/?start=0&sz=24,Bowflex SelectTech 3.1 Series Bench,accessories,TRUE
1630429074-19693,https://www.bowflex.com/accessories/?start=24&sz=24,Bowflex Revolution Hand Grips,accessories,FALSE
1630429074-19692,https://www.bowflex.com/accessories/?start=24&sz=24,Replacement Roller Wheel,accessories,FALSE
1630429078-19706,https://www.bowflex.com/accessories/?start=0&sz=24,Bowflex Power Rod 100 lb. Upgrade - 210 to 310 lbs.,accessories,FALSE
1630429070-19655,https://www.bowflex.com/accessories/?start=48&sz=24,"Bowflex Machine Mat - 7'11"" L x 3'2"" W",accessories,FALSE
1630429074-19676,https://www.bowflex.com/accessories/?start=24&sz=24,Foam Roller Kit,accessories,FALSE
1630429074-19685,https://www.bowflex.com/accessories/?start=24&sz=24,Replacement Elliptical 120 Volt AC Power Cord,accessories,TRUE
1630429070-19643,https://www.bowflex.com/accessories/?start=48&sz=24,Bowflex Tricep Rope,accessories,FALSE
1630429074-19673,https://www.bowflex.com/accessories/?start=24&sz=24,Replacement Wireless Heartrate Chest Strap,accessories,FALSE
1630429074-19678,https://www.bowflex.com/accessories/?start=24&sz=24,Replacement Rod Cable Kit,accessories,TRUE
1630429078-19718,https://www.bowflex.com/accessories/?start=0&sz=24,Bowflex Max Total Media Rack,accessories,FALSE
1630429074-19672,https://www.bowflex.com/accessories/?start=24&sz=24,Replacement Shocks for Bowflex TC100,accessories,FALSE
1630429074-19680,https://www.bowflex.com/accessories/?start=24&sz=24,Replacement Revolution 20lb Plate,accessories,FALSE
1630429078-19728,https://www.bowflex.com/accessories/?start=0&sz=24,Replacement Safety Key For TC3000/TC5000,accessories,FALSE
1630429074-19686,https://www.bowflex.com/accessories/?start=24&sz=24,Safety Key For TreadClimbers & Treadmills,accessories,FALSE
1630429078-19721,https://www.bowflex.com/accessories/?start=0&sz=24,Bowflex Push Up Handles,accessories,FALSE
1630429070-19638,https://www.bowflex.com/accessories/?start=48&sz=24,Replacement 5LB Power Rod,accessories,FALSE
1630429074-19684,https://www.bowflex.com/accessories/?start=24&sz=24,Replacement Revolution 5lb Plate,accessories,FALSE
1630429070-19639,https://www.bowflex.com/accessories/?start=48&sz=24,Replacement Revolution 10lb Plate,accessories,FALSE
1630429070-19637,https://www.bowflex.com/accessories/?start=48&sz=24,Crank Puller Tool for IC Bikes,accessories,FALSE
1630429078-19710,https://www.bowflex.com/accessories/?start=0&sz=24,Bowflex SelectTech 552 Dumbbells,accessories,FALSE
1630429078-19727,https://www.bowflex.com/accessories/?start=0&sz=24,TC100 Replacement 120 Volt AC Power Cord,accessories,TRUE
1630429074-19681,https://www.bowflex.com/accessories/?start=24&sz=24,TC200 Replacement 120 Volt AC Power Cord,accessories,TRUE
1630429074-19688,https://www.bowflex.com/accessories/?start=24&sz=24,Replacement Transport Wheel for Max Trainer,accessories,FALSE
1630429070-19647,https://www.bowflex.com/accessories/?start=48&sz=24,Bowflex Power Rod Rejuvenator,accessories,FALSE
1630429074-19675,https://www.bowflex.com/accessories/?start=24&sz=24,Replacement 30LB Power Rod,accessories,FALSE
1630429070-19644,https://www.bowflex.com/accessories/?start=48&sz=24,Bowflex Heart Rate Armband,accessories,FALSE
1630429078-19705,https://www.bowflex.com/accessories/?start=0&sz=24,Lube-n-Walk Kit,accessories,FALSE
1630429074-19682,https://www.bowflex.com/accessories/?start=24&sz=24,Replacement Treadmill 120 Volt AC Power Cord,accessories,FALSE
1630429074-19691,https://www.bowflex.com/accessories/?start=24&sz=24,Replacement 10LB Power Rod,accessories,FALSE
1630429074-19683,https://www.bowflex.com/accessories/?start=24&sz=24,Replacement Safety Key for TC10 and TC20,accessories,FALSE
1630429078-19726,https://www.bowflex.com/accessories/?start=0&sz=24,Replacement Power Adapter with 6-foot Cord,accessories,TRUE
1630429070-19650,https://www.bowflex.com/accessories/?start=48&sz=24,Bowflex Lumbar Pad,accessories,FALSE
1630429078-19722,https://www.bowflex.com/accessories/?start=0&sz=24,Bowflex Power Rod 100 lb. Upgrade - 310 to 410 lbs.,accessories,FALSE
1630429078-19716,https://www.bowflex.com/accessories/?start=0&sz=24,Bowflex SelectTech Dumbbell Stand with Media Rack,accessories,FALSE
1630429070-19659,https://www.bowflex.com/accessories/?start=48&sz=24,Extra Comfort Bike Seat,accessories,FALSE
1630429074-19694,https://www.bowflex.com/accessories/?start=24&sz=24,Replacement Swivel Hand Grips for HVT,accessories,FALSE
