normal_image src,lazy_href,lazy_href href,part_number 2,final-price,text 2,text 3,text 4
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8OTY0NHxpbWFnZS9qcGVnfGhhYi9oOTIvMTE3MjUxNTEzMDU3NTguanBnfDhmZDNlMmM3MDE2NzUxMzRhMjVlYWMyZmQyYzVlZDFhY2JmZTQ2ZDVlMDg0ODhkMTYyNzdkMzdiOTZmMDcwY2I/F0EEE8D7-6E1F-4ADE-BC3F-13B621B4378D.jpg,JABRA EVOLVE2 40               ACCS,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/78014784,78014784,$139.00,Earn,$4,in Rewards
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTIyODN8aW1hZ2UvanBlZ3xoYzgvaGNjLzExNjAxMjE5MzIxODg2LmpwZ3w1ODRiNjAxMjY5ZDlkOWRjMDI2MjE4M2JhMDgzNTVkYzM5MzU4YzhmMjBkOGM4ZTEzNzM5OTc1N2ZjMjFiZmJh/8567DCBB-C801-4A79-A1E2-3CF2DBB73866.jpg,Jabra Elite 45h - headphones with mic,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headphones/78016295,78016295,$99.00,Earn,$2,in Rewards
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTExMzd8aW1hZ2UvanBlZ3xoZmEvaDhkLzExNjAwMDk2NDI4MDYyLmpwZ3xmMzdlM2Y1OTg1MGQwODJhYWM5NGM3NGM5MGE2MGVhNjQ0MTQ2OWJhZGZiMGRkNzJkMjZlOTI4MTRkNGIzZDg2/A3D75DC7-45BB-4354-89A4-801DBEA5C812.jpg,CORSAIR Gaming VOID RGB ELITE - headset,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/78014804,78014804,$99.99,Earn Triple Rewards,$8,=
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8ODI1MnxpbWFnZS9qcGVnfGhlMy9oYzIvMTE3MjQ3NDkxNzY4NjIuanBnfGQ2YjAzN2FjOGM0MmJiNjBlZmU4M2E3YjhhNWE0NGQ5ZGNjNzg2NjJkNzQ4MDM4Njc2OWFlMDgyYmJjMjI2NTY/13D31B46-9872-4DE4-8FA2-1875AD09BCEA.jpg,JABRA EVOLVE2 40               ACCS,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/78014882,78014882,$139.00,Earn,$4,in Rewards
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTEwMzl8aW1hZ2UvanBlZ3xoZTYvaDU2LzExNjAyMTczNzIyNjU0LmpwZ3xjNGU5OGU0Njg4ZTM1ZTE1ZTk5NjA2OThkODY2MTBiMWZhNTMzZDU1YTBlYjlmY2YwZTU4ZDNmYzdiM2FhNmZm/9923DB4A-4C2B-4A19-997D-D965D6065498.jpg,JABRA EVOLVE 75 STEREO MS      ACCS,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/78011472,78011472,$293.00,Earn,$8,in Rewards
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTU3MzZ8aW1hZ2UvanBlZ3xoYWIvaGRlLzExNjA3NjIwNzgwMDYyLmpwZ3xkMWRkN2IxNzdjYmM3ZGI1ZWMwOTk1ODQ2ODE2ZGVhZGM5NjM4OWZlN2U3MTgzMmI5MTQ0NzQ2OTU1ZjZjYzZm/A42088FC-C4A6-463B-90DE-9CF68B4DF5A8.jpg,SPEAK 410 MS                   PERP,https://www.lenovo.com/us/en/p/accessories-and-software/audio/Audio_Speakerphones/78016300,78016300,$139.00,Earn,$4,in Rewards
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTI0Mzh8aW1hZ2UvanBlZ3xoZWQvaDc0LzExNjA3MjI3NDY1NzU4LmpwZ3xlZmJhNzU1OGQyMDg2Y2Y0NjU2ZWNlYmZhY2U5MWRmMmUxMjM2M2Q1YzAxZjRmZjQ2MzczNzMzM2ZkYzdmYmI3/008F6853-CDE5-4F0C-9C95-F2096394AA5D.jpg,Jabra Elite 75t - true wireless earphones with mic,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headphones/78014727,78014727,$149.99,Earn,$4,in Rewards
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8OTgwMXxpbWFnZS9qcGVnfGhjYi9oMmQvMTE2MDcyMjY2NzkzMjYuanBnfDRjMzc3MzM2M2U2NGY4ZjA5MmRlZDBkMTM1MWVlZTAxMzFhMjc3OWQ4Y2I5NWFkYTI0NWZlZGNiMzJjYjk4OGE/E2D8B8CD-B8D0-4B82-9EB8-4598F7301727.jpg,Jabra Elite Active 75t - true wireless earphones with mic,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headphones/78014853,78014853,$179.99,Earn,$5,in Rewards
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MjAzNTZ8aW1hZ2UvanBlZ3xoOTAvaDIxLzExNjAyMjQ1NDg0NTc0LmpwZ3w2ZmUyZDBhNjQyNzliMDY0MGQ4ODYwN2ZiMjQ5M2NiNTdhMDU0ZmMxOTE0ZmY5YTRiYTFmNjczNTFmYWRmZjdj/D621026A-CEF0-4930-B9EE-A3E65D433234.jpg,JABRA SPEAK 710 MS USB BT + 370PERP,https://www.lenovo.com/us/en/p/accessories-and-software/audio/Audio_Speakerphones/78011479,78011479,$314.00,Earn,$9,in Rewards
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTAxNTB8aW1hZ2UvanBlZ3xoYzgvaDhmLzExNjAzMzIzMzg3OTM0LmpwZ3xlOTVhNTMyNDE3NTdiZjk1ODk4NWYyYjMwYzU4Y2IzMjE2N2ExYzk3NjRiMjJlMzM5NjJjMzFkYWMzNWVhZGNk/DA211151-E75F-4886-A5B6-D7BC52AFB97C.jpg,JABRA EVOLVE 40 MS MONO        ACCS,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/78011463,78011463,$100.00,Earn,$3,in Rewards
