normal_image src,hover_image src,lazy_href,lazy_href href,part_number 2,title,key_details,key_details 2,key_details 3,key_details 4,key_details 5,key_details 6,final-price,text 2,text 3,text 4,price_guarantee,compareDefault,compareAdd,bv_main_container href,bv_stars_svg_no_wrap href,bv_text,bv_text 2,key_details 7,key_details 8,key_details 9,key_details 10,key_details 11,key_details 12,key_details 13,key_details 14,key_details 15,key_details 17,key_details 18
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8NTIxNnxpbWFnZS9qcGVnfGg1Yy9oYzUvMTE3MjUxMDU0OTYwOTQuanBnfDliMWJiYTZjNjBiMjA0MjU0MGFmYmY4ZmUxZGM5NDgwYjJkYmQxNzk5MzE2MmRlNzYxYjc4Mzc4MzE4Y2ZkMWE/7F487F4F-04C7-4EA5-AD51-71476317B7EC.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8NTIxNnxpbWFnZS9qcGVnfGg1Yy9oYzUvMTE3MjUxMDU0OTYwOTQuanBnfDliMWJiYTZjNjBiMjA0MjU0MGFmYmY4ZmUxZGM5NDgwYjJkYmQxNzk5MzE2MmRlNzYxYjc4Mzc4MzE4Y2ZkMWE/7F487F4F-04C7-4EA5-AD51-71476317B7EC.jpg,Wicked Audio Omen - earphones with mic,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headphones/78011551,78011551,Key Details,Wireless Bluetooth,Listen up to 32 ft away from your device,Rechargeable batteries with included charging cable,Security with Wicked Audio's triple battery protection,Custom comfort with 3 cushion sizes,"Noise isolating to help you focus on what's important, your tunes",$19.99,Earn,$0.60,in Rewards,Price Match Guarantee,Compare,Added!,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headphones/78011551,[object Object],2.5,(4),Wireless Bluetooth,Listen up to 32 ft away from your device,Rechargeable batteries with included charging cable,Security with Wicked Audio's triple battery protection,Custom comfort with 3 cushion sizes,"Noise isolating to help you focus on what's important, your tunes",,,,,
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTI1MDV8aW1hZ2UvanBlZ3xoNjcvaGQzLzExNjAxOTE5MjEzNTk4LmpwZ3xmNTY2YmY4YzZkNDg5MjdmN2JmYzk2YzdmNTdjY2MxYmRhNmQ5MGZhMWU3NTViZTE2MmY1YWEwMmY4NTdhOThj/95B07430-8AF2-4E60-920E-B130A2F66FAB.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTI1MDV8aW1hZ2UvanBlZ3xoNjcvaGQzLzExNjAxOTE5MjEzNTk4LmpwZ3xmNTY2YmY4YzZkNDg5MjdmN2JmYzk2YzdmNTdjY2MxYmRhNmQ5MGZhMWU3NTViZTE2MmY1YWEwMmY4NTdhOThj/95B07430-8AF2-4E60-920E-B130A2F66FAB.jpg,ROCCAT Elo 7.1 Air - headset,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/78016481,78016481,Key Details,Dynamic fit,Superior comfort,Exceptional 7.1 surround,Boosts critical in-game sounds,Crystal-clear communication,AIMO intelligent lighting engine,$79.99,Earn Triple Rewards,$7,=,Price Match Guarantee,Compare,Added!,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/78016481,[object Object],4.7,(24),Dynamic fit,Superior comfort,Exceptional 7.1 surround,Boosts critical in-game sounds,Crystal-clear communication,AIMO intelligent lighting engine,,,,,
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTk5ODJ8aW1hZ2UvcG5nfGg1Mi9oN2QvMTEyOTI4MDU1NjIzOTgucG5nfGVmYWE3ZmZkYmEzOGUyOWMxY2Y0ZTVkMmU0MWNjOTM2NDA4ODRlYWI3MjU0OTg1NWM1MTA0MDg4NjNlYmQxMjc/78016371_List.png,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTgwNTd8aW1hZ2UvanBlZ3xoNzIvaGFjLzExMjkyODA1NjYwNzAyLmpwZ3xhY2YzMjU5ZjBmOWU4NzMwNzlhNTU0NjVmYTI1ODAxZTEzMjdkZmUyMjFiYWMxZGNlNTJmMDk5ODliMzg0NDA5/78016371_main_v1.jpeg,Wicked Audio Reverb BT - Black,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headphones/78016371,78016371,Key Details,Wireless Bluetooth,Hands Free Phone Chat,Collapsible Design for easy storage,Mic and Track Control,All Day Wear,Aux Cord,$44.99,Earn,$1,in Rewards,Price Match Guarantee,Compare,Added!,,,,,Wireless Bluetooth,Hands Free Phone Chat,Collapsible Design for easy storage,Mic and Track Control,All Day Wear,Aux Cord,Enhanced Bass,Rubberized Finish,Rechargeable,Enhanced Bass,Rubberized Finish
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTA5Nzl8aW1hZ2UvanBlZ3xoOTUvaDQyLzExNzIzNzQwODA3MTk4LmpwZ3w1ZDM5YzNlN2NlN2FkMzcwZDdlMGY1Yjc1MWZjOTZjYzU4YjI0ZmJhYmI1ZTlkYmY2ZDBjMjg4MzI2M2ZjZDdi/B514E4FC-6C09-439B-8658-EF42EE0EA2DA.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTA5Nzl8aW1hZ2UvanBlZ3xoOTUvaDQyLzExNzIzNzQwODA3MTk4LmpwZ3w1ZDM5YzNlN2NlN2FkMzcwZDdlMGY1Yjc1MWZjOTZjYzU4YjI0ZmJhYmI1ZTlkYmY2ZDBjMjg4MzI2M2ZjZDdi/B514E4FC-6C09-439B-8658-EF42EE0EA2DA.jpg,Wicked Audio Driftr - true wireless earphones with mic,https://www.lenovo.com/us/en/p/accessories-and-software/audio/Audio_Earbuds/78017293,78017293,,,,,,,,$29.99,Earn,$0.90,in Rewards,Price Match Guarantee,Compare,Added!,,,,,,,,,,,,,,,
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTMxOTB8aW1hZ2UvanBlZ3xoM2IvaDdmLzExNzI1MDM2MDYwNzAyLmpwZ3xiZjQxYjRjYWE1MDVjNjg0OTc1ZmM0MzViNDk5ZDBhY2U2Y2U5Mzk5MTU2NzBmMmNhMDY2OWM3NzJiZTgzOGQ1/3A4159F6-D306-474F-BB4C-AE76B4AB549F.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTMxOTB8aW1hZ2UvanBlZ3xoM2IvaDdmLzExNzI1MDM2MDYwNzAyLmpwZ3xiZjQxYjRjYWE1MDVjNjg0OTc1ZmM0MzViNDk5ZDBhY2U2Y2U5Mzk5MTU2NzBmMmNhMDY2OWM3NzJiZTgzOGQ1/3A4159F6-D306-474F-BB4C-AE76B4AB549F.jpg,Wicked Audio Gnar - true wireless earphones,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headphones/78011528,78011528,Key Details,"Magnetic charging case, sleek, convenient and minimal effort required","Live long and prosper, 16 hours of total playtime to power your through those double shifts","Easy pairing, straightforward, no-nonsense pairing in one easy step","IPX4 sweatproof, so you can show off these bad boys at the gym","Killer sound quality, high fidelity, enhanced bass and noise isolation for that front-row VIP sound",,$59.99,Earn,$1,in Rewards,Price Match Guarantee,Compare,Added!,,,,,"Magnetic charging case, sleek, convenient and minimal effort required","Live long and prosper, 16 hours of total playtime to power your through those double shifts","Easy pairing, straightforward, no-nonsense pairing in one easy step","IPX4 sweatproof, so you can show off these bad boys at the gym","Killer sound quality, high fidelity, enhanced bass and noise isolation for that front-row VIP sound",,,,,,
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTEzOTl8aW1hZ2UvanBlZ3xoZmYvaGUxLzExNzI1MzMyMzE2MTkwLmpwZ3wwN2IwYzRlOTAzYjNhM2I2NGM0NDRlOTU4ZTI1ZWIzZTc5ODYxZDA4MGNjMjRiOWEwYTYwYjU3MzJmNjkzZjMz/22B68A53-3F21-410F-89F6-6E4A1CAEBFCF.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTEzOTl8aW1hZ2UvanBlZ3xoZmYvaGUxLzExNzI1MzMyMzE2MTkwLmpwZ3wwN2IwYzRlOTAzYjNhM2I2NGM0NDRlOTU4ZTI1ZWIzZTc5ODYxZDA4MGNjMjRiOWEwYTYwYjU3MzJmNjkzZjMz/22B68A53-3F21-410F-89F6-6E4A1CAEBFCF.jpg,Wicked Audio Endo - headphones with mic,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headphones/78011519,78011519,Key Details,Wireless Bluetooth,Mic and track control right on the headphone,Top of the line sound,"Wide range, high fidelity, and enhanced bass",Listen up to 32 ft away from your device,8 9 hour battery life,$39.99,Earn,$1,in Rewards,Price Match Guarantee,Compare,Added!,,,,,Wireless Bluetooth,Mic and track control right on the headphone,Top of the line sound,"Wide range, high fidelity, and enhanced bass",Listen up to 32 ft away from your device,8 9 hour battery life,Rechargeable batteries with included charging cable,Security with Wicked Audio's triple battery protection,,Rechargeable batteries with included charging cable,Security with Wicked Audio's triple battery protection
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MjAwMzh8aW1hZ2UvanBlZ3xoZWQvaDdjLzExNjAxOTEyMzMyMzE4LmpwZ3xlOGYyOGM0YTA0MGVjNDIzNzgxNmYzNzNkOWZhNWQ2ZDJmNTMyYTNiYWM0NzRmMTJkYzhkNTIyNjQyN2VlM2Qx/99BEB0FB-7F67-47F9-ABC1-4AE6E9EB60A5.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MjAwMzh8aW1hZ2UvanBlZ3xoZWQvaDdjLzExNjAxOTEyMzMyMzE4LmpwZ3xlOGYyOGM0YTA0MGVjNDIzNzgxNmYzNzNkOWZhNWQ2ZDJmNTMyYTNiYWM0NzRmMTJkYzhkNTIyNjQyN2VlM2Qx/99BEB0FB-7F67-47F9-ABC1-4AE6E9EB60A5.jpg,ROCCAT Elo X - headset,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/78016479,78016479,Key Details,Supreme cross-platform stereo sound,Dynamic fit,Superior comfort,Supreme stereo sound,Crystal-clear communication,Cross-platform compatibility,$49.99,Earn Triple Rewards,$4,=,Price Match Guarantee,Compare,Added!,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headsets/78016479,[object Object],4.7,(16),Supreme cross-platform stereo sound,Dynamic fit,Superior comfort,Supreme stereo sound,Crystal-clear communication,Cross-platform compatibility,,,,,
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8NjA1MXxpbWFnZS9qcGVnfGgwNS9oMGEvMTI0MDI2MzY3NTA4NzguanBnfGJlZjJjZjgyNjRjY2NiOTZhNGM4Y2Y5OWZlYjEwMjkwMDYwYTA0ZGFjOTE0OTE0ZDc0YzBhYmE3YmRiZTM3Mzg/D64329E9-8E31-44B0-9D6B-0288DCA62008.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8NjA1MXxpbWFnZS9qcGVnfGgwNS9oMGEvMTI0MDI2MzY3NTA4NzguanBnfGJlZjJjZjgyNjRjY2NiOTZhNGM4Y2Y5OWZlYjEwMjkwMDYwYTA0ZGFjOTE0OTE0ZDc0YzBhYmE3YmRiZTM3Mzg/D64329E9-8E31-44B0-9D6B-0288DCA62008.jpg,SOUNDTUBE PRO V3 BT SPEAKER,https://www.lenovo.com/us/en/p/accessories-and-software/audio/speakers/78053692,78053692,,,,,,,,$59.99,Earn,$1,in Rewards,Price Match Guarantee,Compare,Added!,,,,,,,,,,,,,,,
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTI0NjZ8aW1hZ2UvanBlZ3xoNjcvaDJhLzExNjAwMjY2NjU3ODIyLmpwZ3w3NDJkMWJjZWI0M2JlYjcwZTM5MWExMDU1NmEzMjI3NTJhMWQ0NWYzNGFjOWVmMTViZTY0ZjNlMzZlYjAwYTA2/EE23D8F9-5513-45F4-9A6D-2397B03BB54F.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTI0NjZ8aW1hZ2UvanBlZ3xoNjcvaDJhLzExNjAwMjY2NjU3ODIyLmpwZ3w3NDJkMWJjZWI0M2JlYjcwZTM5MWExMDU1NmEzMjI3NTJhMWQ0NWYzNGFjOWVmMTViZTY0ZjNlMzZlYjAwYTA2/EE23D8F9-5513-45F4-9A6D-2397B03BB54F.jpg,Philips UpBeat TAT3215BK - true wireless earphones with mic,https://www.lenovo.com/us/en/p/accessories-and-software/audio/Audio_Earbuds/78017126,78017126,Key Details,Smart pairing: automatically find your Bluetooth device,Built-in mic with echo cancellation for clear audio,Easily wake your phone's voice assistant,Multi-function button: easily control music and calls,"Rubber ear-tip covers in small, medium and large","Secure, comfortable fit",$89.99,Earn,$2,in Rewards,Price Match Guarantee,Compare,Added!,,,,,Smart pairing: automatically find your Bluetooth device,Built-in mic with echo cancellation for clear audio,Easily wake your phone's voice assistant,Multi-function button: easily control music and calls,"Rubber ear-tip covers in small, medium and large","Secure, comfortable fit",Soft wing tips for a secure fit and a tighter in-ear seal,"6mm neodymium drivers: clear sound, punchy bass",IPX4 splash- and sweat-resistant,Soft wing tips for a secure fit and a tighter in-ear seal,"6mm neodymium drivers: clear sound, punchy bass"
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTA2NTR8aW1hZ2UvanBlZ3xoZDAvaGY1LzExNjAxMjU5NzI0ODMwLmpwZ3w4NjY0NzUwNDExMmMzNzczM2M2ZGU2NWEwNWU5MDBhMzgzNzIwMzcwZGZlNmUyNDBkMjRmY2IzYWYzOTk2NDhk/B34F6A54-9527-41A5-B362-ABD44E95642D.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTA2NTR8aW1hZ2UvanBlZ3xoZDAvaGY1LzExNjAxMjU5NzI0ODMwLmpwZ3w4NjY0NzUwNDExMmMzNzczM2M2ZGU2NWEwNWU5MDBhMzgzNzIwMzcwZGZlNmUyNDBkMjRmY2IzYWYzOTk2NDhk/B34F6A54-9527-41A5-B362-ABD44E95642D.jpg,Philips BASS+ TABH305BK - headphones with mic,https://www.lenovo.com/us/en/p/accessories-and-software/audio/headphones/78017154,78017154,Key Details,Big bass,Flat-fold design for easy storage in your pocket or bag,Easily control music and calls,A double button press wakes your phone's voice assistant,,,$119.99,Earn,$3,in Rewards,Price Match Guarantee,Compare,Added!,,,,,Big bass,Flat-fold design for easy storage in your pocket or bag,Easily control music and calls,A double button press wakes your phone's voice assistant,,,,,,,
