normal_image src,hover_image src,lazy_href,lazy_href href,part_number 2,title,key_details,key_details 2,key_details 3,key_details 4,price,save,percent-box,final-price,ships,text 2,text 3,text 4,bv_main_container href,bv_stars_svg_no_wrap href,bv_text,bv_text 2,key_details 5,key_details 6,key_details 7,key_details 8,key_details 9,key_details 10,key_details 11,key_details 12,ellip,morelink,morelink href,key_details 13,key_details 14,key_details 15
https://p1-ofp.static.pub/ShareResource/560x450/SSNP/GX40Q75215/GX40Q75215-560x450-01.6986d848ccd12a86.png,https://p1-ofp.static.pub/ShareResource/560x450/SSNP/GX40Q75215/GX40Q75215-560x450-02.c955bf4d1bffd341.png,"Lenovo 15.6"" Laptop Backpack B515 (Black)",https://www.lenovo.com/us/en/p/accessories-and-software/cases-and-bags/backpacks/GX40Q75215,GX40Q75215,Key Details,"High quality, durable and water repellent fabric",Spacious compartments with well-placed pockets,Anti-theft compartments to keep valuables safe,Thick breathable mesh padding for cushioned comfort,$34.99,save $20.00,57% off,$14.99,"Ships FREE by Thu, Oct 14",Earn,$0.45,in Rewards,https://www.lenovo.com/us/en/p/accessories-and-software/cases-and-bags/backpacks/GX40Q75215,[object Object],4.7,(720),"High quality, durable and water repellent fabric",Spacious compartments with well-placed pockets,Anti-theft compartments to keep valuables safe,Thick breathable mesh padding for cushioned comfort,,,,,,,,,,
https://p3-ofp.static.pub/ShareResource/560x450/SSNP/GX40Q17230/GX40Q17230-560x450-01.6a50eaa3d85d411b.png,https://p4-ofp.static.pub/ShareResource/560x450/SSNP/GX40Q17230/GX40Q17230-560x450-02.6dd374bcf6945aa2.png,"Lenovo 15.6"" Laptop Casual Toploader T210 (Blue)",https://www.lenovo.com/us/en/p/accessories-and-software/cases-and-bags/briefcases-toploads/GX40Q17230,GX40Q17230,Key Details,"Casual and stylish design High quality, durable and water repellant fabric",Large storage capacity – fits up to 15.6” laptops,Conveniently placed compartments and pockets,Integrated luggage strap for more convenient travel,$19.99,save $6.00,30% off,$13.99,"Ships FREE by Thu, Oct 14",Earn,$0.42,in Rewards,https://www.lenovo.com/us/en/p/accessories-and-software/cases-and-bags/briefcases-toploads/GX40Q17230,[object Object],4.7,(362),"Casual and stylish design High quality, durable and water repellant fabric",Large storage capacity – fits up to 15.6” laptops,Conveniently placed compartments and pockets,Integrated luggage strap for more convenient travel,,,,,,,,,,
https://p2-ofp.static.pub/ShareResource/560x450/SSNP/GX40Z50941/GX40Z50941-560x450-01.61cf879c4e8ca825.png,https://p4-ofp.static.pub/ShareResource/560x450/SSNP/GX40Z50941/GX40Z50941-560x450-02.d08dddda71f48138.png,Lenovo 14-inch Laptop Urban Sleeve Case,https://www.lenovo.com/us/en/p/accessories-and-software/cases-and-bags/sleeves/GX40Z50941,GX40Z50941,Key Details,Protective design that's armored with rubber bumpers on each corner to keep your laptop safe from accidental drops,Water-resistant and stylish polyester outer material for durability,Cushioned under zippers to protect from scratches,Additional zipper storage for accessories,$19.99,save $7.00,35% off,$12.99,"Ships FREE by Thu, Oct 14",Earn,$0.39,in Rewards,https://www.lenovo.com/us/en/p/accessories-and-software/cases-and-bags/sleeves/GX40Z50941,[object Object],4.7,(341),Protective design that's armored with rubber bumpers on each corner to keep your laptop safe from accidental drops,Water-resistant and stylish polyester outer material for durability,Cushioned under zippers to protect from scratches,Additional zipper storage for accessories,,,,,,,,,,
https://p2-ofp.static.pub/ShareResource/560x450/SSNP/4X40N18010/4X40N18010-560x450-01.be6917639812f29c.png,https://p1-ofp.static.pub/ShareResource/560x450/SSNP/4X40N18010/4X40N18010-560x450-02.bf986cc2a1908dec.png,"ThinkPad 15"" Sleeve",https://www.lenovo.com/us/en/p/accessories-and-software/cases-and-bags/sleeves/4X40N18010,4X40N18010,Key Details,ThinkPad branded protective sleeve customised for 15” ThinkPad notebooks,"Durable, lightweight construction","Padded, easy-grip handles",,$29.99,save $6.00,20% off,$23.99,"Ships FREE by Thu, Oct 14",Earn,$0.72,in Rewards,https://www.lenovo.com/us/en/p/accessories-and-software/cases-and-bags/sleeves/4X40N18010,[object Object],4.5,(318),ThinkPad branded protective sleeve customised for 15” ThinkPad notebooks,"Durable, lightweight construction","Padded, easy-grip handles",,,,,,,,,,,
https://p1-ofp.static.pub/ShareResource/560x450/SSNP/GX40Q17229/GX40Q17229-560x450-01.06fe52323c5b779f.png,https://p2-ofp.static.pub/ShareResource/560x450/SSNP/GX40Q17229/GX40Q17229-560x450-02.536acab511561a5c.png,"Lenovo 15.6"" Laptop Casual Toploader T210 (Black)",https://www.lenovo.com/us/en/p/accessories-and-software/cases-and-bags/briefcases-toploads/GX40Q17229,GX40Q17229,Key Details,Casual and stylish design,"High quality, durable and water repellant fabric",Large storage capacity – fits up to 15.6” laptops,Conveniently placed compartments and pockets,$19.99,save $6.00,30% off,$13.99,"Ships FREE by Thu, Oct 14",Earn,$0.42,in Rewards,https://www.lenovo.com/us/en/p/accessories-and-software/cases-and-bags/briefcases-toploads/GX40Q17229,[object Object],4.6,(498),Casual and stylish design,"High quality, durable and water repellant fabric",Large storage capacity – fits up to 15.6” laptops,Conveniently placed compartments and pockets,Integrated luggage strap for more convenient travel,Integrated luggage strap for more convenient travel,,,,,,,,
https://p4-ofp.static.pub/ShareResource/560x450/SSNP/GX40X02932/GX40X02932-560x450-01.a2f4e5f8e7c84a00.png,https://p4-ofp.static.pub/ShareResource/560x450/SSNP/GX40X02932/GX40X02932-560x450-02.5d8e8fd9178ef021.png,Lenovo Yoga 14-inch Sleeve,https://www.lenovo.com/us/en/p/accessories-and-software/cases-and-bags/sleeves/GX40X02932,GX40X02932,Key Details,Clean and classic design,Easy to use magnetic closure,Slim yet functional with a separate accessory pocket,High quality and soft materials ensure comfortable daily use,$29.99,save $10.00,33% off,$19.99,"Ships FREE by Thu, Oct 14",Earn,$0.60,in Rewards,https://www.lenovo.com/us/en/p/accessories-and-software/cases-and-bags/sleeves/GX40X02932,[object Object],4.4,(268),Clean and classic design,Easy to use magnetic closure,Slim yet functional with a separate accessory pocket,High quality and soft materials ensure comfortable daily use,Luxury leather and felt combination suits both business and leisure,Luxury leather and felt combination suits both business and leisure,Lightweight and easy to carry when traveling,Lightweight and easy to carry when traveling,,,,,,
https://p4-ofp.static.pub/ShareResource/560x450/SSNP/4X40U97972/4X40U97972-560x450-01.32b6279fc0308169.png,https://p3-ofp.static.pub/ShareResource/560x450/SSNP/4X40U97972/4X40U97972-560x450-02.6c671934e32b4c47.png,ThinkPad X1 Carbon/Yoga Leather Sleeve,https://www.lenovo.com/us/en/p/accessories-and-software/cases-and-bags/sleeves/4X40U97972,4X40U97972,Key Details,Black leather with gray microfiber interior lining,Magnetic closure,Back slip pocket for storage of accessories,Storage loop for pen or stylus,$79.99,save $15.00,18% off,$64.99,Ships FREE in 4-7 business days,Earn,$1,in Rewards,https://www.lenovo.com/us/en/p/accessories-and-software/cases-and-bags/sleeves/4X40U97972,[object Object],4.5,(301),Black leather with gray microfiber interior lining,Magnetic closure,Back slip pocket for storage of accessories,Storage loop for pen or stylus,"Custom fit for the X1 Yoga (Gen 4) & X1 Carbon (Gen 5, 6 and 7)","Custom fit for the X1 Yoga (Gen 4) & X1 Carbon (Gen 5, 6 and 7)",,,,,,,,
https://p3-ofp.static.pub/ShareResource/560x450/SSNP/GX40Q17227/GX40Q17227-560x450-01.bbd132d263290134.png,https://p4-ofp.static.pub/ShareResource/560x450/SSNP/GX40Q17227/GX40Q17227-560x450-02.4cf7272633251a3b.png,"Lenovo 15.6"" inch laptop Backpack B210 (Grey)",https://www.lenovo.com/us/en/p/accessories-and-software/cases-and-bags/backpacks/GX40Q17227,GX40Q17227,Key Details,Casual and stylish design,"High quality, durable and water repellant fabric",Large storage capacity – fits up to 15.6” laptops,Conveniently placed compartments and pockets,$21.99,save $8.00,36% off,$13.99,"Ships FREE by Thu, Oct 14",Earn,$0.42,in Rewards,https://www.lenovo.com/us/en/p/accessories-and-software/cases-and-bags/backpacks/GX40Q17227,[object Object],4.6,(414),Casual and stylish design,"High quality, durable and water repellant fabric",Large storage capacity – fits up to 15.6” laptops,Conveniently placed compartments and pockets,,,,,,,,,,
https://p2-ofp.static.pub/ShareResource/560x450/SSNP/GX40X02934/GX40X02934-560x450-01.eeb4ef3943090a46.png,https://p3-ofp.static.pub/ShareResource/560x450/SSNP/GX40X02934/GX40X02934-560x450-02.b9d9405da8f99e18.png,Lenovo Yoga 15-inch Sleeve,https://www.lenovo.com/us/en/p/accessories-and-software/cases-and-bags/sleeves/GX40X02934,GX40X02934,Key Details,Clean and classic design,Easy to use magnetic closure,Slim yet functional with a separate accessory pocket,High quality and soft materials ensure comfortable daily use,$29.99,save $9.00,30% off,$20.99,"Ships FREE by Thu, Oct 14",Earn,$0.63,in Rewards,https://www.lenovo.com/us/en/p/accessories-and-software/cases-and-bags/sleeves/GX40X02934,[object Object],4.3,(177),Clean and classic design,Easy to use magnetic closure,Slim yet functional with a separate accessory pocket,High quality and soft materials ensure comfortable daily use,Luxury leather and felt combination suits both business and leisure,Luxury leather and felt combination suits both business and leisure,Lightweight and easy to carry when traveling,Lightweight and easy to carry when traveling,,,,,,
https://p3-ofp.static.pub/ShareResource/560x450/SSNP/GX40V10007/GX40V10007-560x450-01.8674eca9aff62de9.png,https://p4-ofp.static.pub/ShareResource/560x450/SSNP/GX40V10007/GX40V10007-560x450-02.affa3ad9e41c2910.png,Lenovo Legion 17” Armored Backpack,https://www.lenovo.com/us/en/p/accessories-and-software/cases-and-bags/backpacks/GX40V10007,GX40V10007,Key Details,"Support for up to 17.3"" laptops to keep even pro gamers satisfied",Ultra-tough EVA front shield lined with waterproof PU fabric to keep your gear safe,"Dedicated headset, keyboard and mouse pockets to protect expensive peripherals",External water bottle sleeve to keep you hydrated on the go,$99.99,save $45.00,45% off,$54.99,"Ships FREE by Thu, Oct 14",Earn Triple Rewards,$4,=,https://www.lenovo.com/us/en/p/accessories-and-software/cases-and-bags/backpacks/GX40V10007,[object Object],4.7,(255),"Support for up to 17.3"" laptops to keep even pro gamers satisfied",Ultra-tough EVA front shield lined with waterproof PU fabric to keep your gear safe,"Dedicated headset, keyboard and mouse pockets to protect expensive peripherals",External water bottle sleeve to keep you hydrated on the go,"Padded back, handle, shoulder straps and chest buckle provides comfort on-the-go","Padded back, handle, shoulder straps and chest buckle provides comfort on-the-go",Rugged base for added protection against the element,Rugged base for added protection against the element,...,See More Details,https://www.lenovo.com/us/en/p/accessories-and-software/cases-and-bags/backpacks/GX40V10007,,,
