normal_image src,hover_image src,lazy_href,lazy_href href,part_number 2,title,key_details,key_details 2,price,save,percent-box,final-price,ca-content-container,ca-price-focus,ca-link,ships,ca-link 2,text 3,bv_main_container href,bv_stars_svg_no_wrap href,bv_text,bv_text 2,ca-bold,ca-sub-content-container,ca-sub-content-container 2,ca-sub-content-container 3,ca-link 3,ca-link 4
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTUxNjd8aW1hZ2UvanBlZ3xoOGYvaDFlLzExNjA4OTUzODQ3ODM4LmpwZ3w1ZjEyNjc2NmM4MDgwYjc1YTQ5YmEyNWEzZmQwOGJiN2I5ZGU0ZjhiZjE2MGE0ZmYwZGJiYmY4ODZhYzI5ODlm/C5ACB02A-B214-4D5B-A1CC-D9F42F760394.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTUxNjd8aW1hZ2UvanBlZ3xoOGYvaDFlLzExNjA4OTUzODQ3ODM4LmpwZ3w1ZjEyNjc2NmM4MDgwYjc1YTQ5YmEyNWEzZmQwOGJiN2I5ZGU0ZjhiZjE2MGE0ZmYwZGJiYmY4ODZhYzI5ODlm/C5ACB02A-B214-4D5B-A1CC-D9F42F760394.jpg,"Brother ADS-2200 - document scanner - desktop - USB 2.0, USB 2.0 (Host)",https://www.lenovo.com/us/en/p/accessories-and-software/office-essentials/Office-Essentials_Scanners/78012952,78012952,Key Details,Fast 35 ppm/70 ipm 2-sided color scan speeds,Versatile paper handling via 50-sheet mixed media auto-feeder,$449.99,save $120.00,26% off,$329.99,6 Months Promotional Financing Available* On purchases of  or more made with the Lenovo Credit Card,$500,Learn More,Ships FREE in 1-3 business days,Learn More,$9,https://www.lenovo.com/us/en/p/accessories-and-software/office-essentials/Office-Essentials_Scanners/78012952,[object Object],4.4,(52),,,,,,
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTYzMDR8aW1hZ2UvanBlZ3xoN2UvaDVlLzExNjA4NzMxNjQ4MDMwLmpwZ3wzY2E4NTFmYTdiYzllMzVmMGY5YzJkYzZkZDUzZmRiODY2M2E5ODA3MDkwMTU3OWI2NTE3NDVhOWZkNzMxNDQ5/FBE1F600-D8D5-438A-AFA4-126BAB44ECE2.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTYzMDR8aW1hZ2UvanBlZ3xoN2UvaDVlLzExNjA4NzMxNjQ4MDMwLmpwZ3wzY2E4NTFmYTdiYzllMzVmMGY5YzJkYzZkZDUzZmRiODY2M2E5ODA3MDkwMTU3OWI2NTE3NDVhOWZkNzMxNDQ5/FBE1F600-D8D5-438A-AFA4-126BAB44ECE2.jpg,WRLSS COMPACT DESKTOP SCANNER,https://www.lenovo.com/us/en/p/accessories-and-software/office-essentials/Office-Essentials_Scanners/78012931,78012931,,,,$379.99,save $110.00,28% off,$269.99,6 Months Promotional Financing Available* On purchases of  or more made with the Lenovo Credit Card,$500,Learn More,Ships FREE in 1-3 business days,Learn More,$8,https://www.lenovo.com/us/en/p/accessories-and-software/office-essentials/Office-Essentials_Scanners/78012931,[object Object],4.2,(62),,,,,,
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTIzODh8aW1hZ2UvanBlZ3xoYjAvaDYwLzExNjAyMTE4NDc1ODA2LmpwZ3w0Y2RkZDYwNTJlYWVkZTg5YzFjMjQ0NDQzYjk2N2IzY2VhNGE4OTY4NmJmZTc4OGFjNDhjYzk2OTE3OWU5NGQx/1FE1AC32-7CCF-42D0-9F2A-12B0918F0DCD.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTIzODh8aW1hZ2UvanBlZ3xoYjAvaDYwLzExNjAyMTE4NDc1ODA2LmpwZ3w0Y2RkZDYwNTJlYWVkZTg5YzFjMjQ0NDQzYjk2N2IzY2VhNGE4OTY4NmJmZTc4OGFjNDhjYzk2OTE3OWU5NGQx/1FE1AC32-7CCF-42D0-9F2A-12B0918F0DCD.jpg,DSKTP DOCUMENT SCANNER,https://www.lenovo.com/us/en/p/accessories-and-software/office-essentials/Office-Essentials_Scanners/78012933,78012933,,,,$549.99,save $180.00,32% off,$369.99,6 Months Promotional Financing Available* On purchases of  or more made with the Lenovo Credit Card,$500,Learn More,Ships FREE in 1-3 business days,Learn More,$11,https://www.lenovo.com/us/en/p/accessories-and-software/office-essentials/Office-Essentials_Scanners/78012933,[object Object],4.2,(72),,,,,,
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTAyODV8aW1hZ2UvanBlZ3xoNzIvaDQ5LzExNjAxOTI1NzAxNjYyLmpwZ3w0NTlkMDRiNjdkMjcxMGNkZGZhNTcxM2I2ZTlhODVhMTQ0YjQ4ZDVkNjIyY2FiOTAxMzIyZGVkYTRiZmIxMmMz/50308201-46CA-4C5D-83ED-CADA59844667.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTAyODV8aW1hZ2UvanBlZ3xoNzIvaDQ5LzExNjAxOTI1NzAxNjYyLmpwZ3w0NTlkMDRiNjdkMjcxMGNkZGZhNTcxM2I2ZTlhODVhMTQ0YjQ4ZDVkNjIyY2FiOTAxMzIyZGVkYTRiZmIxMmMz/50308201-46CA-4C5D-83ED-CADA59844667.jpg,OFFICEASSIST AUTO FEED SHREDDERACCS,https://www.lenovo.com/us/en/p/accessories-and-software/office-essentials/Office-Essentials_Shredders/78016654,78016654,,,,,,,$999.99,,,See How,Ships FREE in 1-3 business days,Prequalify,$30,,,,,$167/mo,suggested payments,w/6 mo,promo financing,See How,Prequalify
https://p4-ofp.static.pub/ShareResource/560x450/3PO/78025627/78025627-560x450-01.15178231656f0435.png,https://p3-ofp.static.pub/ShareResource/560x450/3PO/78025627/78025627-560x450-02.1c85de2a8612d82b.png,"Ativa 6-Sheet Cross-Cut Shredder, Black, A06CC19",https://www.lenovo.com/us/en/p/accessories-and-software/office-essentials/Office-Essentials_Shredders/78025627,78025627,Key Details,"Destroying sensitive documents can help ensure that your private information stays out of the hands of identity thieves and other criminals. This cross-cut Ativa shredder allows you to quickly dispose of financial statements and other personal documents.  Integrated features that help you save time when shredding documents.  6-sheet shredder can be used to destroy staples, paper clips, and credit cards.  3.4 gallon bin with easy lift-off lid with handle.  Cross-cut blades slice paper in a cross-...","Destroying sensitive documents can help ensure that your private information stays out of the hands of identity thieves and other criminals. This cross-cut Ativa shredder allows you to quickly dispose of financial statements and other personal documents.  Integrated features that help you save time when shredding documents.  6-sheet shredder can be used to destroy staples, paper clips, and credit cards.  3.4 gallon bin with easy lift-off lid with handle.  Cross-cut blades slice paper in a cross-...",$50.99,save $16.00,31% off,$34.99,6 Months Promotional Financing Available* On purchases of  or more made with the Lenovo Credit Card,$500,Learn More,Ships FREE in 4-7 business days,Learn More,$1,,,,,,,,,,
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTEwNDZ8aW1hZ2UvanBlZ3xoZTgvaGRjLzExNjAzNjUzMzYxNjk0LmpwZ3w0NjAxODJiMjQzNmQ0MWEyZThiNTRiMDAyM2RhNzE4MjEyODM1OGUyOGYwZjczZmRiNTcyMjk3YTA2ZTQxNDUx/0E741547-5E0F-41FC-8A8F-0BAC2E6D310B.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTEwNDZ8aW1hZ2UvanBlZ3xoZTgvaGRjLzExNjAzNjUzMzYxNjk0LmpwZ3w0NjAxODJiMjQzNmQ0MWEyZThiNTRiMDAyM2RhNzE4MjEyODM1OGUyOGYwZjczZmRiNTcyMjk3YTA2ZTQxNDUx/0E741547-5E0F-41FC-8A8F-0BAC2E6D310B.jpg,OFFICEASSIST M100S ANTI-JAM    ACCS,https://www.lenovo.com/us/en/p/accessories-and-software/office-essentials/Office-Essentials_Shredders/78014711,78014711,,,,,,,$114.99,6 Months Promotional Financing Available* On purchases of  or more made with the Lenovo Credit Card,$500,Learn More,Ships FREE in 1-3 business days,Learn More,$3,,,,,,,,,,
https://p4-ofp.static.pub/ShareResource/560x450/3PO/78025626/78025626-560x450-01.801579d67f2c64f4.png,https://p1-ofp.static.pub/ShareResource/560x450/3PO/78025626/78025626-560x450-02.165f69d2288bc55c.png,"Ativa 12-Sheet Micro-Cut Shredder, A12MC19",https://www.lenovo.com/us/en/p/accessories-and-software/office-essentials/Office-Essentials_Shredders/78025626,78025626,Key Details,"Keep this powerful unit in your home office to quickly shred through sensitive documents. The micro-cut design leaves behind virtually unreadable scraps.  Integrated features that help you save time when shredding documents.  12-sheet shredder can be used to destroy staples, paper clips, and credit cards.  6 gallon bin easily pulls out for emptying.  Micro-cut blades slice paper in a cross-hatch pattern into shreds measuring 0.16in x 0.47in.  Shred speeds up to 6 fpm allows fast use.  Shreds con...","Keep this powerful unit in your home office to quickly shred through sensitive documents. The micro-cut design leaves behind virtually unreadable scraps.  Integrated features that help you save time when shredding documents.  12-sheet shredder can be used to destroy staples, paper clips, and credit cards.  6 gallon bin easily pulls out for emptying.  Micro-cut blades slice paper in a cross-hatch pattern into shreds measuring 0.16in x 0.47in.  Shred speeds up to 6 fpm allows fast use.  Shreds con...",$165.19,save $40.20,24% off,$124.99,6 Months Promotional Financing Available* On purchases of  or more made with the Lenovo Credit Card,$500,Learn More,Ships FREE in 4-7 business days,Learn More,$3,,,,,,,,,,
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTEyMzd8aW1hZ2UvanBlZ3xoNTgvaGVjLzExNjA3Nzg5MTQyMDQ2LmpwZ3w1NzY2MmYxMzEyMWViNDQ1YzBkZjc4MWYxNmI0Y2E3MWU0ODdiZGFlYTEyZmE2NjM0MWRmNThlMGU4NGRmOGMx/307F0E60-A0B8-4D3E-9987-CB234104FEFD.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTEyMzd8aW1hZ2UvanBlZ3xoNTgvaGVjLzExNjA3Nzg5MTQyMDQ2LmpwZ3w1NzY2MmYxMzEyMWViNDQ1YzBkZjc4MWYxNmI0Y2E3MWU0ODdiZGFlYTEyZmE2NjM0MWRmNThlMGU4NGRmOGMx/307F0E60-A0B8-4D3E-9987-CB234104FEFD.jpg,POWERSHRED P-35C CROSS-CUT     ACCS,https://www.lenovo.com/us/en/p/accessories-and-software/office-essentials/Office-Essentials_Shredders/78014698,78014698,,,,,,,$139.99,6 Months Promotional Financing Available* On purchases of  or more made with the Lenovo Credit Card,$500,Learn More,Ships FREE in 1-3 business days,Learn More,$4,https://www.lenovo.com/us/en/p/accessories-and-software/office-essentials/Office-Essentials_Shredders/78014698,[object Object],3.9,(68),,,,,,
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8ODgxNHxpbWFnZS9qcGVnfGg0MS9oOWYvMTE2MDI3MzE2NjMzOTAuanBnfGE3N2RmZTdkNWY2ZGE1NzVlYjUxOTk0NTkwYTZiNGY4ZDI5NGZmNWU0YzEyZjAwYmY1MTQzYzQwMDhjNTg0ZWY/13B9E203-8704-40DB-B147-49CB2DF72910.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8ODgxNHxpbWFnZS9qcGVnfGg0MS9oOWYvMTE2MDI3MzE2NjMzOTAuanBnfGE3N2RmZTdkNWY2ZGE1NzVlYjUxOTk0NTkwYTZiNGY4ZDI5NGZmNWU0YzEyZjAwYmY1MTQzYzQwMDhjNTg0ZWY/13B9E203-8704-40DB-B147-49CB2DF72910.jpg,POWERSHRED 11C CROSS CUT       ACCS,https://www.lenovo.com/us/en/p/accessories-and-software/office-essentials/Office-Essentials_Shredders/78014701,78014701,,,,,,,$179.99,6 Months Promotional Financing Available* On purchases of  or more made with the Lenovo Credit Card,$500,Learn More,Ships FREE in 1-3 business days,Learn More,$5,https://www.lenovo.com/us/en/p/accessories-and-software/office-essentials/Office-Essentials_Shredders/78014701,[object Object],4.6,(124),,,,,,
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTQzMTl8aW1hZ2UvanBlZ3xoNmEvaGViLzExNjA4OTc2OTgyMDQ2LmpwZ3w5OWViMjFlYzkxYjJiZjU0ZjY4YWU0MTg5NDIwN2Y3YjQwMDVjN2ZiZmM1ZmQ4MDM4NzcwOGE0MGFkMzk2OTY4/A85EEEF7-2F58-4802-9E19-D1AC269259F4.jpg,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTQzMTl8aW1hZ2UvanBlZ3xoNmEvaGViLzExNjA4OTc2OTgyMDQ2LmpwZ3w5OWViMjFlYzkxYjJiZjU0ZjY4YWU0MTg5NDIwN2Y3YjQwMDVjN2ZiZmM1ZmQ4MDM4NzcwOGE0MGFkMzk2OTY4/A85EEEF7-2F58-4802-9E19-D1AC269259F4.jpg,WRLSS COMPACT DESKTOP SCANNER,https://www.lenovo.com/us/en/p/accessories-and-software/office-essentials/Office-Essentials_Scanners/78012930,78012930,,,,$329.99,save $100.00,30% off,$229.99,6 Months Promotional Financing Available* On purchases of  or more made with the Lenovo Credit Card,$500,Learn More,Ships FREE in 1-3 business days,Learn More,$6,https://www.lenovo.com/us/en/p/accessories-and-software/office-essentials/Office-Essentials_Scanners/78012930,[object Object],3.8,(41),,,,,,
