normal_image src,hover_image src,heart src,productGalleryOverride src,productGalleryOverride src 2,productGalleryOverride src 3,lazy_href,lazy_href href,part_number 2,key_details,key_details 2,key_details href,key_details 3,price,save,percent-box,final-price,text 3,key_details 7,ellip,morelink,morelink href
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTQxODB8aW1hZ2UvcG5nfGg1MS9oMzEvMTE2NzEyNDc0MjE0NzAucG5nfGQ0MTBiNzE0NGQwM2FiODNlNDRmMDc0NDU0NzdjOWUyODk3OTk2Nzk0NjU2MGRjNGIwNDIwMDhhNWEwMDY4OGY/thinksystem-half-high-sata-dvd-rom-optical-disk-drive.png,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTQxODB8aW1hZ2UvcG5nfGg1MS9oMzEvMTE2NzEyNDc0MjE0NzAucG5nfGQ0MTBiNzE0NGQwM2FiODNlNDRmMDc0NDU0NzdjOWUyODk3OTk2Nzk0NjU2MGRjNGIwNDIwMDhhNWEwMDY4OGY/thinksystem-half-high-sata-dvd-rom-optical-disk-drive.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,ThinkSystem Half High SATA DVD-ROM Optical Disk Drive,https://www.lenovo.com/us/en/p/data-center-options/storage-servers/other-server-storage/7XA7A01204,7XA7A01204,The half-high optical drives are attached via a SATA port on the system board,The power and SATA cables are included in cable kit 4Z57A13568,https://lenovopress.com/lp1274,View specifications on Lenovo Press,$49.00,save $14.70,30% off,$34.30,$0,,,,
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8NjIyODd8aW1hZ2UvcG5nfGg0MC9oMDMvMTE0NTA3OTA3MDcyMzAucG5nfGM4OGRmOGQ4NTE5MzJjZTRmM2NiYjc2NzQzYTUyOTc5OGY3Yjg2M2UwNDMwM2FlYTE0ODg5YzFiNDc1ZTUyYjc/thinksystem-3-5-intel-s4510-240gb-entry-sata-6gb-hot-swap-ssd.png,,,,,,"ThinkSystem 3.5"" Intel S4510 240GB Entry SATA 6Gb Hot Swap SSD",https://www.lenovo.com/us/en/p/data-center-options/storage-servers/ssd/4XB7A13625,4XB7A13625,64-layer Intel 3D NAND TLC Flash Memory technology with a 6Gbps SATA interface provides an affordable solution with industry leading performance,"Endurance of up to 2 drive writes per day (DWPD) for 5 years, using Intel Standard Endurance Technology (SET)",https://lenovopress.com/lp0924-intel-s4510-entry-sata-6gb-ssd,View specifications on Lenovo Press,$149.00,save $44.70,30% off,$104.30,$0,"Energy savings, with typical write power consumption as low as 2.4 W per drive",...,See More Details,https://www.lenovo.com/us/en/p/data-center-options/storage-servers/ssd/4XB7A13625
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8NjQyNTN8aW1hZ2UvcG5nfGg2OC9oOTAvMTE3MzQ2MjU4NDUyNzgucG5nfDM3YjBlMzRhYWMyMTdlNDNiZGQzNzFlNWYxM2RlNTU0ZGViZTIyZjRlYWE0ZjczZjA5MmIwNjIzMDlhNzljY2Y/thinksystem-2-5-intel-s4510-240gb-entry-sata-6gb-hot-swap-ssd.png,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8NjQyNTN8aW1hZ2UvcG5nfGg2OC9oOTAvMTE3MzQ2MjU4NDUyNzgucG5nfDM3YjBlMzRhYWMyMTdlNDNiZGQzNzFlNWYxM2RlNTU0ZGViZTIyZjRlYWE0ZjczZjA5MmIwNjIzMDlhNzljY2Y/thinksystem-2-5-intel-s4510-240gb-entry-sata-6gb-hot-swap-ssd.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,"ThinkSystem 2.5"" Intel S4510 240GB Entry SATA 6Gb Hot Swap SSD",https://www.lenovo.com/us/en/p/data-center-options/storage-servers/ssd/4XB7A10247,4XB7A10247,Entry SATA solid-state drives (SSDs),Use Intel 64-layer 3D NAND TLC Flash Memory technology with a 6Gbps SATA interface,https://lenovopress.com/lp0924,View specifications on Lenovo Press,$149.00,save $44.70,30% off,$104.30,$0,Provides an affordable solution with industry leading performance,...,See More Details,https://www.lenovo.com/us/en/p/data-center-options/storage-servers/ssd/4XB7A10247
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MzY0MTN8aW1hZ2UvcG5nfGhiNy9oYjQvMTE0OTYyMzMyNzEzMjYucG5nfDQzMjk5ZTQ4MzYwMDgwY2U4ZjFiNzVjZmU0N2QwNDM2NzVmYWFiZjlhZGQ4MzE1NTQ3YjBmNDNiMWMwNTUxZTE/thinksystem-m-2-cv3-128gb-sata-6gbps-non-hot-swap-ssd.png,,,,,,ThinkSystem M.2 CV3 128GB SATA 6Gbps Non-Hot-Swap SSD,https://www.lenovo.com/us/en/p/data-center-options/storage-servers/ssd/7N47A00130,7N47A00130,Primarily used as an operating system boot solution however depending on the endurance of the M.2 drives,Suitable for read-intensive or mixed workloads,https://lenovopress.com/lp0769,View specifications on Lenovo Press,$159.00,save $47.70,30% off,$111.30,$0,,,,
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8NjIyODd8aW1hZ2UvcG5nfGhiZi9oNDcvMTE0NTA3OTIxNDkwMjIucG5nfGQyYmZjMTEzODhhMzRmMWFkNmEwOTgyYWE2YTZlOTU0MzNjNThkMjkyZDQwYTJiY2RmNjI2ZWRhNTNhNzNmN2Y/thinksystem-st50-3-5-intel-s4510-240gb-entry-sata-6gb-non-hot-swap-ssd.png,,,,,,"ThinkSystem ST50 3.5"" Intel S4510 240GB Entry SATA 6Gb Non Hot Swap SSD",https://www.lenovo.com/us/en/p/data-center-options/storage-servers/ssd/4XB7A14914,4XB7A14914,64-layer Intel 3D NAND TLC Flash Memory technology with a 6Gbps SATA interface provides an affordable solution with industry leading performance,"The S4510 SSDs are optimized for read-intensive applications such as boot, web servers, lower data rate operational databases and analytics",https://lenovopress.com/lp0924-intel-s4510-entry-sata-6gb-ssd,View specifications on Lenovo Press,$159.00,save $47.70,30% off,$111.30,$0,,...,See More Details,https://www.lenovo.com/us/en/p/data-center-options/storage-servers/ssd/4XB7A14914
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8NTU0Njd8aW1hZ2UvcG5nfGgwNy9oMmIvMTE4Mjc3NjU2NzQwMTQucG5nfGM0NTM1ZmM4NDM3ODYzZDEzZDE2MWRmZmMzY2ZmNzI0OTg2Y2VlZjA1Yzg5NmU2NGNjMzU4OTE4ZGJmZDE5MDE/thinksystem-3-5-multi-vendor-480gb-entry-sata-6gb-hot-swap-ssd.png,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8NTU0Njd8aW1hZ2UvcG5nfGgwNy9oMmIvMTE4Mjc3NjU2NzQwMTQucG5nfGM0NTM1ZmM4NDM3ODYzZDEzZDE2MWRmZmMzY2ZmNzI0OTg2Y2VlZjA1Yzg5NmU2NGNjMzU4OTE4ZGJmZDE5MDE/thinksystem-3-5-multi-vendor-480gb-entry-sata-6gb-hot-swap-ssd.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,"ThinkSystem 3.5"" Multi Vendor 480GB Entry SATA 6Gb Hot Swap SSD",https://www.lenovo.com/us/en/p/data-center-options/storage-servers/ssd/4XB7A38277,4XB7A38277,Entry-level SSDs with 6 Gbps SATA,3.5-inch (LFF) HS,https://lenovopress.com/lp1261,View specifications on Lenovo Press,$219.00,save $65.70,30% off,$153.30,$0,,,,
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8NTAzOTB8aW1hZ2UvcG5nfGgyNi9oMjcvMTE4MjE2NTEwOTk2NzgucG5nfDFiYjcwOThhN2NiNTQ3ZjQxYmVmZmUyNzJjZGNkZjlhMThiNmZkZmI0OWM1ODY0ZWQ4MjBkNmEwNmNmYzhhM2I/thinksystem-1tb-7-2k-6gbps-sata-3-5-simple-swap-512n-hdd.png,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8NTAzOTB8aW1hZ2UvcG5nfGgyNi9oMjcvMTE4MjE2NTEwOTk2NzgucG5nfDFiYjcwOThhN2NiNTQ3ZjQxYmVmZmUyNzJjZGNkZjlhMThiNmZkZmI0OWM1ODY0ZWQ4MjBkNmEwNmNmYzhhM2I/thinksystem-1tb-7-2k-6gbps-sata-3-5-simple-swap-512n-hdd.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,"ThinkSystem 1TB 7.2K 6Gbps SATA 3.5"" Simple Swap 512n HDD",https://www.lenovo.com/us/en/p/data-center-options/storage-servers/hdd/7XB7A00055,7XB7A00055,Outstanding performance for all mission critical applications,Offering highest capacity HDDs from industry leaders,https://lenovopress.com/lp1059,View specifications on Lenovo Press,$229.00,save $68.70,30% off,$160.30,$0,Excellent reliability and performance in 24x7 operational environments,...,See More Details,https://www.lenovo.com/us/en/p/data-center-options/storage-servers/hdd/7XB7A00055
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8NTg1MDl8aW1hZ2UvcG5nfGhiYy9oOTMvMTE3MzQ2MjYwNDE4ODYucG5nfDQ5YzBjZjg0ZTdhOThhY2E4NDkwMGI4ZWQ1Zjg5NWRkOTQ2ZWJlZTY1MjRlYjdlYzhjNWRlMTQxOGQyNjgxZWY/thinksystem-2-5-pm883-240gb-entry-sata-6gb-hot-swap-ssd.png,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8NTg1MDl8aW1hZ2UvcG5nfGhiYy9oOTMvMTE3MzQ2MjYwNDE4ODYucG5nfDQ5YzBjZjg0ZTdhOThhY2E4NDkwMGI4ZWQ1Zjg5NWRkOTQ2ZWJlZTY1MjRlYjdlYzhjNWRlMTQxOGQyNjgxZWY/thinksystem-2-5-pm883-240gb-entry-sata-6gb-hot-swap-ssd.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,"ThinkSystem 2.5"" PM883 240GB Entry SATA 6Gb Hot Swap SSD",https://www.lenovo.com/us/en/p/data-center-options/storage-servers/ssd/4XB7A10195,4XB7A10195,Entry SATA 6Gb solid-state drives (SSDs) are general-purpose SSDs based on the Samsung PM883 platform,"Engineered for greater performance and endurance in a cost-effective design, and to support a broader set of workloads",https://lenovopress.com/lp0878,View specifications on Lenovo Press,$229.00,save $68.70,30% off,$160.30,$0,,,,
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8NTc2OTl8aW1hZ2UvcG5nfGgwZS9oMjUvMTE4MjE2NTMwNjU3NTgucG5nfDJmYzg3NGYxNzE4ZjcwMDlmNjdlMTA3MWMxYjIxZTcwY2Y2Yjc5NGU3YmNlNjYzMDkzMWFkZTA3MmFjNTAyYmQ/thinksystem-3-5-pm883-240gb-entry-sata-6gb-hot-swap-ssd.png,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8NTc2OTl8aW1hZ2UvcG5nfGgwZS9oMjUvMTE4MjE2NTMwNjU3NTgucG5nfDJmYzg3NGYxNzE4ZjcwMDlmNjdlMTA3MWMxYjIxZTcwY2Y2Yjc5NGU3YmNlNjYzMDkzMWFkZTA3MmFjNTAyYmQ/thinksystem-3-5-pm883-240gb-entry-sata-6gb-hot-swap-ssd.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,"ThinkSystem 3.5"" PM883 240GB Entry SATA 6Gb Hot Swap SSD",https://www.lenovo.com/us/en/p/data-center-options/storage-servers/ssd/4XB7A17176,4XB7A17176,General-purpose SSDs based on the Samsung PM883 platform,"Engineered for greater performance and endurance in a cost-effective design, and to support a broader set of workloads",https://lenovopress.com/lp0878,View specifications on Lenovo Press,$239.00,save $71.70,30% off,$167.30,$0,,,,
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8NTk5MTh8aW1hZ2UvcG5nfGgzYS9oN2YvMTE0NTA3OTE5NTI0MTQucG5nfGI3OWE3NjZhMDZmNjM0MWU0NGM1OGVlMjllOTAxNjJiYjVmYmVmZjIzZTg0ZGIzMGVkZTNjYjkyMTc4NzczYzI/thinksystem-st50-3-5-1tb-7-2k-sata-6gb-non-hot-swap-512n-hdd.png,,,,,,"ThinkSystem ST50 3.5"" 1TB 7.2K SATA 6Gb Non-Hot Swap 512n HDD",https://www.lenovo.com/us/en/p/data-center-options/storage-servers/hdd/4XB7A13554,4XB7A13554,Excellent reliability and performance in 24x7 operational environments,Outstanding performance for all mission critical applications,https://lenovopress.com/lp1059-lenovo-thinksystem-hdd-summary,View specifications on Lenovo Press,$249.00,save $74.70,30% off,$174.30,$0,,,,
