href,Name,Price,Is_Leasable
https://moto.hubbleconnected.com/en/products/7183/MotorolaEASE34,Motorola EASE34,,
https://moto.hubbleconnected.com/en/products/7384/MotorolaBLISS54-2,Motorola BLISS54-2,,
"https://moto.hubbleconnected.com/en/products/6533/MotorolaCOMFORT75,COMFORT75-2","Motorola COMFORT75, COMFORT75-2",,
https://moto.hubbleconnected.com/en/products/4165/MotorolaMBP36XLBU(AccessoryCamera),Motorola MBP36XLBU (Accessory Camera),,
https://moto.hubbleconnected.com/en/products/4868/MotorolaMBP38SBU(AccessoryCamera),Motorola MBP38SBU (Accessory Camera),,
https://moto.hubbleconnected.com/en/products/4869/MotorolaMBP33XLC,Motorola MBP33XLC,,
https://moto.hubbleconnected.com/en/products/4173/MotorolaMBP36SBU(AccessoryCamera),Motorola MBP36SBU (Accessory Camera),,
https://moto.hubbleconnected.com/en/products/6539/MotorolaCOMFORT35,Motorola COMFORT35,,
"https://moto.hubbleconnected.com/en/products/5677/MotorolaMBP50-G1,MBP50-G2","Motorola MBP50-G1, MBP50-G2",,
https://moto.hubbleconnected.com/en/products/1564/MotorolaMBP36XL,Motorola MBP36XL,,
https://moto.hubbleconnected.com/en/products/1765/MotorolaMBP33XL,Motorola MBP33XL,,
https://moto.hubbleconnected.com/en/products/1566/MotorolaCOMFORT50,Motorola COMFORT50,,
https://moto.hubbleconnected.com/en/products/47/MotorolaMBP38S-2,Motorola MBP38S-2,,
https://moto.hubbleconnected.com/en/products/69/MotorolaMBP481,Motorola MBP481,,
https://moto.hubbleconnected.com/en/products/70/MotorolaMBP482,Motorola MBP482,,
https://moto.hubbleconnected.com/en/products/1774/MotorolaMBP483,Motorola MBP483,,
"https://moto.hubbleconnected.com/en/products/54/MotorolaMBP41S,MBP41S-2","Motorola MBP41S, MBP41S-2",,
https://moto.hubbleconnected.com/en/products/55/MotorolaMBP41,Motorola MBP41,,
https://moto.hubbleconnected.com/en/products/56/MotorolaMBP35S,Motorola MBP35S,,
"https://moto.hubbleconnected.com/en/products/57/MotorolaMBP33,MBP33-2","Motorola MBP33, MBP33-2",,
https://moto.hubbleconnected.com/en/products/58/MotorolaMBP33S,Motorola MBP33S,,
https://moto.hubbleconnected.com/en/products/59/MotorolaMBP20,Motorola MBP20,,
https://moto.hubbleconnected.com/en/products/60/MotorolaMBP18,Motorola MBP18,,
"https://moto.hubbleconnected.com/en/products/62/MotorolaMBP43,MBP43-2","Motorola MBP43, MBP43-2",,
"https://moto.hubbleconnected.com/en/products/63/MotorolaMBP36,MBP36-2","Motorola MBP36, MBP36-2",,
"https://moto.hubbleconnected.com/en/products/64/MotorolaMBP34,MBP34T","Motorola MBP34, MBP34T",,
"https://moto.hubbleconnected.com/en/products/65/MotorolaMBP28,MBP28-2","Motorola MBP28, MBP28-2",,
"https://moto.hubbleconnected.com/en/products/66/MotorolaMBP27T,MBP27T-2","Motorola MBP27T, MBP27T-2",,
"https://moto.hubbleconnected.com/en/products/67/MotorolaMBP26,MBP26-2,MBP26BS","Motorola MBP26, MBP26-2, MBP26BS",,
"https://moto.hubbleconnected.com/en/products/68/MotorolaMBP25,MBP25-2","Motorola MBP25, MBP25-2",,
https://moto.hubbleconnected.com/en/products/71/MotorolaMBP421,Motorola MBP421,,
https://moto.hubbleconnected.com/en/products/72/MotorolaMBP36S,Motorola MBP36S,,
https://moto.hubbleconnected.com/en/products/1762/MotorolaMBP48,Motorola MBP48,,
https://moto.hubbleconnected.com/en/products/1772/MotorolaCOMFORT28,Motorola COMFORT28,,
"https://moto.hubbleconnected.com/en/products/53/MotorolaMBP43S,MBP43S-2","Motorola MBP43S, MBP43S-2",,
https://moto.hubbleconnected.com/en/products/52/MotorolaMBP621,Motorola MBP621,,
https://moto.hubbleconnected.com/en/products/50/MotorolaMBP867,Motorola MBP867,,
https://moto.hubbleconnected.com/en/products/51/MotorolaMBP622,Motorola MBP622,,
