href,Name
https://www.motorola.com/us/smartphones-moto-g-stylus-gen-2/p,moto g stylus (2021)
https://www.motorola.com/us/smartphones-motorola-edge-gen-2/p,motorola edge (2021)
https://www.motorola.com/us/smartphones-moto-g100/p,moto g100
https://www.motorola.com/us/smartphones-razr-gen-2/p,razr (2nd Gen)
https://www.motorola.com/us/smartphones-moto-g-power-gen-2/p,moto g power (2021)
https://www.motorola.com/us/smartphones-motorola-one-5g-ace/p,motorola one 5G ace
https://www.motorola.com/us/smartphones-moto-g-stylus-5g/p,moto g stylus 5g
https://www.motorola.com/us/smartphones-moto-g-stylus/p,moto g stylus (2020)
https://www.motorola.com/us/smartphones-moto-g-power/p,moto g power (2020)
https://www.motorola.com/us/smartphones-moto-g-fast/p,moto g fast
https://www.motorola.com/us/smartphones-moto-g-play/p,moto g play
https://www.motorola.com/us/smartphones-motorola-edge/p,motorola edge (2020)
https://www.motorola.com/us/smartphones-moto-g7-play/p,moto g⁷ play
https://www.motorola.com/us/smartphones-moto-g-pure/p,moto g pure
https://www.motorola.com/us/smartphones-moto-g7-plus/p,moto g⁷ plus
https://www.motorola.com/us/smartphones-moto-e/p,moto e (2020)
