href,Name
https://www.motorola.com/us/find-motorola-charging-accessories-that-fit-your-phone/p,Find motorola charging accessories that fit your phone
https://www.motorola.com/us/motorola-10w-rapid-wall-charger-with-usb-c-cable/p,Rapid 10W Wall Charger USB-C
https://www.motorola.com/us/motorola-turbopower-flip-18w-wall-charger/p,TurboPower Flip 18W Wall Charger
https://www.motorola.com/us/motorola-turbopower-45w-wall-charger-with-5-amp-e-marked-usb-c-cable/p,TurboPower 45W Wall Charger
https://www.motorola.com/us/motorola-turbopower-15w-wireless-charging-pad/p,TurboPower 15W Wireless Charging Pad
https://www.motorola.com/us/motorola-10w-rapid-wall-charger-with-micro-usb-data-cable/p,Rapid 10W Wall Charger micro USB
https://www.motorola.com/us/motorola-turbopower-18-wall-charger-with-micro-usb-data-cable/p,TurboPower 18W Wall Charger micro USB
https://www.motorola.com/us/motorola-turbopower-pack-5000-portable-charger-with-1ft-usb-c-to-usb-c-data-cable/p,TurboPower Pack 5000
https://www.motorola.com/us/motorola-10w-wireless-charging-pad-with-18w-turbopower-wall-charger-and-6-6-ft-usb-c-cable-for-qi-devices/p,10W Wireless Charging Pad
https://www.motorola.com/us/motorola-turbopower-pack-10000-portable-charger-with-usb-c-data-cable/p,TurboPower Pack 10000
https://www.motorola.com/us/motorola-turbopowe-27-wall-charger-with-usb-c-to-usb-c-data-cable/p,TurboPower 27W Wall Charger USB-C
https://www.motorola.com/us/motorola-turbopower-18-wall-charger-with-usb-c-data-cable/p,TurboPower 18W Wall Charger USB-C
