product-img-link href,cleanDesc,part-info,part-info 2,price,wishlist-label href,short-description
https://www.turnermotorsport.com/p-361178-trimmoulding-tool-kit-5-pieces/,Trim/Moulding Tool Kit - 5 Pieces,361178,PHR-05S,$22.95,https://www.turnermotorsport.com/c-907-bmw-hand-tools#,"Plastic five-piece tool kit removes trim and door panels, moldings, and adhesive backed logos and badges, without damage. By using a non-marring plastic you can safely and easily remove trip pieces with confidence"
https://www.turnermotorsport.com/p-373727-schwaben-14mm-deep-well-spark-plug-socket-38-drive/,"Schwaben 14mm Deep Well Spark Plug Socket - 3/8"" Drive
       ...",373727,001247SCH01A,$28.95,https://www.turnermotorsport.com/c-907-bmw-hand-tools#,When it comes to replacing the spark plugs on a N54 or N55 engine you may have already noticed the standard small spark plug socket is a bit to big. This socket is a more affordable option for your weekend tune-up.
https://www.turnermotorsport.com/p-385652-schwaben-protecta-socket-kit-3-pieces/,Schwaben Protecta Socket Kit - 3 Pieces,385652,PPS-1721,$29.95,https://www.turnermotorsport.com/c-907-bmw-hand-tools#,Protecta socket are used to keep ugly scratch marks from showing up after torqueing down wheel lugs.
https://www.turnermotorsport.com/p-401281-m6x10-rivnut-installation-tool-msc-pn09331786/,M6x1.0 Rivnut Installation Tool,401281,09331786,$22.95,https://www.turnermotorsport.com/c-907-bmw-hand-tools#,A simple design used to install rivnuts .
https://www.turnermotorsport.com/p-377177-strut-nut-socket-set-5-piece/,Strut Nut Socket Set - 5 Piece,377177,003046SCHKT,$63.95,https://www.turnermotorsport.com/c-907-bmw-hand-tools#,"To secure shocks and struts to their mounts, the retaining nut must be torqued to its proper specification using a torque wrench. An improper torque value may result in premature mount failure - or worse. Strut nut sockets allow for the use of an allen wrench to hold the damper shaft while utilizing your 1/2"" drive torque wrench on the socket to achieve proper torque."
https://www.turnermotorsport.com/p-363536-schwaben-46-piece-14-drive-set/,"Schwaben 46 Piece 1/4"" Drive Set",363536,010747SCH01A,$58.95,https://www.turnermotorsport.com/c-907-bmw-hand-tools#,The perfect kit containing most of your needed European essentials.
https://www.turnermotorsport.com/p-11251-genuine-bmw-equipment-parts-crank-71121179953/,Genuine BMW Lug Wrench Tool,11251,71121179953,$24.41,https://www.turnermotorsport.com/c-907-bmw-hand-tools#,"Genuine BMW Crank    E30 M3,E36 M3,E34 M5,E39 M5,E60 M5,E63 M6,E46 M3,E30,E34,E36,E38,E39,E46,E53 X5,E63,E82,E90,E92,E93,F01,F02,F10,F12,F13"
https://www.turnermotorsport.com/p-362821-schwaben-deep-well-impact-socket-46mm/,Schwaben Deep Well Impact Socket - 46mm,362821,003302SCH03A,$24.95,https://www.turnermotorsport.com/c-907-bmw-hand-tools#,This large socket is the perfect tool for axle nuts when servicing the axle shafts or wheel bearings.
https://www.turnermotorsport.com/p-379950-schwaben-locking-hose-pinch-off-pliers/,Schwaben Locking Hose Pinch-Off Pliers,379950,009787SCH01A,$23.95,https://www.turnermotorsport.com/c-907-bmw-hand-tools#,Pliers have adequate clamping force to seal large or pressurized cooling system hoses. These pliers are great for clamping shut most hoses. Swivel jaws ensure even clamping force.
https://www.turnermotorsport.com/p-557494-14mm-swivel-spark-plug-socket/,14mm Swivel Spark Plug Socket,557494,026717SCH01A,$22.95,https://www.turnermotorsport.com/c-907-bmw-hand-tools#,
