product-img-link href,cleanDesc,part-info,part-info 2,price,wishlist-label href,short-description
https://www.turnermotorsport.com/p-21457-83190404517-genuine-bmw-part/,Genuine BMW Loctite 5970 Liquid Sealant - 50ml,21457,83190404517,$22.95,https://www.turnermotorsport.com/c-37-bmw-differential-and-gearing-upgrades#,This Loctite 5970 Sealant is recommended by BMW to be used to seal the rear differential cover. Also used for multiple MINI applications.
https://www.turnermotorsport.com/p-366828-ecs-magnetic-differential-oil-drain-plug/,ECS Magnetic Differential Oil Drain Plug - Most BMW & Mini Model...,366828,009314ECS01A,$32.76,https://www.turnermotorsport.com/c-37-bmw-differential-and-gearing-upgrades#,"You use a magnetic drain plug for your engine oil, right? Why not apply the same proactive thinking to the differential too? This is a direct replacement magnetic differential drain plug for your BMW. It will catch and retain fine and larger metal particles in your diff oil. If you're proactive in your diff oil servicing, you will catch a minor issue long before it becomes a headache. Diff drain plug includes one sealing o-ring. Direct replacement for Genuine BMW part number(s): 33117525064, 33110308370, 33110152626"
https://www.turnermotorsport.com/p-593924-turner-magnetic-drain-plug-m22x15-14mm-hex-socket-head/,"Turner Titanium Magnetic Differential Drain Plug - M22x1.5 
       ...",593924,027030TMS01,$46.36,https://www.turnermotorsport.com/c-37-bmw-differential-and-gearing-upgrades#,When both extreme-duty protection and saving every gram matters: the Turner Magnetic Differential Drain Plug.
https://www.turnermotorsport.com/p-589555-complete-performance-polyurethane-differential-bushing-set-95a/,"Complete Performance Polyurethane Differential Bushing Set - 95A
  ...",589555,026709ECS09,$115.16,https://www.turnermotorsport.com/c-37-bmw-differential-and-gearing-upgrades#,"Upgrade your worn OE rubber bushings with ECS Tuning's Performance Polyurethane Differential Bushing Set. In-House Engineered to improve power delivery and handling, with a superior service life over the soft factory rubber bushings."
https://www.turnermotorsport.com/p-337-rear-differential-mounts-turner-solid-aluminum-e46-m3/,Rear Differential Mounts - Turner Solid Aluminum - E46 M3,337,TDR4680035,$139.96,https://www.turnermotorsport.com/c-37-bmw-differential-and-gearing-upgrades#,"For our Grand-Am Cup E46 M3s we wanted a fully solid differential mount setup. The advantages of a fully-solid aluminum set is that they last forever, quickens response in the suspension, and frees up horsepower to the wheels. These fully solid aluminum diff mounts are CNC machined and lightened for a direct replacement of the original rubber pieces.   By substituting aluminum for rubber we can take out all of the deflection and 'wind up' inherent to the original rubber pieces. The high deflection rate of the stock rubber means the suspension reacts slower as the bushing is compressed. The power used to compress that bushing is instead passed straight to the axles and wheels. And since there is no time lost to deflection, response is greatly improved. These diff mounts are only recommended for racecars since the aluminum transfers more noise and vibration.   This is a 3-piece set with a single front bushing and two rear bushings to press into the cover. They mount with the stock BMW hardware.     2001-2006    M3"
https://www.turnermotorsport.com/p-1453-rear-differential-mounts-solid-delrin-race-e82-1m-e9x-m3/,"Rear Differential Mounts - Solid Delrin Race - E82 1M, E9X M3
     ...",1453,TDR9080DM3,$211.16,https://www.turnermotorsport.com/c-37-bmw-differential-and-gearing-upgrades#,"TMS E90/E92 M3 solid differential mounts are designed around current Grand Am Cup regulations, derived from, and currently used in TMS racecars. Thick Delrin casings are used as the non-metallic solid bushing. Replacing your differentials rubber mounts with this kit will result in a snappier feel when cornering and better suspension performance. You save money by never having to replace the stock rubber mounts that fail due to old age and fatigue. These bushings are CNC machined in the USA and made with high-grade materials.     2011-2012    1M Coupe  2006-2011    M3 - Sedan  2007-2013    M3 - Coupe  2007-2013    M3 - Convertible"
https://www.turnermotorsport.com/p-1571-rear-differential-mounts-solid-aluminumdelrin-race-e82-e9x-f22-f3x/,"Rear Differential Mounts - Solid Aluminum/Delrin Race - E82, E9X, F2...",1571,TDR9080SD1,$234.95,https://www.turnermotorsport.com/c-37-bmw-differential-and-gearing-upgrades#,"These Turner Motorsport solid differential mounts are for the E90/E92 (NON M) 3 series and E82 1 series, and are designed around many racing regulations. Replacing your differentials rubber mounts with this kit will result in a snappier feel when cornering and better suspension performance. You save money by never having to replace the stock rubber mounts that fail due to old age and fatigue. These bushings are CNC machined in the USA and made with high-grade materials.     2008-2012    128i 135i  2014+    228i 228iX M235i M235iX  2006-2011    325i 325xi 328i 328xi 328i xDrive 330i 330xi 335d 335i 335xi 335i xDrive - Sedan  2006-2012    325xi 328i 328xi 328i xDrive - Wagon  2007-2013    328i 328xi 328i xDrive 335i 335is 335xi 335i xDrive - Coupe  2007-2013    328i 335i - Convertible  2012+    320i 320iX 328i 328iX 335i 335iX - Sedan  2012+    328i 328iX - Wagon  2014+    328i 328iX 335iX - Gran Turismo  2014+    428i 428iX 435i 435iX - Coupe  2014+    428i 428iX 435i 435iX - Convertible"
https://www.turnermotorsport.com/p-596679-complete-performance-polyurethane-differential-bushing-set-95a/,"Performance Polyurethane Differential Bushing Set - E9X M3
        ...",596679,026711ECS09,$124.40,https://www.turnermotorsport.com/c-37-bmw-differential-and-gearing-upgrades#,"Upgrade your worn rubber bushings with ECS Tuning's Performance Polyurethane Differential Bushing Set. In-House Engineered to improve power delivery and handling, with a superior service life over the soft factory rubber bushings."
https://www.turnermotorsport.com/p-3786-rear-differential-mounts-turner-solid-e36-e36-m3/,"Turner Solid Rear Differential Mounts - E36, E36 M3",3786,TDR3680001,$126.61,https://www.turnermotorsport.com/c-37-bmw-differential-and-gearing-upgrades#,Changing out the stock rubber differential bushings for Delrin and aluminum will result in more feedback and better suspension performance. This kit will also help prevent the front diff bolt from loosening or shearing - a very common problem on E36 cars.The Turner Motorsport solid diff bushings have spent years being tested in various racing series and have even been used extensively on street cars. These bushings are CNC machined from high-grade billet aluminum and Delrin and are a direct replacement for the stock rubber pieces. The rear two differential cover bushings are slotted to allow for BMW manufacturing tolerances. The kit includes 3 pieces: a Delrin front mount and 2 aluminum rear mounts. We recommend adding T#13460 to your order for installation.
https://www.turnermotorsport.com/p-583896-m24x15mm-magnetic-drainfill-plug-each/,M24x1.5mm Magnetic Drain/Fill Plug - Each,583896,000920ECS01,$19.46,https://www.turnermotorsport.com/c-37-bmw-differential-and-gearing-upgrades#,
