product-img-link href,cleanDesc,part-info,part-info 2,price,wishlist-label href,short-description
https://www.turnermotorsport.com/p-187011-ultimate-clutch-pedal-e82-e90-e92-f22-f30-f32/,"Ultimate Clutch Pedal - E82, E90, E92, F22, F30, F32",187011,UCP310,$294.95,https://www.turnermotorsport.com/c-84-bmw-pedal-sets#,The Ultimate Clutch Pedal is a short throw design and sits 15mm lower than the original pedal position. There's less 'leg lift' to put your foot at the top of the pedal. This eliminates wasted motion and saves time during every shift. An adjustable clutch stop is included to fine tune the travel and release characteristics. This pedal also has an adjustable tension feature. The amount of tension on the spring is adjustable to one of three positions.
https://www.turnermotorsport.com/p-3807-uuc-clutch-stop/,UUC Clutch Stop V 3.0,3807,CS,$24.50,https://www.turnermotorsport.com/c-84-bmw-pedal-sets#,"The Clutch Stop is now a stout 61mm in diameter (versus the original 32mm). Since the clutch arm on most late model BMWs are made from plastic (and have very poor fitting clutch arm bushings), the clutch arm tends to move laterally a bit, allowing the clutch arm to slip a smaller diameter stop. Does not work on E46 or most BMWs after 2000."
https://www.turnermotorsport.com/p-4078-bmw-performance-aluminum-pedal-set-manualsmgdct-transmission/,"BMW M Performance Aluminum Pedal Set - Manual/SMG/DCT Transmission
...",4078,35002213213,$111.40,https://www.turnermotorsport.com/c-84-bmw-pedal-sets#,"Add comfort, control, and great visual appeal to your interior with this BMW manual transmission aluminum pedal set. These factory BMW Performance pedals are a direct replacement for the original rubber pedal pads and are a perfect complement to the BMW interior finish and trim. These pedals fit most BMWs with a manual, SMG, or DCT transmission. These are a stylish and functional upgrade that you will appreciate every time you're 'dancing on the pedals'.   These BMW pedals feature a brushed aluminum surface with raised rubber inserts. The kit includes aluminum clutch, brake, and accelerator pedals that are screwed to the stock pedal assemblies (flush-fit hardware and drilling templates included). The clutch pedal is not used on the SMG and DCT-equipped models. A matching aluminum footrest is optional (see below).   This kit was originally designed to fit the E46, E82, and E90/E92 but it's also a great upgrade on most BMW manual-equipped cars from 1984 to today because BMW has continued to use the same rubber pedal pads that these replace.   A Genuine BMW Performance accessory. Same kit as BMW part numbers 35000304642 and 35002213213.     2008-2012    128i 135i 1M Coupe  1984-1991    318i 318is 318ic 325e 325es 325i 325ic 325is 325ix M3  1992-1998    318i 318is 318ti 318ic 323is 323ic 325i 325is 325ic 328i 328is 328ic M3  1999-2005    323i 323ci 325i 325ci 325xi 328i 328ci 330i 330ci 330xi M3  2006-2011    325i 325xi 328i 328xi 328i xDrive 330i 330xi 335d 335i 335xi 335i xDrive M3 - Sedan  2006-2012    325xi 328i 328xi 328i xDrive - Wagon  2007-2013    328i 328xi 328i xDrive 335i 335is 335xi 335i xDrive M3 - Coupe  2007-2013    328i 335i M3 - Convertible  1989-1995    525i 530i 535i 540i M5  1997-2003    525i 528i 530i 540i  2004-2010    X3 2.5i X3 3.0i X3 3.0si  1997-2002    Z3 1.9 Z3 2.3 Z3 2.5i Z3 2.8 Z3 3.0i M Roadster M Coupe  2003-2008    Z4 2.5i Z4 3.0i Z4 3.0si Z4 M Roadster M Coupe  2009+    Z4 sDrive30i Z4 sDrive35i Z4 sDrive35is"
https://www.turnermotorsport.com/p-1491-uuc-clutch-arm-bushing-kit-fits-most-bmws/,UUC Clutch Arm Bushing Kit - Fits most BMWs,1491,CAB,$24.50,https://www.turnermotorsport.com/c-84-bmw-pedal-sets#,"Got a squeaky clutch pedal arm driving you insane? Is it also sloppy, and slipping to the side?   Quite simply, it is well-known that BMW's original clutch arm bushings are the culprit for these annoying problems. You can lubricate, replace, curse, even murmur obscure voodoo prayers - but none of that will work.      By simply replacing the stock bushings with the UHMW (Ultra High Molecular Weight polycetal) UUC Motorwerks Clutch Arm Bushings, you can permanently get rid of that annoying squeak and the side-slop.   The great advantage of UHMW over other materials is the superior long-term wear characteristics and self-lubricating properties.    If the clutch pedal arm has become worn, we also recommend replacing the clutch pedal arm.    or       1984-1991    318i 318is 318ic 325e 325es 325i 325ic 325is 325ix M3  1992-1998    318i 318is 318ti 318ic 323is 323ic 325i 325is 325ic 328i 328is 328ic M3  1999-2005    323i 323ci 325i 325ci 325xi 328i 328ci 330i 330ci 330xi M3  1989-1995    525i 530i 535i 540i M5  1997-2003    525i 528i 530i 540i M5  2004-2010    525i 525xi 530i 530xi 528i 528xi 528i xDrive 535i 535xi 535i xDrive 545i 550i M5  1997-2002    Z3 1.9 Z3 2.3 Z3 2.5i Z3 2.8 Z3 3.0i M Roadster M Coupe  2003-2008    Z4 2.5i Z4 3.0i Z4 3.0si Z4 M Roadster M Coupe  and basically all other manual-transmission BMW models built since 1982."
https://www.turnermotorsport.com/p-3800-bmw-performance-aluminum-dead-pedalfootrest-e46-e82-e9x/,"BMW M Performance Aluminum Dead Pedal/Footrest - E46, E82, E9X
    ...",3800,51470027792,$61.13,https://www.turnermotorsport.com/c-84-bmw-pedal-sets#,"Add comfort and great visual appeal to your interior with this BMW aluminum footrest cover. This dead pedal plate fits over the stock footrest (either over the stock plastic or replaces the original ///M plate). These are a perfect match to complete the upgrade of the factory BMW Performance pedal sets.   This footrest features a brushed aluminum surface with raised rubber inserts. The kit includes the aluminum plate, flush-fit hardware, and drilling templates.   This kit was originally designed to fit the E46, E82, and E90/E92 but it's also a great upgrade for many other BMW models (some trimming may be required on some models).     2008-2012    128i 135i 1M Coupe  1999-2005    323i 323ci 325i 325ci 325xi 328i 328ci 330i 330ci 330xi M3  2006-2011    325i 325xi 328i 328xi 328i xDrive 330i 330xi 335d 335i 335xi 335i xDrive M3 - Sedan  2006-2012    325xi 328i 328xi 328i xDrive - Wagon  2007-2013    328i 328xi 328i xDrive 335i 335is 335xi 335i xDrive M3 - Coupe  2007-2013    328i 335i M3 - Convertible"
https://www.turnermotorsport.com/p-339007-turner-motorsport-racing-aluminum-pedal-set-for-manual-transmission/,"Turner Motorsport Racing Aluminum Pedal Set for Manual Transmission
...",339007,TMS339007,$125.35,https://www.turnermotorsport.com/c-84-bmw-pedal-sets#,"These aluminum pedals were designed with one thing in mind -- performance. We wanted a pedal set that gave us the grip EXACTLY where we wanted it: MASSIVE GRIP on the brake and clutch pedals, and far less grip on the accelerator to allow the right foot to better slide/move during heal-toe braking. This set surpasses all others in this area, giving your BMW's foot operated controls a more tactile feel and response. The brake and clutch pedals feature pyramid shaped spikes, which actually BITE the soles of your shoes PERFECTLY, creating the ultimate (and unbeatable) friction surface."
https://www.turnermotorsport.com/p-12762-gas-pedal-module-e46-e39-e53-manual-trans/,Genuine BMW Accelerator Module With Pedal,12762,35426786282,$163.66,https://www.turnermotorsport.com/c-84-bmw-pedal-sets#,"This genuine BMW accelerator pedal assembly provides electronic input for the throttle for cars with ""fly-by-wire"" throttle. Only for cars with manual transmission. Not for cars with SMG.     1999-2005    325i 325ci 325xi  1999-2005    330i 330ci 330xi  2001-2005    M3   2000-2003    525i 528i 530i 540i  2000-2006    X5 3.0i  2000-2003    Z8 Roadster"
https://www.turnermotorsport.com/p-3799-bmw-performance-aluminum-pedal-set-autosteptronic-transmission/,"BMW Performance Aluminum Pedal Set - Auto/Steptronic Transmission
 ...",3799,35002213212,$107.19,https://www.turnermotorsport.com/c-84-bmw-pedal-sets#,"Add comfort, control, and great visual appeal to your interior with this BMW auto transmission aluminum pedal set. These factory BMW Performance pedals are a direct replacement for the original rubber pedal pads and are a perfect complement to the BMW interior finish and trim. These pedals fit most BMWs with an automatic transmission. These are a stylish and functional upgrade that you will appreciate every time you're 'dancing on the pedals'.   These BMW pedals feature a brushed aluminum surface with raised rubber inserts. The kit includes aluminum brake, and accelerator pedals that are screwed to the stock pedal assemblies (flush-fit hardware and drilling templates included). A matching aluminum footrest is optional (see below).   This kit was originally designed to fit the E46, E82, and E90/E92 but it's also a great upgrade on most BMW auto-equipped cars from 1984 to today because BMW has continued to use the same rubber pedal pads that these replace.   A Genuine BMW Performance accessory. Same kit as BMW part numbers 35000007018 and 35002213212.     2008-2012    128i 135i  1984-1991    318i 318is 318ic 325e 325es 325i 325ic 325is 325ix  1992-1998    318i 318is 318ti 318ic 323is 323ic 325i 325is 325ic 328i 328is 328ic M3  1999-2005    323i 323ci 325i 325ci 325xi 328i 328ci 330i 330ci 330xi  2006-2011    325i 325xi 328i 328xi 328i xDrive 330i 330xi 335d 335i 335xi 335i xDrive - Sedan  2006-2012    325xi 328i 328xi 328i xDrive - Wagon  2007-2013    328i 328xi 328i xDrive 335i 335is 335xi 335i xDrive - Coupe  2007-2013    328i 335i - Convertible  1989-1995    525i 530i 535i 540i M5  1997-2003    525i 528i 530i 540i M5  2004-2010    X3 2.5i X3 3.0i X3 3.0si  2000-2006    X5 3.0i X5 4.4i X5 4.6is X5 4.8is  2007-2013    X5 3.0si X5 4.8i X5 xDrive30i X5 xDrive35d X5 xDrive35i X5 xDrive48i X5M  2008+    X6 xDrive35i X6 xDrive50i X6M  1997-2002    Z3 1.9 Z3 2.3 Z3 2.5i Z3 2.8 Z3 3.0i M Roadster M Coupe  2003-2008    Z4 2.5i Z4 3.0i Z4 3.0si Z4 M Roadster M Coupe  2009+    Z4 sDrive30i Z4 sDrive35i Z4 sDrive35is"
https://www.turnermotorsport.com/p-174850-35002232276-genuine-bmw-part/,Genuine BMW M Performance Stainless-steel Pedals - F/G Chassis Manua...,174850,35002232276,$143.50,https://www.turnermotorsport.com/c-84-bmw-pedal-sets#,Add some M Performance to your interior
https://www.turnermotorsport.com/p-2727-e46-sedan-m-aluminum-footrest-dead-pedal-4-door-only/,Genuine BMW M Aluminum Dead Pedal - Black - E46 323i 325i 325xi 328i...,2727,51437902389,$76.92,https://www.turnermotorsport.com/c-84-bmw-pedal-sets#,NOW LOCATED UNDER
