product-img-link href,cleanDesc,part-info,part-info 2,price,short-description
https://www.turnermotorsport.com/p-397155-walnut-shells-15lbs/,Walnut Shell blast media - 15lbs,397155,3393K34C,$32.95,"Walnut shell is the recommended media for cleaning carbon build up on the intake valve of BMW and Mini direct injection motors, as it is abrasive enough to clean the carbon but not damage the valves or head."
https://www.turnermotorsport.com/p-582690-walnut-shell-blast-media-50-lbs-1840-fine-grade/,Walnut Shell Blast Media (18/40 Fine Grade) - 50 lbs,582690,B1100050,$55.95,Used for carbon buildup removal during walnut shell blasting
https://www.turnermotorsport.com/p-20451-81292208037-genuine-bmw-part/,Genuine BMW Valve Blasting Adapter - 81292208037 - N54,20451,81292208037,$67.20,This adapter can be used with the valve blaster tool for the engine to aid in the maintenance of the valves.
https://www.turnermotorsport.com/p-578638-walnut-blaster-vacuum-adapter-plastic/,Walnut Blaster Vacuum Adapter - Plastic,578638,B1100004,$53.95,
https://www.turnermotorsport.com/p-580280-walnut-blaster-nozzle-38-male-npt/,"Bav Auto Walnut Blaster Nozzle 3/8"" Male NPT",580280,B1100003,$26.95,To be used in conjunction with the Bav Auto Media Blaster for walnut shell blasting
https://www.turnermotorsport.com/p-402995-pro-line-diesel-intake-system-cleaner-400ml/,Liqui-Moly Pro-Line Diesel Intake System Cleaner - 400mL,402995,20208KT,$10.80,"Special active solvent with a high-tech additive combination for removing typical dirt and deposits in the intake and throttle valve area. Loosens and removes greasy deposits and dirt such as oil, soot, etc. It guarantees the functional performance of the moving parts and reduces fuel consumption. Increases the reliability of diesel-powered engines. Recommended for preventative use during an inspection. Suitable for vehicles with EGR valve and DPF."
https://www.turnermotorsport.com/p-580282-walnut-blaster-nozzle-swirl-ports/,Bav Auto Walnut Blaster Nozzle - Swirl Ports,580282,B1100012,$25.95,Have a diesel powered BMW and need to do walnut blasting? Pair this with the Bav Auto Media Blaster.
https://www.turnermotorsport.com/p-401621-n54-carbon-blast-kit/,N54 Carbon Blast Kit,401621,N54CBBKT1,$151.84,
https://www.turnermotorsport.com/p-25713-81292208034-genuine-bmw-part/,Genuine BMW Carbon Blaster Tool - 81292208034,25713,81292208034,"$1,374.60","Carbon deposits can cause a significant reduction in performance if not prevented. Once it has built up, it is hard to remove without specialized equipment. Luckily, we offer the BMW Carbon Blaster Tool, BMW's specialty tool kit designed specifically for getting rid of deposits on the intake valves and ports of the cylinder head. This blaster uses a walnut media, available at many hardware stores and online, and pressure from an air compressor running at between 4-8 bar."
https://www.turnermotorsport.com/p-580289-media-blaster-tank-v3/,Bav Auto Media Blaster Tank V3,580289,B1100032,$147.95,"This media blaster is perfect for numerous jobs, but for a fuel injected BMW this is perfect to eliminate the dreaded carbon build-up on the intake valves."
https://www.turnermotorsport.com/p-403002-pro-line-throttle-valve-cleaner-400ml/,Liqui-Moly Pro-Line Throttle Valve Cleaner - 400mL,403002,20210KT,$16.25,"Special active solvent for cleaning typical contamination and deposits found in the intake and throttle valve areas. Dissolves and removes all smeary deposits and contaminants such as oil, resins, adhesive residues, etc. Also reliably cleans nozzles and internal components. Ensures the operability of all moving parts and reduces fuel consumption. Rapid and effective cleaning and degreasing Cleaning without dismantling Simple to use and economical"
https://www.turnermotorsport.com/p-580286-walnut-blaster-vacuum-adapter-plastic-bavarian-autosport/,Bav Auto Walnut Blaster Vacuum Adapter - Plastic,580286,B1100025,$42.95,"Fits 1 5/8"" vacuum hose."
