product-img-link href,cleanDesc,part-info,part-info 2,price,short-description
https://www.turnermotorsport.com/p-568728-obd-ii-wifi-dongle/,THOR OBD II Wifi Dongle - All F series BMW w/OBDII,568728,OBD2WIFI1,$64.99,"With the advent of quick flash software and the increasing popularity of DME re-coding, having the proper interface has never been more crucial. Until now, many have resorted to chains of OBD-USB-Mini USB as the primary method of talking with the cars computer. While this is certainly functional, the user is limited by the length of the cable he or she purchased. Forget about setting your laptop on the workbench...slide that seat back, get cozy and don't you dare shake that cable... Those days are over. Enter the THOR OBDII WIFI dongle. This revolutionary little box is not only compatible with a host of tuning apps including XHP and THOR; but also completely functional with INPA, Tool32, NCSExpert, and WinkFP. Gone are the days of sitting in the driver's seat with your phone or laptop, now you can flash and code from the workbench or your couch if so choose. Clear a spot in the bottom of your toolbox for those amazon cables, you won't be needing them anymore. Features: Reliable, strong WiFi signal Faster flash-times, compared to standard OBD/INPA cable Tested and proven to perform flawlessly and built to last"
https://www.turnermotorsport.com/p-598298-jb4-smartphone-wireless-connect-kit-wo-shell/,JB4 Bluetooth Wireless Connect Kit - Pinned Power Wire - F-Chassis &...,598298,JB4-SPWCK-F,$140.00,"The JB4 Connect Kit (Rev 3.7) allows your Bluetooth 4.0 compatible iOS and Android devices to connect wirelessly to your JB4. View critical engine data in real time, datalog, read codes, change maps, update settings, update firmware, and more, all from the palm of your hand! The REV3 mounts next to the JB4 in the engine bay eliminating the need to run a BMS DATA cable inside the cabin. It's compatible with all JB4 products. Just plug it in to the JB4 where your BMS DATA cable connects, purchase the JB4 Mobile app, and you're off and running. Please note the JB4 Mobile app is available for iPhone®, iOS®, or Android and sold separately via the Apple® or Android® app store on your phone. The wireless adapter is not compatible with the JB4 windows interface. See our other listings for the ""BMS DATA cable"" for laptop use."
https://www.turnermotorsport.com/p-558754-bmw-b46-b48-b58-jb-quick-install-tuner/,"Burger Motorsport JB+ Quick Install Tuner - BMW B46/B48/B58
       ...",558754,B4858JBPLUS,$239.00,"The Burger Motorsports JB+ is one of the simplest, plug-and-play modifications that can instantly increase power in your BMW. JB+ on your B48 should net you an additional 30 whp and 40tq over stock on your BMW and 40 whp and 50tq over stock on your B58."
https://www.turnermotorsport.com/p-402621-jb4n54-jb4-n54-plug-and-play-all-n54/,Burger Motorsports JB4 Tuner - N54,402621,JB4N54,$479.00,"You've heard about it before, and now it's available here at Turner Motorsport! The Burger Motorsport JB4 Tuner is one of the most versatile, adaptable modifications you can make to your BMW, and among the simplest to install. A true plug & play solution, the JB4 offers support for everything from stock cars to fully built monsters. Stock cars can expect gains of up to 60 wheel horsepower, while modified cars can expect to see gains of over 100 WHP! With an additional cable, you can connect your smart device or laptop to enjoy datalogging and tuning capabilities. It's all-inclusive and fully featured - it's the JB4 from Turner Motorsport. Order yours today! Burger Motorsports Tuning Products are for off-road racing use only - NOT FOR SALE OR USE IN CALIFORNIA!"
https://www.turnermotorsport.com/p-390153-f2xf3x-230330430-b48-turner-performance-module/,"Turner Performance Module - F22 230i, F3X 330i/430i, F2X X3/X4 30i
...",390153,TPM-B48,$545.36,"Max HP gain = 69   Max Trq gain =         This Performance Module is a direct plug in to the existing engine harness for a factory appearance and fitment and an instant 69hp and 74ft-lbs gains with NO DOWNSIDES. These are simply amazing gains! It installs in less than 30 minutes and is completely reversible which makes this the easiest and most effective power upgrade you will ever make on this car. If you're looking for a substantial bump in power output, with minimal downtime for installation, full serviceability, and can be reverted back to stock then the Turner power upgrade is unbeatable!   Turner's B46/B48 upgrade solution is a tuning module that plugs in ahead of the engine computer on the wiring harness. It's not the run-of-the-mill 'piggy-back' style upgrades you find for less. Inside our module is a sophisticated control unit that is designed to complement and work with the factory ECU. The maps and algorithms within the control unit have been optimized for the B48 engine, sending revised fuel and ignition parameters to the stock ECU to control boost depending on load, engine speed, and other factors. Our control unit integrates seamlessly to extract more power and torque without faults and errors - just smooth power and torque. The harness has factory-style weather-proof plugs to connect in-line with each boost pressure sensor and the camshaft position sensor on the engine.   All of the factory safeguards remain in place, including overload protection and warm-up protocols to preserve longevity and factory drive-ability. One of the key advantages of this type of system is that it is unaffected by factory BMW updates and service. If BMW updates the computer software to fix any small bugs or issues, the Turner performance upgrade is not lost or overwritten. This is key on new models because BMW is constantly releasing small software updates. All of the factory diagnostics and service access is retained. The Turner Module is undetectable to plug-in diagnostic readers and it leaves no traces behind. A valet connector is included and installs in minutes to bypass the performance module and revert the car to factory settings. With the valet plug installed the engine computer will use the stock maps instead of getting modified data from the Turner module.        2017+    230i 230iX  2017+    330i 330iX - Sedan  2017+    330iX - Gran Turismo  2017+    430i 430iX - Coupe  2017+    430i 430iX - Convertible  2017+    430i 430iX - Gran Coupe  2017+    X3 xDrive30i  2017+    X4 xDrive30i"
https://www.turnermotorsport.com/p-183977-cobb-tuning-accessport-v3-135i-1m-335i-535i-z4-35iis-n54-engine-2007-10/,Cobb Tuning AccessPort V3 - 135i 1M 335i 535i Z4 35i/is (N54 Engine ...,183977,AP3-BMW-001,$650.00,"We super sized the screen for ease of use and better monitoring. Full text help menus, multi-gauge layouts, full map descriptions and more. This screen has room to spare - so no need to run back to your laptop.     Want gauges? No problem. The V3 now supports up to 6 fully customizable gauges with 1/1000 resolution. Monitor all the parameters you want to see and customize each layout for street, strip or track.     There is nothing we like more to see than an AP peeking over the dash. With the on/off button and using the included universal mount or vehicle specific options, there is no reason not to run your AP in-vehicle.     We listened to what you wanted. Use your same maps, monitor your same parameters, and troubleshoot your same codes, but now with more. More speed, more memory, more map storage, more live gauges, and more troubleshooting help.     Is it your Accessport or our Accessport? It's yours. Customize it as you see fit. The new V3 comes with 2 interchangeable bezels, blue and grey, or put your own touches on one.   The Cobb Tuning AccessPort is a flashing tool that installs performance software through the OBD port on your car. No other software is as easy to use and install! If you can program a TV remote, you're over-qualified to install this software. Just plug the AccessPort into the OBDII port under the dash, bring up the AccessPort onscreen menu, select from a variety of engine maps for your desired performance and install.    The software is from COBB Tuning - one of the most accomplished software tuners in the business. The Cobb software replaces the conservative factory settings with different maps to make more power.   The AccessPort maintains the sophisticated control logic, refined engine response and excellent driveability of the stock BMW computer while providing impressive power gains and improved performance. Pre-loaded on the AccessPort are engine maps for 91 or 93 octane fuel, and a valet mode, with the capacity to hold up to 100 other tuning files! The AccessPort also saves your stock tune for you to revert back to factory settings at any time. It also has the    so that you can run various upgrades with the correct software tune. Additional tunes are available direct from Cobb through their AccessPort manager program (available for PC or OSX). Cobb also provides tech support.   In addition to the performance improvements, the AccessPort includes a variety of other useful tools -  + performance measurements  + data logging - up to 10 hours  + fault code/DTC reading and clearing  + check/verify performance modifications - measures 0-60 and � mile times and can measure approximate HP   The AccessPort can display boost pressure, oil temperature, pedal position, load, individual cylinder timing, and other engine data channels with the Live Data feature.        135i 335i 335xi Z4 35i    535i 535xi -       2008-2010    135i    2011+    1M Coupe    2007-2010    335i 335xi 335i xDrive - Sedan   2007-2012    335i 335is 335xi 335i xDrive - Coupe   2007-2012    335i 335is Convertible   2007-2010    535i 535xi 535i xDrive  2009+    sDrive35i Z4 sDrive35is"
https://www.turnermotorsport.com/p-600105-n20n26-jb4/,Burger Motorsports JB4 Tuner - F-Chassis N20 w/ Electronic Wastegate...,600105,JB4-N20EW,$529.00,"You've heard about it before, and now it's available here at Turner Motorsport! The Burger Motorsport JB4 Tuner is one of the most versatile, adaptable modifications you can make to your BMW, and among the simplest to install. A true plug & play solution, the JB4 offers support for everything from stock cars to fully built monsters. Stock cars can expect gains of up to 50 wheel horsepower, while modified cars can expect to see gains of over 100 WHP! With an additional cable, you can connect your smart device or laptop to enjoy datalogging and tuning capabilities. It's all inclusive and fully featured - it's the JB4 from Turner Motorsport. Order yours today! Burger Motorsports Tuning Products are for off-road racing use only - NOT FOR SALE OR USE IN CALIFORNIA!"
https://www.turnermotorsport.com/p-640634-rs-44l-engine-555-hp-bmw-get-up-to-83-hp-and-81-lb-ft/,Racechip RS for S63 - E71 X6 M,640634,917331,$499.00,Unlock the untapped performance of your BMW engine with peace of mind from RaceChip.
https://www.turnermotorsport.com/p-2646752-racechip-rs-with-app-control/,RaceChip RS With App Control - N63,2646752,913962,$549.95,Unlock the untapped performance of your BMW engine with peace of mind from RaceChip.
https://www.turnermotorsport.com/p-2242245-s58-jb4-bmw-performance-tuner/,"Burger Motorsport S58 JB4 BMW Performance Tuner *BETA* - G80 M3, G82...",2242245,S58-JB4-G8X,$799.00,"The Burger Motorsports JB4 module is one of the simplest and most dramatic modifications you can perform on your BMW. Whether this is your first modification, your only modification, or the finishing touch on your build, the Burger Motorsports JB4 is exactly what you're looking for. This JB4 will transform the feel of the powerful S58 powerplant, which is notoriously underrated and under-tuned by BMW. Simple, plug-and-play installation can yield results of up to 80 wheel horsepower on stock cars - or up to 150 horsepower on E85! New files can be downloaded directly from Burger Motorsports or written specifically for your car by your tuner of choice. Simply put, the JB4 is as simple or as in-depth as you want it to be - a true jack of all trades. Simple plug & play installation Gains of up to 80 horsepower on pump gas (up to 150whp on high octane/E85 mixtures) Gains of up to 100 torque on pump gas (up to 175 wtq on high octane/E85 mixtures) Note: For off-road racing use only. Not for sale or use in California."
