product-img-link href,cleanDesc,part-info,part-info 2,price,wishlist-label href,short-description
https://www.turnermotorsport.com/p-1682-oem-lemforder-front-upper-strutshock-mount-e46-e82-e90-e60-e63/,"OEM Lemforder Front Upper Strut/Shock Mount - E46 E82 E90 E60 E63
 ...",1682,31336752735,$26.95,https://www.turnermotorsport.com/c-39-bmw-shocks-struts#,"The upper strut mount provides a locating point for the top of the front struts. It contains a rubber-isolated bearing that allows the strut shaft to move independently from the rest of the suspension - a critical component for the suspension to be quiet and effective. The rubber also absorbs vibrations and impact harshness, helping to keep unwanted noise and harshness from reaching the steering wheel."
https://www.turnermotorsport.com/p-3666-rear-shock-mounts-rsm-hp-aluminumrubber-e30-e36-e46-z3-z4-pair/,"Rear Shock Mounts (RSM) - HP Aluminum/Rubber - E30, E36, E46, Z3, Z4...",3666,JTD909,$99.95,https://www.turnermotorsport.com/c-39-bmw-shocks-struts#,"These are the best rear shock mounts that we have found for the E30, E36, E46, Z3 & E85 Z4! Featuring CNC-machined billet aluminum mounting base with a replaceable urethane bushing (replacement bushings are just $15 and are changed in minutes!). These mounts are excellent for either street or track because of their low NVH (noise, vibration, and harshness). Plus, the superior design will far outlast the life of stock mounts - maybe even the car itself. You'll never think twice about your shock mounts again! These shock mounts are a direct replacement of the stock mounts so they fit all shocks with the BMW-standard 10mm shock shaft, including all factory and OEM shocks (Boge, Sachs, etc), H&R coil overs, Bilstein shocks and PSS, PSS9, PSS10 coil overs (except the B16 Ride Control Kit). This is sold as a package with new shock mount gaskets, washers, and Nyloc nuts.        1984-1991    318i 318is 318ic 325e 325es 325i 325ic 325is 325ix M3  1992-1998    318i 318is 318ti 318ic 323is 323ic 325i 325is 325ic 328i 328is 328ic M3  1999-2005    323i 323ci 325i 325ci 325xi 328i 328ci 330i 330ci 330xi M3  1997-2002    Z3 1.9 Z3 2.3 Z3 2.5i Z3 2.8 Z3 3.0i M Roadster M Coupe  2003-2008    Z4 2.5i Z4 3.0i Z4 3.0si Z4 M Roadster M Coupe"
https://www.turnermotorsport.com/p-338951-rear-shock-mounts-rsm-repair-shop-lifetime-warranty-e30-e36-e46-z3-z4-pair/,"Rear Shock Mounts (RSM) - Repair Shop Lifetime Warranty - E30, E36, ...",338951,JRDRP,$39.90,https://www.turnermotorsport.com/c-39-bmw-shocks-struts#,"The rear mounts in BMW 3 series fail, no matter what year from 1983 to present, that is a weak point of the suspension. Here's the solution. The 3 Series ""Repair Shop"" Rear Shock Mounts carry a lifetime warranty and will last as long as you own your car. Expect the same comfortable ride you have with factory mounts. These are an inexpensive alternative to expensive factory mounts.   Make this complete by adding the mount gasket and nuts (add the option below)."
https://www.turnermotorsport.com/p-2441-bilstein-b8-performance-plus-front-strut-insert-e30-318325m3/,"Bilstein B8 Performance Plus Front Strut Insert - E30 318/325/M3
  ...",2441,P36-0335,$174.00,https://www.turnermotorsport.com/c-39-bmw-shocks-struts#,"Front, Left or Right    Sport, for lowered suspensions   Front Bilstein B8 Performance Plus shock (strut insert). Sport shocks are for cars lowered from the factory ride height, such as with H&R or Eibach springs. Includes accordion dust boot, lock ring, gland nut, and top nut. Price is per shock.     1984-1985    318i - only for cars with 51mm strut  1984-1986    325e 325es  1987-1992    318i 318is 318ic 325e 325es 325i 325ic 325is M3  Not for the 325iX AWD or 1984-85 318i with 46mm strut housing."
https://www.turnermotorsport.com/p-399176-bmw-lemfoerder-suspension-strut-bearing/,OEM Lemforder Upper Strut Mount - 31331139437 - E34 525i 530i 535i 5...,399176,31331139437,$37.95,https://www.turnermotorsport.com/c-39-bmw-shocks-struts#,This upper shock tower bearing/ strut mount is located at the top of the shock. We recommend inspecting or replacing these while replacing the front shocks.
https://www.turnermotorsport.com/p-2477-bilstein-b8-performance-plus-rear-shock-e30-318325m3/,Bilstein B8 Performance Plus Rear Shock - E30 318/325/M3,2477,B36-2027,$117.00,https://www.turnermotorsport.com/c-39-bmw-shocks-struts#,"Rear, Left or Right    Sport, for lowered suspensions   Rear Bilstein B8 Performance Plus shock. Sport shocks are for cars lowered from the factory ride height, such as with H&R or Eibach springs. Includes top nut and lower mount washer. The stock dust boot is re-used. Price is per shock.        1984-1991 E30 318i, 318is  1990-1993 E30 318ic  1984-1988 E30 325, 325e, 325es  1987-1991 E30 325i, 325is, 325ix  1987-1993 E30 325ic  1987-1991 E30 M3  1993-1999 E36 318ti"
https://www.turnermotorsport.com/p-393845-oem-lemforder-front-upper-strut-mount-e90-e92-up-to-032010/,"OEM Lemforder Front Upper Strut Mount - E90 E92 - up to 03/2010
   ...",393845,31336775097,$44.95,https://www.turnermotorsport.com/c-39-bmw-shocks-struts#,"Strut mounts can begin to wear and fail over time, causing a knock in the suspension to occur. Replace yours with a high quality OEM Lemförder replacement to ensure a tight, noise-free ride."
https://www.turnermotorsport.com/p-361084-oem-lemforder-upper-strut-mount-e36-e85-z4/,"OEM Lemforder Upper Strut Mount - E36, E85, Z4",361084,31336779613,$27.95,https://www.turnermotorsport.com/c-39-bmw-shocks-struts#,"Strut mounts can begin to wear and fail over time, causing a knock in the suspension to occur. Replace yours with a high quality OEM Lemförder replacement to ensure a tight, noise-free ride."
https://www.turnermotorsport.com/p-4213-rear-spring-pad-priced-each-15mm/,"Genuine BMW Rear Spring Pad - 15mm - E46, E36",4213,33531094754,$31.39,https://www.turnermotorsport.com/c-39-bmw-shocks-struts#,"BMW used three different spring pads in the E36 E46 3 series, each a different thickness, the thinnest being only 5mm. If they chose to use the thinnest pad on your car, you may end up with a ride height in the rear a little lower than you expected when lowering you car with sport springs. If this is the case, we suggest using these 15mm rear spring pads. These mount on TOP of the rear spring in the E36 and either top or bottom on the E46 or E85 Z4     1992-1998    318i 318is 318ic 323is 323ic 325i 325is 325ic 328i 328is 328ic M3 - Top only   1999-2005    323i 323ci 325i 325ci 325xi 328i 328ci 330i 330ci 330xi M3  2003-2008    Z4 2.5i Z4 3.0i Z4 3.0si Z4 M Roadster M Coupe"
https://www.turnermotorsport.com/p-1609-oem-lemforder-rear-shock-mount-e39-525i528i530i540i/,OEM Lemforder Rear Shock Mount - E39 525i/528i/530i/540i,1609,33521091710,$29.95,https://www.turnermotorsport.com/c-39-bmw-shocks-struts#,"E39 Rear Shock Mount. Fits 525i, 528i, 530i, and 540i without factory sport package. Sold individually."
