product-img-link href,cleanDesc,part-info,part-info 2,price,starting-at,wishlist-label href,short-description
https://www.turnermotorsport.com/p-340364-water-pump-and-thermostat-package-n51n52-engine-e82-128i-e9x-325i328i330i-e60-528i/,"Water Pump and Thermostat Package - N51/N52 Engine - E82 128i, E9X 3...",340364,TMS206099,$368.22,Starting at,https://www.turnermotorsport.com/c-844-bmw-overhaul-kits#,"This packages covers the major components you would install along with a new water pump or thermostat. On the N51/N52 cars (128i, 325i 328i, 330i, 525i, 528i, 530i) the water pump and theremostat are mounted together. In fact, to get to the thermostat, BMW expects you to remove the water pump. This package covers the whole job. With the electric water pump now an integral part of the efficiency and performance of the engine, staying on top of its maintenance and replacement is the smart thing to do."
https://www.turnermotorsport.com/p-557277-oem-water-pump-and-thermostat-kit-n55-30l/,OEM Water Pump And Thermostat Kit - N55 3.0L,557277,N55WTKT3,$614.28,,https://www.turnermotorsport.com/c-844-bmw-overhaul-kits#,"The water pumps in these BMW models are known for failure near 80,000 miles is a very common issue often times leaving the owner stranded. This kit provides a single stop for water pump and thermostat replacement needs to save the search and get you back on the road."
https://www.turnermotorsport.com/p-554053-water-pump-and-thermostat-kit/,Water Pump And Thermostat Kit - N20,554053,11517604027KT1,$480.25,,https://www.turnermotorsport.com/c-844-bmw-overhaul-kits#,"The N20/n26 engined cars already suffer from reduced cooling area because of the factory intercooler, tight space under the hood, and of course heat from the turbo(s). BMW addressed these challenges a number of ways, including a dynamic, 'smart' electric water pump with increased output compared to normally aspirated models. The cooling demands mean additional stress on the major cooling components, especially the water pump and thermostat."
https://www.turnermotorsport.com/p-557278-genuine-bmw-water-pump-and-thermostat-kit-n55-30l/,Genuine BMW Water Pump And Thermostat Kit - N55 3.0L,557278,11517632426TKT,$695.18,,https://www.turnermotorsport.com/c-844-bmw-overhaul-kits#,"The water pumps in these BMW models are known for failure near 80,000 miles is a very common issue often times leaving the owner stranded. This kit provides a single stop for water pump and thermostat replacement needs to save the search and get you back on the road."
https://www.turnermotorsport.com/p-557927-basic-cooling-system-service-kit-e46-bmw-m3-w-saleri-pump/,"Basic Cooling System Service Kit - E46 BMW M3 w/ Saleri Pump
      ...",557927,E46M3BCKT1,$357.64,,https://www.turnermotorsport.com/c-844-bmw-overhaul-kits#,"Just like the rest of your vehicle's major systems, the cooling system must also be addressed periodically to ensure proper cooling and component reliability. Plastic and rubber components become brittle and prone to splitting or cracking after long periods of heating and cooling cycles, especially in colder climates! The coolant itself can degrade or become contaminated, leading to potential corrosion or freezing issues. Finally, thermostats and sensors can fail completely, preventing proper cooling and/or coolant temperature readings to become inaccurate."
https://www.turnermotorsport.com/p-557224-basic-cooling-system-service-kit-e9x-328ixi-w-manual-transmission/,Basic Cooling System Service Kit - E9X 328i/xi w/ Manual Transmissio...,557224,E9X328MBCKT,$467.02,,https://www.turnermotorsport.com/c-844-bmw-overhaul-kits#,"Just like the rest of your vehicle's major systems, the cooling system must also be addressed periodically to ensure proper cooling and component reliability. Plastic and rubber components become brittle and prone to splitting or cracking after long periods of heating and cooling cycles, especially in colder climates! The coolant itself can degrade or become contaminated, leading to potential corrosion or freezing issues. Finally, thermostats and sensors can fail completely, preventing proper cooling and/or coolant temperature readings to become inaccurate."
https://www.turnermotorsport.com/p-554064-water-pump-and-thermostat-kit/,Water Pump And Thermostat Kit - E70 X5 3.0si X5 xDrive30i,554064,11517586925KT13,$367.36,,https://www.turnermotorsport.com/c-844-bmw-overhaul-kits#,"The water pumps BMW's should be serviced near 80,000 miles and may become an issue often times leaving the owner stranded. The aftermarket kit offered provides a single stop for water pump and thermostat replacement needs to save the search and get you back on the road."
https://www.turnermotorsport.com/p-557276-oem-water-pump-and-thermostat-kit-n55-30l-with-m-sports-package/,OEM Water Pump And Thermostat Kit - BMW N55 3.0L (With M Sports Pac...,557276,N55WTKT2,$705.31,,https://www.turnermotorsport.com/c-844-bmw-overhaul-kits#,"The water pumps in these BMW models are known for failure near 80,000 miles is a very common issue often times leaving the owner stranded. This kit provides a single stop for water pump and thermostat replacement needs to save the search and get you back on the road."
https://www.turnermotorsport.com/p-340246-e9x-325i330i-6mt-cooling-overhaul-package/,E9X 325i/330i 6MT Cooling Overhaul Package,340246,TMS214376,$368.22,Starting at,https://www.turnermotorsport.com/c-844-bmw-overhaul-kits#,"This cooling overhaul will cover just about everything you could replace on the 325/330's cooling system. We start with the basic water pump and thermostat bundle. These are already vital to the health and durability of the N52 325/330. But to properly maintain these cars for the long term, the rest of the cooling system must be refreshed and preventatively replaced. Here you can add a radiator, expansion tank, cooling hoses, and the BMW antifreeze. This package fits 325/330 with N52 engine and manual transmission.   The sophisticated electronics of the ECU and water pump means catastrophic overheating should be a thing of the past. But the downside is that the electronics can shut down without any warning or symptoms. And troubleshooting is equally frustrating since the water pump electronics are not readable or serviceable. There are several clues to a faulty thermostat or water pump - the fan runs at full speed all the time (even immediately on a cold start), pending (soft) fault code for low coolant flow, or the water pump can be heard running constantly. But when the pump fails it's an immediate shut down of the engine which can be a major inconvenience and lead to additional repairs that might have been avoided with preventative maintance. We recommend a full cooling system overhaul on the E90/E92 every 80-90,000 miles and to check for soft/pending codes at every   .              2006-2006    325i 325xi 330i 330xi - Sedan  2006-2006    325xi - Wagon"
https://www.turnermotorsport.com/p-339100-complete-cooling-system-overhaul-package-2003-42004-z4-25-30/,"Complete Cooling System Overhaul Package - 2003-4/2004 Z4 2.5 3.0
 ...",339100,TMS224320,$320.86,Starting at,https://www.turnermotorsport.com/c-844-bmw-overhaul-kits#,"This is a customizable cooling system overhaul kit, which starts off with the basic radiator and water pump and can be configured to replace all the M54 common cooling system failure parts in one package. This cooling system package is for the 2003-2005 Z4 Roadster.    The Z4 cooling system is much like that of the sister 3 series. Several of the primary cooling components are prone to failure within 60k miles (or less in many cases). A failure in the cooling system can lead to overheating and catastrophic engine failure. Don't gamble your engine! By replacing these core items preventatively, such as the radiator & waterpump, you are defusing what could be a ticking cooling system time bomb. And if you've had a failure of one of these parts, now is the time to refresh your cooling system. Available with our kit is an OEM Behr radiator, an Original BMW water pump (with updated composite impeller), thermostat (complete with housing), radiator cap, new hoses, and other essential cooling parts."
