product-img-link href,cleanDesc,part-info,part-info 2,price,wishlist-label href,short-description
https://www.turnermotorsport.com/p-341054-thermostat-with-housing/,OEM Wahler Thermostat With Housing - E46 E53 E60 E83 M54,341054,11537509227,$48.95,https://www.turnermotorsport.com/c-845-bmw-thermostats#,"Stop leaks before they start with this new Thermostat With Housing from Wahler. Despite the fact that most BMW models are brilliant, most have common issues that can plague you during your ownership of the car. This part is one of those issues, as they are known to crack over time. This replacement part is perfect stop a crack and possibly a leak before it starts."
https://www.turnermotorsport.com/p-341098-thermostat-e39-e46-e60-e53-z3-z4-with-m54-m52tu-engine/,"OEM Mahle-Behr Thermostat - E39 E46 E60 E53 Z3 Z4 with M54, M52TU en...",341098,11537509227,$59.95,https://www.turnermotorsport.com/c-845-bmw-thermostats#,"Replacement stock MAP thermostat with plastic housing and gasket for E46, E39, E60, X5, Z4 - M54 engine, M52TU engine. Your car may still operate fine according the instrument display but the electrically-operated thermostat may be going bad. This new thermostat includes the thermostat gasket, ready to install in your BMW."
https://www.turnermotorsport.com/p-640062-ecs-tuning-aluminized-silicone-water-pump-hose-v2/,ECS Aluminized Silicone Water Pump Hose V2.0 - - E9x E8x E6x N52 N5...,640062,008286LA01,$57.71,https://www.turnermotorsport.com/c-845-bmw-thermostats#,"When it comes to cooling system hose replacement, the ""U"" shaped hose connecting the water pump to the thermostat is usually the first to fail. A lot of this comes from its close proximity to the hot downpipes, while some of this failure comes from the sharp bends in the hose."
https://www.turnermotorsport.com/p-556105-ecs-billet-thermostat-hose-adapter/,ECS Billet Thermostat Hose Adapter - N20 N52 N54 N55,556105,024797ECS01,$43.31,https://www.turnermotorsport.com/c-845-bmw-thermostats#,
https://www.turnermotorsport.com/p-637061-performance-thermostat-90c/,"Performance Thermostat - 90C - N62, N63, S63, N73, S55",637061,11537586885,$95.95,https://www.turnermotorsport.com/c-845-bmw-thermostats#,"Includes housing and sealing o-ring A thermostat that opens sooner promotes better cooling in your vehicle. Running a lower temperature thermostat will keep everything much cooler. Keeping the engine cooler will help reduce and improve the life of the seals in your engine, saving you time and money, while also helping to increase engine performance. A tune might be required to gain the most from this modification, as well as to get your car's ECU accustomed to seeing lower temperatures."
https://www.turnermotorsport.com/p-14587-engine-connection-flange-11531722531/,"URO Aluminum Thermostat Housing - E34 E36 Z3 M50/52 S50/52
        ...",14587,11531722531,$13.72,https://www.turnermotorsport.com/c-845-bmw-thermostats#,"The plastic thermostat cover in your BMW is a known point of failure. Throughout the years of repeated contact with hot coolant, the plastic can crack and cause massive coolant leaks and potential overheating. Eliminate one of the weak links in your cooling system with a replacement aluminum thermostat housing. By installing this aluminum unit, you have no worries as far as plastic housing cracks go. This is the last thermostat housing you will need to put on your vehicle."
https://www.turnermotorsport.com/p-363172-thermostat-62-degree-e24-e28-e30-e32-e34-e36-e39-z3/,"Thermostat - 68 Degree - E24, E28, E30, E32, E34, E36, E39, Z3
    ...",363172,MMTSE3692,$49.95,https://www.turnermotorsport.com/c-845-bmw-thermostats#,"The thermostat regulates the temperature of your coolant. At a predetermined temperature the thermostat will open to let coolant flow to the radiator and be cooled by airflow or the fan. Over time the thermostat will become stuck open or closed, leading to a variety of issues. A closed thermostat will never allow the coolant to reach the radiator and be cooled. Hot coolant will continue to circulate through the engine and absorb even more heat until boiling and the system overheats. An open thermostat is not as bad but is still not ideal - the coolant is always cool, with the temp needle always reading in the cool range. This tells the ECU to richen the fuel mixture to bring the car up to normal operating temp. So your fuel mileage decreases and the car runs rich.  Replacing the thermostat is an easy but messy job. This thermostat includes the main o-ring (but a housing gasket may be required). Consider replacing the housing and any associated temp sensors while you're in there. The cooling system will need to be bled after.  Most of the engines from the mid-1980s through the 1990s use the same thermostat design and they are interchangeable among the different temperatures. This is the 68*C thermostat, at the bottom of the temperature range. It should only be used in racing situations such as when deleting the engine fan. However, keep in mind that BMW spent a lot of time engineering the cooling system to work in all kinds of conditions and changing thermostat temperature is not recommended to fix any failures in the cooling system."
https://www.turnermotorsport.com/p-360524-thermostat-e46-m3-mz3-s54-z4-m/,"OEM Wahler 80 Degree Thermostat - E46 M3, MZ3 S54, Z4 M",360524,11531318274,$52.95,https://www.turnermotorsport.com/c-845-bmw-thermostats#,"Replacement 80* Celcius thermostat for E46 M3, Z3M w S54 engine, Z4M. The thermostat can be replaced on the E46 M3 without removing the water pump. This can save you money if the pump still has life left on it but the thermostat needs to be done now. Symptoms of a bad thermostat include an erratic temp gauge and a fault code. When replacing the thermostat, there are three o-rings that will likely need to be replaced between the thermostat and the water pump housing, and two on the coolant tube going to the head. We also recommend new hoses, clamps, and BMW coolant. Replacement should take about one hour."
https://www.turnermotorsport.com/p-407610-thermostat-housing-gasket/,"Thermostat Housing Gasket - M50, M52, S50, S52",407610,11531740437,$10.13,https://www.turnermotorsport.com/c-845-bmw-thermostats#,Needs to be replaced once removed
https://www.turnermotorsport.com/p-360694-thermostat/,Genuine BMW Thermostat - 11537549476 - N51/N52 N54,360694,11537549476,$128.10,https://www.turnermotorsport.com/c-845-bmw-thermostats#,"Engine running a little hot or is the temp gauge not telling you anything? The thermostat might be the likely problem. Many cooling issues start with the thermostat. This is electronically controlled by the engine computer based on the cooling demands from the engine. And cooling components are working harder than ever. Engine performance is also dependent on temperature - as temperatures rise and pass a certain threshold the engine computer will begin reducing power. Stay on top of your cooling maintenance by replacing critical components preventatively. This replacement thermostat fits many of the N51 N52 N53 N54 6 cylinder engines and is an OEM Behr part.  The thermostat is located along with the water pump on the side of the engine. To gain access for removal you may need to remove the water pump as well. If the water pump is removed you MUST replace its mounting bolts. You can add them from the options below. We also have a bundled package that includes the water pump, mounting screws, connecting hose, and clamps if you want to replace everything together (recommended)."
https://www.turnermotorsport.com/p-360691-thermostat-88c/,Genuine BMW Thermostat - 88ºC,360691,11537511580,$38.44,https://www.turnermotorsport.com/c-845-bmw-thermostats#,
https://www.turnermotorsport.com/p-367704-thermostat-housing-gasket/,Thermostat Housing Gasket,367704,11537509357,$11.39,https://www.turnermotorsport.com/c-845-bmw-thermostats#,Needs to be replaced once removed
https://www.turnermotorsport.com/p-359592-aftermarket-thermostat-housing-e30-325e-325i-e34-525i-m20-engine/,"Aftermarket Thermostat Housing - E30 325e 325i, E34 525i - M20 engin...",359592,11531730470,$26.56,https://www.turnermotorsport.com/c-845-bmw-thermostats#,"This is the stock aluminum thermostat housing for cars with the M20 6 cylinder engine - 325e, 325i, 528e, 525i. This is the side of the housing that mounts to the cylinder head and has openings for the various coolant / engine temperature sensors. There are 4 ports for sensors so check your existing housing for the sensor layout."
https://www.turnermotorsport.com/p-568837-ecs-aluminized-silicone-water-pump-hose-with-clamps/,ECS Aluminized Silicone Water Pump Hose - with clamps,568837,020414ECS01KT,$61.46,https://www.turnermotorsport.com/c-845-bmw-thermostats#,
https://www.turnermotorsport.com/p-367096-thermostat-with-housing/,Genuine BMW Thermostat With Housing - N20,367096,11538635689,$118.82,https://www.turnermotorsport.com/c-845-bmw-thermostats#,N20 thermostats are prone to failure - replace yours today with a Genuine BMW replacement.
https://www.turnermotorsport.com/p-1195802-/,"Vemo thermostat with gasket - 88C - E38, E39",1195802,11512248542,$125.95,https://www.turnermotorsport.com/c-845-bmw-thermostats#,Direct bolt on lower temperature thermostat for improved cooling and performance
https://www.turnermotorsport.com/p-2252-thermostat-e9x-m3-e60-m5-e63-m6/,OEM Mahle-Behr Thermostat - 79*C - E9X M3 E60 M5 E63 M6,2252,11537836155,$55.95,https://www.turnermotorsport.com/c-845-bmw-thermostats#,"Replacement stock thermostat for E90, E92, E93 M3 - S65 engine- E60 M5 E63 M6 with S85 engine. Your car may still operate fine according the instrument display but the electrically-operated thermostat may be going bad."
https://www.turnermotorsport.com/p-12502-thermostat-e46-m3-mz3-s54-z4-m/,"Genuine BMW Thermostat - E46 M3, MZ3 S54, Z4 M",12502,11531318274,$101.13,https://www.turnermotorsport.com/c-845-bmw-thermostats#,"GENUINE BMW THERMOSTAT - E46 M3, MZ3 (S54), MZ4. This is just the thermostat itself and does not include the housing o-ring or any others that are advised for replacement. See thermostat kit or our water pump kit for a complete package.   When doing any sort of repair or maintenance there is no replacement for genuine factory parts. Turner Motorsport carries the Genuine BMW brand with pride and has the parts you need to complete your next project with confidence."
https://www.turnermotorsport.com/p-555019-thermostat-with-adapter/,"Rein Thermostat With Adapter - E70, E90",555019,11517805811,$51.95,https://www.turnermotorsport.com/c-845-bmw-thermostats#,Includes gasket and O-rings
https://www.turnermotorsport.com/p-360569-thermostat-o-ring/,"Febi Thermostat O-Ring - E23, E24, E28, E30, E32, E34, E36, E39, Z3
...",360569,N90136802,$2.95,https://www.turnermotorsport.com/c-845-bmw-thermostats#,Ensure a proper seal when installing your new thermostat
