product-img-link href,cleanDesc,part-info,part-info 2,price,wishlist-label href,short-description
https://www.turnermotorsport.com/p-638889-vargas-n5455-billet-crank-seal-guard-bmw-n54-n55-30l/,Vargas N54/55 Billet Crank Seal Guard - BMW N54 N55 3.0L,638889,VTT-CRANKGUARD,$74.00,https://www.turnermotorsport.com/c-179-bmw-drive-belts-v-belts#,"It is a well-known issue on the BMW N54/55 platforms that your serpentine belt can fail for various reasons. When this happens, there is a high chance of the belt getting sucked behind the front damper pulley and then being pushed past the crank seal into your oil pan. From there it can get sucked into the oil pick up causing total engine failure. Even if you do not lose the engine, it is a COSTLY repair to remove the sub-frame and drop the oil pan to remove the belt. The best way to combat this is to watch for oil leaks and keep up on your maintenance. BUT, even with those preventative measures, pre-mature belt failure can occur. This crank seal guard installs over your front crank seal and will keep the belt from being sucked in if a belt failure does occur. At only $69.00, this is a cheap way to ensure you do not end up having to replace your motor from oil starvation due to an ingested belt. Vargas' seal is different from those already on market in two major ways. Firstly, it is not offensively priced. At $69.00 it’s easy on the budget. Secondly, it is 100% billet with no welds on the tabs to break, no cheap bent thin steel pieces. 100% Billet 6061-T6 aluminum, anodized black for long-term corrosion resistance. Crank Seal Guard includes: One VTT Billet N54/55 Crank Seal Guard Two extended 12.9 Grade bolts, and two stainless washers We highly recommend you install WITH a crank bolt capture at the same time, as you have to remove the damper anyway. Then you will get the benefit of helping eliminate the dreaded spun crank hub and the crank seal issue If you order the Crank Seal Guard, and CBC together they are $148 for a $20 savings."
https://www.turnermotorsport.com/p-363707-e36e46z3z4-ecs-tuning-aluminum-water-pump-pulley/,E36/E46/Z3/Z4 ECS Tuning Aluminum Water Pump Pulley,363707,001977ECS03A,$60.95,https://www.turnermotorsport.com/c-179-bmw-drive-belts-v-belts#,"Most of the pulleys on your BMW engine are plastic, which become brittle and frail over time and from engine bay heat. A failed pulley could leave you stranded which is why it is vital to inspect the pulleys during routine maintenance. This is an aluminum version of the stock water pump pulley used on the M50/M52/M52TU/M54 engine in the E36, E46, Z3, Z4, and other models. It's uses the same hardware and the original belt as the stock plastic pulley. But the aluminum will last much longer."
https://www.turnermotorsport.com/p-340390-turner-motorsport-power-pulley-kit-e36-325m3-e34-525i-m50-mz3-s52/,"Turner Motorsport Power Pulley Kit - E36 325/M3, E34 525i (M50), MZ3...",340390,PPK-E36,$247.38,https://www.turnermotorsport.com/c-179-bmw-drive-belts-v-belts#,"1991-1995  525i without servotronic steering and without self-leveling1992-1995  325i, 325is, 325ic1995-1995  3.0 liter (S50) **US models only, coupe1996-1999  3.2 liter (S52) **US models only, coupe, sedan, convertible1997-2000  Z3 M Roadster & Z3 M Coupe (US models, S52US)"
https://www.turnermotorsport.com/p-548963-set-belts-for-water/,"Genuine BMW Basic Accessory Belt Service Kit - F22/23 F3X N55 3.0L
...",548963,11282457049,$158.76,https://www.turnermotorsport.com/c-179-bmw-drive-belts-v-belts#,This kit includes the basic components recommended to replace when it comes time to swap out your accessory belt.
https://www.turnermotorsport.com/p-340397-turner-motorsport-power-pulley-kit-e46-325i330i/,"Turner Motorsport Power Pulley Kit - E46 325i, E46 330i",340397,PPK-E46-M54,$252.85,https://www.turnermotorsport.com/c-179-bmw-drive-belts-v-belts#,"Underdrive Power Pulleys work to 'free up' horsepower. Any accessory that spins from the main drive belt is using up power. That's power that could otherwise be used to move the car. By giving some of that power back to the engine, you can make the car faster! It's like   !   Underdrive pulleys for your BMW will slow down engine-mounted accessories - the water pump, power steering pump, and alternator*. These systems contribute to 'parasitic losses' - power lost from what the engine could produce if it did not have these systems. Since less energy is used to move them, that power is transferred back to the engine and used to propel the car. Our pulleys give a 5-10% reduction in rotation, releasing up to 11hp on most BMW six-cylinder engines. There's also a small but noticeable improvement in throttle response too! We have done extensive testing and development work, both on and off the track, to ensure that the accessory systems function as they should. On our Racing pulley kits we actually underdrive certain components more so we feel our Street pulleys are an ideal compromise between power/torque gains, reliability, and system performance. Our pulley kits have been on the market for over ten years, and used in all of our own cars, with zero component failures related to their use.   Our pulleys are made from T-6061 aluminum and finished in a durable black hard anodize that is very resistant to wear, chemical exposure, and heat. We designed our pulleys to look similar to the factory parts but also to be stronger and, in most cases, slightly lighter too. For example, a Turner alternator pulley is less than half the weight of the stock steel pulley! With our hardcoat aluminum you will never have to worry about a serious failure of a stock plastic pulley. A 'stealth' approach to aesthetics was our goal and we let the results speak for the pulley design. Installation is straight forward and easy with simple hand tools. Removal of the fan is required for access to the front of the engine. Total install time for a 3-piece pulley set should be around 1.5 hours. A new longer belt is included and we also recommend replacing the separate A/C belt, belt tensioners, and the guide and deflection pulleys at the same time.     Bosch or Valeo? BMW built your car with either a Bosch or Valeo brand alternator. Unfortunately, the pulley is not the same for both brands. The brand is usually printed on the black plastic cover of the alternator but may be facing the frame rail or the ground. If you know which brand you have, select your option below and we'll send you the correct alternator pulley for your BMW. Don't know which you have? NO PROBLEM! We can send you both. The 2nd pulley costs $40 but you will receive a refund once we get the un-used pulley back (return shipping not included).     We offer our kits in two different ways: the full Power Pulley Kit with all 3 pulleys or a 2 pulley kit if you do not wish to underdrive your alternator (for large stereo systems or other battery-draining modifications). Our kits have been tested for compatability with the factory premium stereo systems (Harmon Kardon, etc). But any major alterations or upgrades from the factory system will work best with our 2 pulley kit and no underdriving of the alternator. For all stock stereo systems the 3 pulley set is recommended because the Turner alternator pulley will help make more power and is also much lighter than the stock pulley.              2001-2006    325i 325ci 325xi 330i 330ci 330xi"
https://www.turnermotorsport.com/p-340398-turner-motorsport-power-pulley-kit-e46-m3/,Turner Motorsport Power Pulley Kit - E46 M3,340398,PPK-S54,$259.21,https://www.turnermotorsport.com/c-179-bmw-drive-belts-v-belts#,"Underdrive Power Pulleys work to 'free up' horsepower. Any accessory that spins from the main drive belt is using up power. That's power that could otherwise be used to move the car. By giving some of that power back to the engine, you can make the car faster! It's like   !   Underdrive pulleys for your BMW will slow down engine-mounted accessories - the water pump, power steering pump, and alternator*. These systems contribute to 'parasitic losses' - power lost from what the engine could produce if it did not have these systems. Since less energy is used to move them, that power is transferred back to the engine and used to propel the car. Our pulleys give a 10-20% reduction in rotation, releasing 10hp on the E46 M3. There's also a small but noticeable improvement in throttle response too! We have done extensive testing and development work, both on and off the track, to ensure that the accessory systems function as they should. On our Racing pulley kits we actually underdrive certain components more so we feel our Street pulleys are an ideal compromise between power/torque gains, reliability, and system performance. Our pulley kits have been on the market for over ten years, and used in all of our own cars, with zero component failures related to their use.   Our pulleys are made from T-6061 aluminum and finished in a durable black hard anodize that is very resistant to wear, chemical exposure, and heat. We designed our pulleys to look similar to the factory parts but also to be stronger and, in most cases, slightly lighter too. For example, a Turner alternator pulley is less than half the weight of the stock steel pulley! With our hardcoat aluminum you will never have to worry about a serious failure of a stock plastic pulley. A 'stealth' approach to aesthetics was our goal and we let the results speak for the pulley design. Installation is straight forward and easy with simple hand tools. Removal of the fan is required for access to the front of the engine. Total install time for a 3-piece pulley set should be around 1.5 hours. A new longer belt is included and we also recommend replacing the separate A/C belt, belt tensioners, and the guide and deflection pulleys at the same time.       We offer our kits in two different ways: the full Power Pulley Kit with all 3 pulleys or a 2 pulley kit if you do not wish to underdrive your alternator (for large stereo systems or other battery-draining modifications). Our kits have been tested for compatability with the factory premium stereo systems (Harmon Kardon, etc). But any major alterations or upgrades from the factory system will work best with our 2 pulley kit and no underdriving of the alternator. For all stock stereo systems the 3 pulley set is recommended because the Turner alternator pulley will help make more power and is also much lighter than the stock pulley.              2001-2006    coupe & convertible  2001-2002    Z3 M Roadster / Z3 M Coupe (S54 engine)"
https://www.turnermotorsport.com/p-340391-turner-motorsport-power-pulley-kit-e36-323i328i/,Turner Motorsport Power Pulley Kit - E36 323i/328i,340391,PPK-E36328,$233.14,https://www.turnermotorsport.com/c-179-bmw-drive-belts-v-belts#,"Underdrive Power Pulleys work to 'free up' horsepower. Any accessory that spins from the main drive belt is using up power. That's power that could otherwise be used to move the car. By giving some of that power back to the engine, you can make the car faster! It's like   ! We measured 10.7 whp at 6960 rpm and 8.1 lb-ft of torque at 5550 on a 1995 M3.   Underdrive pulleys for your BMW will slow down engine-mounted accessories - the water pump, power steering pump, and alternator*. These systems contribute to 'parasitic losses' - power lost from what the engine could produce if it did not have these systems. Since less energy is used to move them, that power is transferred back to the engine and used to propel the car. Our pulleys give a 10-20% reduction in rotation, releasing up to 11hp on most BMW six-cylinder engines. There's also a small but noticeable improvement in throttle response too! We have done extensive testing and development work, both on and off the track, to ensure that the accessory systems function as they should. On our Racing pulley kits we actually underdrive certain components more so we feel our Street pulleys are an ideal compromise between power/torque gains, reliability, and system performance. Our pulley kits have been on the market for over ten years, and used in all of our own cars, with zero component failures related to their use.   Our pulleys are made from T-6061 aluminum and finished in a durable black hard anodize that is very resistant to wear, chemical exposure, and heat. We designed our pulleys to look similar to the factory parts but also to be stronger and, in most cases, slightly lighter too. For example, a Turner alternator pulley is less than half the weight of the stock steel pulley! With our hardcoat aluminum you will never have to worry about a serious failure of a stock plastic pulley. A 'stealth' approach to aesthetics was our goal and we let the results speak for the pulley design. Installation is straight forward and easy with simple hand tools. Removal of the fan is required for access to the front of the engine. Total install time for a 3-piece pulley set should be around 1.5 hours. A new longer belt is included and we also recommend replacing the separate A/C belt, belt tensioners, and the guide and deflection pulleys at the same time.     Bosch or Valeo? BMW built your car with either a Bosch or Valeo brand alternator. Unfortunately, the pulley is not the same for both brands. The brand is usually printed on the black plastic cover of the alternator but may be facing the frame rail or the ground. If you know which brand you have, select your option below and we'll send you the correct alternator pulley for your BMW. Don't know which you have? NO PROBLEM! We can send you both. The 2nd pulley costs $40 but you will receive a refund once we get the un-used pulley back (return shipping not included).     We offer our kits in two different ways: the full Power Pulley Kit with all 3 pulleys or a 2 pulley kit if you do not wish to underdrive your alternator (for large stereo systems or other battery-draining modifications). Our kits have been tested for compatability with the factory premium stereo systems (Harmon Kardon, etc). But any major alterations or upgrades from the factory system will work best with our 2 pulley kit and no underdriving of the alternator. For all stock stereo systems the 3 pulley set is recommended because the Turner alternator pulley will help make more power and is also much lighter than the stock pulley.              1996-1999    323is 323ic 328i 328is 328ic"
https://www.turnermotorsport.com/p-593749-performance-underdrive-pulley-kit-e9x-m3-0608-6-speed-all-dct/,"Performance Underdrive Pulley Kit - E9X M3 (06/08+ 6-Speed, All DCT)...",593749,10.00.011,$295.00,https://www.turnermotorsport.com/c-179-bmw-drive-belts-v-belts#,
https://www.turnermotorsport.com/p-338810-turner-motorsport-power-pulley-kit-e90e92e93-m3/,Turner Motorsport Power Pulley Kit - E90/E92/E93 M3,338810,TMS1805,$324.76,https://www.turnermotorsport.com/c-179-bmw-drive-belts-v-belts#,"Get MORE HORSEPOWER and TORQUE on your 2008, 2009 and newer M3 coupe, sedan or convertible by replacing the stock crank pulley with this specially designed performance version. The Power Pulley reduces rotational mass and safely under drives your belt driven auxiliaries for reduced parasitic power loss. The end result: More power to your M3's rear wheels! Designed to give the best performance benefit with no sacrifices or compromises to your BMW's reliability. These have been tested on hundreds of cars before public release and there are simply NO DOWNSIDES to this upgrade."
https://www.turnermotorsport.com/p-340395-turner-motorsport-power-pulley-kit-e46-323i328i/,Turner Motorsport Power Pulley Kit - E46 323i/328i,340395,PPK-E46,$233.14,https://www.turnermotorsport.com/c-179-bmw-drive-belts-v-belts#,"Underdrive Power Pulleys work to 'free up' horsepower. Any accessory that spins from the main drive belt is using up power. That's power that could otherwise be used to move the car. By giving some of that power back to the engine, you can make the car faster! It's like   !   Underdrive pulleys for your BMW will slow down engine-mounted accessories - the water pump, power steering pump, and alternator*. These systems contribute to 'parasitic losses' - power lost from what the engine could produce if it did not have these systems. Since less energy is used to move them, that power is transferred back to the engine and used to propel the car. Our pulleys give a 10-20% reduction in rotation, releasing up to 11hp on most BMW six-cylinder engines. There's also a small but noticeable improvement in throttle response too! We have done extensive testing and development work, both on and off the track, to ensure that the accessory systems function as they should. On our Racing pulley kits we actually underdrive certain components more so we feel our Street pulleys are an ideal compromise between power/torque gains, reliability, and system performance. Our pulley kits have been on the market for over ten years, and used in all of our own cars, with zero component failures related to their use.   Our pulleys are made from T-6061 aluminum and finished in a durable black hard anodize that is very resistant to wear, chemical exposure, and heat. We designed our pulleys to look similar to the factory parts but also to be stronger and, in most cases, slightly lighter too. For example, a Turner alternator pulley is less than half the weight of the stock steel pulley! With our hardcoat aluminum you will never have to worry about a serious failure of a stock plastic pulley. A 'stealth' approach to aesthetics was our goal and we let the results speak for the pulley design. Installation is straight forward and easy with simple hand tools. Removal of the fan is required for access to the front of the engine. Total install time for a 3-piece pulley set should be around 1.5 hours. A new longer belt is included and we also recommend replacing the separate A/C belt, belt tensioners, and the guide and deflection pulleys at the same time.       BMW built your car with either a Bosch or Valeo brand alternator. Unfortunately, the pulley is not the same for both brands. The brand is usually printed on the black plastic cover of the alternator but may be facing the frame rail or the ground. If you know which brand you have, select your option below and we'll send you the correct alternator pulley for your BMW. Don't know which you have? NO PROBLEM! We can send you both. The 2nd pulley costs $40 but you will receive a refund once we get the un-used pulley back (return shipping not included).     We offer our kits in two different ways: the full Power Pulley Kit with all 3 pulleys or a 2 pulley kit if you do not wish to underdrive your alternator (for large stereo systems or other battery-draining modifications). Our kits have been tested for compatability with the factory premium stereo systems (Harmon Kardon, etc). But any major alterations or upgrades from the factory system will work best with our 2 pulley kit and no underdriving of the alternator. For all stock stereo systems the 3 pulley set is recommended because the Turner alternator pulley will help make more power and is also much lighter than the stock pulley.              1999-2000    323i 323ci 328i 328ci"
